pair,jsd
"('anthropic/claude-sonnet-4.6', 'qwen/qwen3.5-9b')",0.009717157524381768
"('anthropic/claude-sonnet-4.6', 'qwen/qwen3.6-35b-a3b')",0.0056868233924173735
"('google/gemini-3.1-flash-lite', 'google/gemini-3.1-pro-preview')",0.0024636283099813165
"('google/gemini-3.1-flash-lite', 'google/gemini-3.5-flash')",0.004616142734681684
"('google/gemini-3.1-flash-lite', 'openai/gpt-5.4')",0.008058942547806845
"('google/gemini-3.1-flash-lite', 'openai/gpt-5.4-mini')",0.003116568431490078
"('google/gemini-3.1-flash-lite', 'openai/gpt-5.5')",0.009336542330565939
"('google/gemini-3.1-flash-lite', 'qwen/qwen3.5-397b-a17b')",0.0017446072761476384
"('google/gemini-3.1-flash-lite', 'qwen/qwen3.5-9b')",0.0026160593698946835
"('google/gemini-3.1-flash-lite', 'qwen/qwen3.6-35b-a3b')",0.001634476584327224
"('google/gemini-3.1-pro-preview', 'google/gemini-3.5-flash')",0.0007587385614002025
"('google/gemini-3.1-pro-preview', 'openai/gpt-5.4')",0.003227184711890555
"('google/gemini-3.1-pro-preview', 'openai/gpt-5.4-mini')",0.0015129428679795764
"('google/gemini-3.1-pro-preview', 'openai/gpt-5.5')",0.0042845433646001635
"('google/gemini-3.1-pro-preview', 'qwen/qwen3.5-397b-a17b')",0.002484399921152263
"('google/gemini-3.1-pro-preview', 'qwen/qwen3.5-9b')",0.003691868797229379
"('google/gemini-3.1-pro-preview', 'qwen/qwen3.6-35b-a3b')",0.001662902220959405
"('google/gemini-3.5-flash', 'openai/gpt-5.4')",0.0020327730360195258
"('google/gemini-3.5-flash', 'openai/gpt-5.4-mini')",0.0023583301686781076
"('google/gemini-3.5-flash', 'openai/gpt-5.5')",0.002104053964620793
"('google/gemini-3.5-flash', 'qwen/qwen3.5-397b-a17b')",0.004316866577671241
"('google/gemini-3.5-flash', 'qwen/qwen3.5-9b')",0.006304300135160186
"('google/gemini-3.5-flash', 'qwen/qwen3.6-35b-a3b')",0.0032767428949381657
"('openai/gpt-5.4', 'openai/gpt-5.4-mini')",0.0027300401664685156
"('openai/gpt-5.4', 'openai/gpt-5.5')",0.0008720660341387228
"('openai/gpt-5.4', 'qwen/qwen3.5-397b-a17b')",0.0063789108515821605
"('openai/gpt-5.4', 'qwen/qwen3.5-9b')",0.008206776465087478
"('openai/gpt-5.4', 'qwen/qwen3.6-35b-a3b')",0.005310958070005414
"('openai/gpt-5.4-mini', 'openai/gpt-5.5')",0.004729319446368196
"('openai/gpt-5.4-mini', 'qwen/qwen3.5-397b-a17b')",0.001990465857537692
"('openai/gpt-5.4-mini', 'qwen/qwen3.5-9b')",0.003682763987086908
"('openai/gpt-5.4-mini', 'qwen/qwen3.6-35b-a3b')",0.002538273392267558
"('openai/gpt-5.5', 'qwen/qwen3.5-397b-a17b')",0.008230007012854448
"('openai/gpt-5.5', 'qwen/qwen3.5-9b')",0.01012843826305179
"('openai/gpt-5.5', 'qwen/qwen3.6-35b-a3b')",0.0067118560306059834
"('qwen/qwen3.5-397b-a17b', 'qwen/qwen3.5-9b')",0.004395525823083142
"('qwen/qwen3.5-397b-a17b', 'qwen/qwen3.6-35b-a3b')",0.0022323498710080576
"('qwen/qwen3.5-9b', 'qwen/qwen3.6-35b-a3b')",0.0025088538048413196
