case_id,disposition_actual,prevailing_party,justification,judge,parse_error,error,ts
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,reversed_and_remanded,Transamerica defendants (appellants),"The court reversed the denial of the motion to dismiss and remanded ""with instructions to the district court to dismiss the complaint,"" also vacating the class certification orders.",anthropic/claude-opus-5,,,2026-08-25T09:59:04
cl_2019_ca9_the_depot_inc._v._caring_for_montan,affirmed_and_reversed,mixed,"The court affirmed dismissal of the ERISA claims, reversed dismissal of the state-law claims, and remanded for further proceedings.",anthropic/claude-opus-5,,,2026-08-25T09:59:06
cl_2019_ca9_alexander_acosta_v._city_national_c,affirmed_and_reversed,Secretary of Labor (mostly),"The court affirmed summary judgment on liability and damages offsets but reversed the prejudgment interest award and remanded for recalculation: ""AFFIRMED IN PART, REVERSED IN PART, and REMANDED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:07
cl_2019_ca3_jennifer_sweda_v._university_of_pen,affirmed_and_reversed,mixed - plaintiffs prevailed on Counts III and V; defendants on remaining counts,"The court reversed the dismissal of Counts III and V and remanded for further proceedings, while affirming dismissal of Counts I, II, IV, VI, and VII.",anthropic/claude-opus-5,,,2026-08-25T09:59:07
cl_2019_ca9_ussec_v._hui_feng,affirmed,SEC (plaintiff-appellee),"The panel affirmed the district court's summary judgment for the SEC on all causes of action and the disgorgement order, concluding simply 'AFFIRMED.'",anthropic/claude-opus-5,,,2026-08-25T09:59:08
cl_2019_cadc_donald_trump_v._mazars_usa_llp,affirmed,House Oversight Committee,"The court concluded ""the subpoena issued by the Committee to Mazars is valid and enforceable"" and affirmed the district court's judgment in favor of the Oversight Committee.",anthropic/claude-opus-5,,,2026-08-25T09:59:08
cl_2018_cadc_phh_corporation_v._cfpb,affirmed_and_reversed,mixed — CFPB prevailed on the constitutional question; PHH prevailed on the statutory (RESPA) questions,"The en banc court's mandate states: ""The petition for review is granted in part and denied in part, and the case is remanded to the agency for further proceedings"" — upholding the CFPB's structure while reinstating the panel's statutory holdings vacating the Director's order.",anthropic/claude-opus-5,,,2026-08-25T09:59:09
cl_2019_cadc_the_robare_group_ltd._v._sec,affirmed_and_reversed,"mixed — SEC prevailed on Section 206(2), petitioners on Section 207","The court denied the petition as to the Section 206(2) violations, granted it as to the Section 207 violations, vacated the sanctions order, and remanded for determination of the appropriate sanction.",anthropic/claude-opus-5,,,2026-08-25T09:59:10
cl_2020_ca11_united_states_v._gerti_muho,affirmed,United States (government),"The court concluded: ""Muho's conviction and sentence are AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:10
cl_2020_ca2_gonnella_v._securities_and_exchange,affirmed,Securities and Exchange Commission,"The court stated ""the petition for review is DENIED and the decision of the Commission is AFFIRMED in its entirety,"" upholding the agency decision in full.",anthropic/claude-opus-5,,,2026-08-25T09:59:11
cl_2020_ca2_rubenstein_v._intl_value_advisers_l,affirmed,defendants (International Value Advisers et al.),"The court concluded: ""For the foregoing reasons, the order of the district court is AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:11
cl_2020_ca2_abm_indus._groups_llc_v._intl_union,reversed_and_remanded,"ABM Industry Groups, LLC (petitioner-appellant)","The court held ""the district court's judgment is REVERSED and the case is REMANDED with instructions to the district court to grant ABM's petition to confirm the Award.""",anthropic/claude-opus-5,,,2026-08-25T09:59:12
cl_2020_ca2_united_states_v._kosinski,affirmed,United States (government),"The court concluded the evidence was sufficient and no reversible error occurred, stating ""The judgment of conviction is AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:12
cl_2020_ca2_xy_planning_network_llc_v._sec,denied,SEC (respondents),"The court held the petitions for review are denied, upholding Regulation Best Interest.",anthropic/claude-opus-5,,,2026-08-25T09:59:14
cl_2020_ca3_jaroslawicz_v._mt_bank_corp,affirmed_and_reversed,mixed (shareholders prevailed on risk-disclosure claims),"The court stated it would ""affirm the District Court's dismissal of the Shareholders' claims that M&T made misleading opinion statements, and vacate the dismissal of the claims about M&T's risk disclosure obligations,"" remanding for further proceedings.",anthropic/claude-opus-5,,,2026-08-25T09:59:14
cl_2020_ca3_united_states_v._steven_fishoff,affirmed,United States (government),"The court concluded: ""We will affirm the judgment of sentence of the District Court.""",anthropic/claude-opus-5,,,2026-08-25T09:59:15
cl_2020_ca3_jeffrey_norman_v._david_elkin,affirmed_and_reversed,mixed; Norman partially prevailed,"The court reversed the dismissal of Norman's distribution-based breach of contract claim for the May, July, and August 2001 distributions, affirmed in all other respects, and remanded for entry of a revised final judgment.",anthropic/claude-opus-5,,,2026-08-25T09:59:15
cl_2020_ca5_jeffery_schweitzer_v._investment_co,affirmed,defendants (Investment Committee of the Phillips 66 Savings Plan),"The court concluded: ""We affirm the district court's dismissal of Plaintiffs' suit.""",anthropic/claude-opus-5,,,2026-08-25T09:59:15
cl_2020_ca6_nancy_goodman_v._j.p._morgan_invest,affirmed,defendants-appellees JPMIM (J.P. Morgan),"The court concluded that summary judgment was warranted and stated, ""Accordingly, we affirm the district court's decision granting summary judgment in favor of JPMIM.""",anthropic/claude-opus-5,,,2026-08-25T09:59:16
cl_2020_ca9_dimitri_shivkov_v._artex_risk_solut,affirmed,Defendants-Appellees (Artex Risk Solutions et al.),The panel concluded the district court correctly granted the motion to compel individual arbitration and stated 'AFFIRMED.',anthropic/claude-opus-5,,,2026-08-25T09:59:17
cl_2020_ca9_tamara_moore_v._mars_petcare_us_inc,reversed_and_remanded,plaintiffs-appellants (pet food purchasers),"The court ""reverse[d] the district court's dismissal of the California state law claims and remand[ed] for further proceedings"" — ""REVERSED and REMANDED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:18
cl_2021_ca2_donna_browe_v._ctc_corp.,affirmed_and_reversed,plaintiffs (former employees) largely prevailed,"The court ""AFFIRM[ED] IN PART and REVERSE[D]/VACATE[D] IN PART the judgment of the district court and REMAND[ED] this case for further proceedings,"" also denying all pending motions as moot.",anthropic/claude-opus-5,,,2026-08-25T09:59:19
cl_2021_ca2_in_re_tribune_co._fraudulent_conv._,affirmed_and_reversed,mixed,"The court affirmed most dismissals but vacated the dismissal of the actual fraudulent conveyance claim against VRC and the constructive fraudulent conveyance claims against Citigroup and Merrill Lynch, and remanded for further proceedings.",anthropic/claude-opus-5,,,2026-08-25T09:59:19
cl_2021_ca2_people_of_the_state_of_new_york_v._,affirmed_and_reversed,mixed (New York Attorney General prevailed in part),"The court stated it ""vacate[s] in part, affirm[s] in part, and remand[s] for further proceedings consistent with this opinion,"" setting aside some of the district court's rulings while affirming others.",anthropic/claude-opus-5,,,2026-08-25T09:59:20
cl_2021_ca2_sacerdote_v._new_york_university,affirmed_and_reversed,mixed,"The court stated: ""we AFFIRM in part, VACATE in part, and REMAND for further proceedings consistent with this opinion,"" vacating the dismissal of the share-class claim and the denial of leave to amend while affirming the rest.",anthropic/claude-opus-5,,,2026-08-25T09:59:20
cl_2021_ca2_sec_v._fowler,affirmed,SEC (plaintiff-appellee),"The court affirmed the district court's judgment, modifying only the disgorgement amount by agreement rather than remanding: ""the judgment of the District Court is AFFIRMED and the disgorgement award is MODIFIED consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:21
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,affirmed_and_reversed,mixed - plaintiffs Set Capital prevailed in part,"The court vacated dismissal of the manipulative scheme, offering-document misstatement, and control-person claims and remanded, while affirming dismissal of the Flatline Value claims (though vacating the denial of leave to amend those).",anthropic/claude-opus-5,,,2026-08-25T09:59:22
cl_2021_ca2_united_states_v._reichberg,affirmed,United States (appellee),"The court concluded ""For the foregoing reasons, we AFFIRM the judgment of conviction,"" rejecting all of Reichberg's challenges.",anthropic/claude-opus-5,,,2026-08-25T09:59:22
cl_2021_ca9_state_of_rhode_island_v._alphabet_i,affirmed_and_reversed,plaintiff-appellant Rhode Island (in substantial part),"The panel's mandate states ""REVERSED IN PART, AFFIRMED IN PART, JUDGMENT VACATED, REMANDED FOR FURTHER PROCEEDINGS,"" reversing dismissal of the 10-Q and Rule 10b-5(a)/(c) claims while affirming dismissal of claims based on the other statements.",anthropic/claude-opus-5,,,2026-08-25T09:59:24
cl_2022_ca2_cantero_v._bank_of_am._n.a.,reversed_and_remanded,"Bank of America, N.A. (defendant-appellant)","The final paragraph states: ""The order of the district court is reversed, and the cases are remanded for further proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:25
cl_2021_ca9_united_states_v._benjamin_koziol,affirmed_and_reversed,"mixed — conviction affirmed for government, sentence vacated for defendant",The court affirmed the conviction but vacated the sentence and remanded for resentencing ('Conviction AFFIRMED; Sentence VACATED and REMANDED for resentencing').,anthropic/claude-opus-5,,,2026-08-25T09:59:25
cl_2022_ca2_exxon_mobil_v._healey,affirmed,Attorneys General (defendants-appellees),"The court dismissed the appeal as to the New York Attorney General for mootness and affirmed the district court's judgment as to the Massachusetts Attorney General; since the only merits ruling reviewed was affirmed and the other portion was a jurisdictional dismissal, the affirmance controls.",anthropic/claude-opus-5,,,2026-08-25T09:59:25
cl_2022_ca2_united_states_v._blaszczak,vacated_and_remanded,defendants-appellants,"The court remanded the substantive counts and Count Two to the district court for dismissal and vacated the convictions on Counts One and Seventeen, remanding for such further proceedings as may be appropriate.",anthropic/claude-opus-5,,,2026-08-25T09:59:26
cl_2022_ca2_haley_v._tiaa,vacated_and_remanded,defendant-appellant TIAA,"The court concluded: ""we VACATE the district court's decision and REMAND for further proceedings consistent with this opinion,"" because the class certification predominance analysis omitted ERISA's statutory exemptions.",anthropic/claude-opus-5,,,2026-08-25T09:59:26
cl_2022_ca7_andrew_albert_v._oshkosh_corporatio,affirmed,defendants-appellees (Oshkosh Corporation),"The court concluded: ""For the foregoing reasons, the district court's judgment is AFFIRMED,"" upholding dismissal of all claims.",anthropic/claude-opus-5,,,2026-08-25T09:59:28
cl_2022_ca7_walter_dean_v._national_production_,affirmed_and_reversed,mixed; plaintiffs partially prevailed,"The court ""AFFIRM[ed] in part and VACATE[d] in part the district court's decision and REMAND[ed] for further proceedings,"" vacating dismissal of the excessive-salary and failure-to-furnish-information claims while affirming dismissal of the rest.",anthropic/claude-opus-5,,,2026-08-25T09:59:28
cl_2022_ca7_diane_burke_v._the_boeing_company,affirmed,The Boeing Company and other defendants,"The court concluded: ""The judgment of the district court is AFFIRMED,"" upholding dismissal of the ERISA action.",anthropic/claude-opus-5,,,2026-08-25T09:59:28
cl_2022_ca9_lenai_mull_v._motion_picture_indust,reversed_and_remanded,Motion Picture Industry Health Plan (defendants-appellants),"The court ordered ""REVERSED AND REMANDED for further proceedings with instructions to the district court to enter an order granting summary judgment in favor of the Plan.""",anthropic/claude-opus-5,,,2026-08-25T09:59:28
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,reversed_and_remanded,Goldman Sachs (defendants-appellants),"The court stated: ""We REVERSE the district court's class certification order, and REMAND with instructions to decertify the class.""",anthropic/claude-opus-5,,,2026-08-25T09:59:30
cl_2023_ca2_cunningham_v._cornell_university,affirmed,defendants (Cornell University and its fiduciaries),"The court stated ""we AFFIRM the judgment of the district court"" and dismissed the conditional cross-appeals as moot.",anthropic/claude-opus-5,,,2026-08-25T09:59:30
cl_2023_ca2_kirschner_v._jp_morgan_chase_bank_n,affirmed,defendants-appellees (JP Morgan et al.),"The court ""AFFIRM[ed] the District Court's September 24, 2018 order determining that it had jurisdiction pursuant to the Edge Act and AFFIRM[ed] its May 22, 2020 order dismissing plaintiff's state-law securities claims.""",anthropic/claude-opus-5,,,2026-08-25T09:59:32
cl_2023_ca2_in_re_nine_west_lbo_sec._litig.,affirmed_and_reversed,mixed - Trustees prevailed on Payroll Transfer claims; shareholders on DTC/Certificate claims,"The court stated: ""we VACATE the district court's judgment as to the Payroll Transfer claims, AFFIRM the remainder of the judgment, and REMAND for further proceedings.""",anthropic/claude-opus-5,,,2026-08-25T09:59:33
cl_2023_ca2_new_england_carpenters_guaranteed_a,affirmed_and_reversed,mixed - partial win for plaintiff-investors,"The court stated the judgment is ""AFFIRMED in part and VACATED in part, and the case is REMANDED for proceedings consistent with this opinion,"" vacating dismissal of certain Securities Act claims while affirming the rest.",anthropic/claude-opus-5,,,2026-08-25T09:59:33
cl_2023_ca3_marlow_henry_v._wilmington_trust_na,affirmed,Marlow Henry (plaintiff-appellee),"The court concluded: ""For the foregoing reasons, we will affirm the order of the District Court,"" upholding the denial of the motion to dismiss in favor of arbitration.",anthropic/claude-opus-5,,,2026-08-25T09:59:34
cl_2023_ca2_pauwels_v._deloitte_llp,affirmed_and_reversed,mixed — Pauwels prevailed only on unjust enrichment claim against BNYM,"The court ""REVERSE[d] the district court's judgment insofar as it dismissed Pauwels's claim for unjust enrichment and REMAND[ed]... We AFFIRM the district court's judgment in all other respects.""",anthropic/claude-opus-5,,,2026-08-25T09:59:34
cl_2023_ca2_sec_v._ahmed,affirmed_and_reversed,mixed (SEC prevailed on liability/disgorgement; Relief Defendants prevailed in part),"The court ""affirm[ed] in part and vacate[d] and remand[ed] in part the district court's judgment,"" affirming discovery limits, disgorgement calculation, and NDAA retroactivity while vacating the actual-gains award and nominee-doctrine rulings.",anthropic/claude-opus-5,,,2026-08-25T09:59:34
cl_2023_ca4_sec_v._christopher_clark,reversed_and_remanded,SEC (appellant),"The court ""reverse[d] the district court's order granting Clark's motion for judgment as a matter of law and remand[ed] for proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:36
cl_2023_ca4_benjamin_reetz_v._aon_hewitt_invest,affirmed,"Aon Hewitt Investment Consulting, Inc. (defendant-appellee)","The panel majority concluded Aon breached neither the duty of loyalty nor prudence and ended with 'Accordingly, the district court is AFFIRMED.'",anthropic/claude-opus-5,,,2026-08-25T09:59:36
cl_2023_ca9_amalgamated_bank_v._facebook_inc.,affirmed_and_reversed,mixed (shareholders prevailed in part),"The panel stated: ""AFFIRMED IN PART, REVERSED IN PART, AND REMANDED IN PART,"" affirming dismissal of some statements and reversing as to others.",anthropic/claude-opus-5,,,2026-08-25T09:59:36
cl_2024_ca2_packer_v._raging_capital_management,reversed_and_remanded,Plaintiff-Appellant Brad Packer,"The court stated it ""REVERSE[s] the March 13, 2023 judgment of the District Court dismissing the action for lack of constitutional standing and REMAND[s] for further proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:38
cl_2024_ca2_new_england_carpenters_guaranteed_a,affirmed_and_reversed,mixed - plaintiffs-appellants prevailed in part,"The court stated the judgment is ""AFFIRMED in part and VACATED in part, and the case is REMANDED for proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:38
cl_2024_ca2_sec_v._rashid,reversed,defendant-appellant Rashid,"The court concluded Rashid neither breached his duty of care nor proximately caused harm and stated: ""For the foregoing reasons, we REVERSE the judgment of the district court,"" without remanding.",anthropic/claude-opus-5,,,2026-08-25T09:59:40
cl_2024_ca2_trustees_of_the_nysnapp_v._white_oa,affirmed_and_reversed,mixed — mostly Trustees (appellee),"The court affirmed as to prejudgment interest and 'Day One' fees, vacated as to disgorgement of profits and the attorneys' fees award, and remanded for further proceedings.",anthropic/claude-opus-5,,,2026-08-25T09:59:41
cl_2024_ca2_peterson_v._bank_markazi,affirmed_and_reversed,mixed (partial win for Clearstream and Bank Markazi),"The panel ""AFFIRM[ed] in part and VACATE[d] in part the district court's order and judgment, and REMAND[ed] for further proceedings,"" affirming personal jurisdiction over Clearstream and the statute's constitutionality while vacating on subject matter jurisdiction over Bank Markazi and summary judgment.",anthropic/claude-opus-5,,,2026-08-25T09:59:41
cl_2024_ca3_sec_v._dale_chappell,affirmed,SEC,"The court concluded: ""For the foregoing reasons, we will affirm the District Court's order granting the preliminary injunction.""",anthropic/claude-opus-5,,,2026-08-25T09:59:41
cl_2023_ca9_julie_su_v._brian_bowers,affirmed_and_reversed,mixed — government prevailed on fees; appellants prevailed on taxable costs,"The court ""AFFIRM[ed] the district court's denial of attorneys' fees and nontaxable costs"" but found an abuse of discretion in the reduced taxable-costs award and ""REMAND[ed] the district court's award of taxable costs.""",anthropic/claude-opus-5,,,2026-08-25T09:59:41
cl_2024_ca9_renaldo_white_v._symetra_assigned_b,reversed,Defendants-Appellants (Symetra),"The mandate states ""the district court's class certification decision is REVERSED,"" without remanding.",anthropic/claude-opus-5,,,2026-08-25T09:59:44
cl_2025_ca1_securities_and_exchange_commission_,vacated_and_remanded,Commonwealth Equity Services (defendant-appellant),"The court stated: ""we vacate the district court's grant of summary judgment to the SEC and the disgorgement order and remand for further proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:45
cl_2025_ca11_united_states_v._ephren_taylor_ii,affirmed_and_reversed,mixed — government prevailed on § 2255 issues; Taylor prevailed on supervised-release modification,"The court stated ""the judgment of the District Court is AFFIRMED IN PART, VACATED IN PART, AND REMANDED,"" affirming denial of the second-or-successive § 2255 filings while vacating the denial of the motion to modify conditions of release.",anthropic/claude-opus-5,,,2026-08-25T09:59:45
cl_2024_cadc_an_opinion_was_released_in_case_24-,denied,the government (Attorney General),"The court stated ""For these reasons the petitions are, Denied,"" upholding the Act against the constitutional challenges.",anthropic/claude-opus-5,,,2026-08-25T09:59:45
cl_2025_ca2_collins_v._ne._grocery_llc,affirmed_and_reversed,mixed (both parties partly prevailed),"The court concluded: ""we AFFIRM IN PART and VACATE IN PART the judgment of the district court and remand for further proceedings consistent with this opinion and the summary order.""",anthropic/claude-opus-5,,,2026-08-25T09:59:46
cl_2024_ca9_julie_su_v._brian_bowers,affirmed_and_reversed,mixed — government prevailed on EAJA fees; Appellants prevailed on taxable costs,"The court ""AFFIRM[ed] the district court's denial of attorneys' fees and nontaxable costs,"" but held the district court abused its discretion in reducing taxable costs and ""REMAND[ed]"" that award for reconsideration.",anthropic/claude-opus-5,,,2026-08-25T09:59:48
cl_2025_ca2_united_states_v._phillips,affirmed,United States (government/appellee),"The court stated ""we AFFIRM the judgment of the district court,"" rejecting all of Phillips's challenges to his conviction.",anthropic/claude-opus-5,,,2026-08-25T09:59:49
cl_2025_ca3_nra_group_llc_v._nicole_durenleau,affirmed,Durenleau and Badaczewski (employees),"The court stated it ""affirm[s] the District Court's judgment for Durenleau and Badaczewski on all of NRA's claims against them.""",anthropic/claude-opus-5,,,2026-08-25T09:59:49
cl_2025_ca2_in_re_shanda_games_ltd._sec._litig.,affirmed_and_reversed,plaintiff-appellant Monk (largely),"The court ""AFFIRM[ed] in part and VACATE[d] in part the judgment of the district court and REMAND[ed] for further proceedings not inconsistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:49
cl_2025_ca2_natl_rifle_assn_of_am._v._vullo,reversed_and_remanded,defendant-appellant Vullo,"The court ""REVERSE[d] the district court's order denying Vullo's motion to dismiss on the basis of qualified immunity, and ... REMAND[ed] the case for the district court to enter judgment dismissing the remaining claims against her.""",anthropic/claude-opus-5,,,2026-08-25T09:59:49
cl_2025_ca9_united_states_v._rice,affirmed,United States (government),"The panel stated ""we affirm the judgments of conviction. AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:49
cl_2025_ca9_winston_anderson_v._intel_corporati,affirmed,Intel Corporation fiduciaries (defendants-appellees),The panel concluded the district court correctly dismissed both the duty-of-prudence and duty-of-loyalty claims and stated simply 'AFFIRMED.',anthropic/claude-opus-5,,,2026-08-25T09:59:51
cl_2026_ca11_citadel_securities_llc_v_u_s_securities_and_ex,denied,SEC and IEX (respondents),"The court concluded that Citadel's positions lack merit and stated that ""Citadel's petition for review of the Approval Order is DENIED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:52
cl_2025_cadc_robert_goodrich_v._bank_of_america_,affirmed,Bank of America and Lettinga (appellees),"The court concluded: ""For the foregoing reasons, we affirm the District Court,"" upholding dismissal and summary judgment for defendants.",anthropic/claude-opus-5,,,2026-08-25T09:59:52
cl_2026_ca10_scottsdale_capital_advisors_v_ussec,affirmed,SEC (defendant-appellee),The court held Scottsdale did not challenge a final agency action and stated 'the district court correctly dismissed its suit for lack of statutory standing under the APA. We AFFIRM.',anthropic/claude-opus-5,,,2026-08-25T09:59:52
cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,affirmed,defendants WPP and Imperial Brands,The court held it would be unreasonable to subject WPP and Imperial to jurisdiction and 'AFFIRM[ed] the district court's dismissal of the plaintiffs' complaint for lack of personal jurisdiction.',anthropic/claude-opus-5,,,2026-08-25T09:59:53
cl_2026_ca11_ann_johnson_v_russell_investments_trust_compan,reversed_and_remanded,Ann Johnson (plaintiff-appellant),"The court held ""the decision of the district court is REVERSED. We REMAND for further proceedings not inconsistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T09:59:54
cl_2026_ca1_premca_extra_income_fund_lp_v_angle,affirmed_and_reversed,mixed; plaintiff Premca partially prevails,"The court reversed the dismissal of the §10(b) and §20(a) claims premised on the August 2023 modified proxy statement, otherwise affirmed the district court's order, and remanded for further proceedings.",anthropic/claude-opus-5,,,2026-08-25T09:59:56
cl_2026_ca1_in_re_apellis_pharm_inc_securities_litigation_,affirmed,"Apellis Pharmaceuticals, Inc. and Dr. Cedric Francois (defendants-appellees)","The court held the challenged statements were not materially misleading and concluded that ""the district court properly dismissed the complaint,"" mandating simply ""Affirmed.""",anthropic/claude-opus-5,,,2026-08-25T09:59:56
cl_2026_ca11_william_drummond_v_southern_company_services_i,reversed_and_remanded,plaintiffs-appellants (Drummond and Odom),"The court stated it ""reverse[d] the district court's dismissal of all four of Plaintiffs' claims"" and remanded for further proceedings — ""REVERSED and REMANDED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:56
cl_2026_ca11_u.s._securities_and_exchange_commis,affirmed,SEC (plaintiff-appellee),"The panel concluded that the district court did not abuse its discretion or err in any respect and stated simply, ""AFFIRMED.""",anthropic/claude-opus-5,,,2026-08-25T09:59:57
cl_2026_ca1_sec_v_gastauer,affirmed,SEC (appellee),"The court concluded that Gastauer's objections were forfeited by his failure to raise them below and stated ""we affirm the district court's judgment.""",anthropic/claude-opus-5,,,2026-08-25T09:59:58
cl_2026_ca2_fonden_v_fdic,vacated_and_remanded,Lead Plaintiff-Appellant Sjunde AP-Fonden,"The court concluded the Succession Clause did not transfer AP7's securities fraud claims and that exhaustion was not required, stating: 'we VACATE the judgment of the district court and REMAND for further proceedings consistent with this opinion.'",anthropic/claude-opus-5,,,2026-08-25T09:59:58
cl_2026_ca2_hayden_v_koons,affirmed,defendants-appellees Jeff Koons and Jeff Koons LLC,"The court stated ""we AFFIRM the district court's opinion and order,"" upholding summary judgment for Koons on statute of limitations grounds.",anthropic/claude-opus-5,,,2026-08-25T09:59:59
cl_2026_ca2_huey_v_anavex_life_sciences_corporation,affirmed,Defendants-Appellees Anavex and Missling,"The court concluded, ""For the foregoing reasons, the district court's judgment is AFFIRMED,"" upholding both the dismissal and denial of leave to amend.",anthropic/claude-opus-5,,,2026-08-25T10:00:00
cl_2026_ca2_mehrotra_v_u_s_dep_t_of_lab,denied,General Electric Company / Department of Labor (respondents),"The court concluded the ARB did not err and stated ""we DENY the petition for review.""",anthropic/claude-opus-5,,,2026-08-25T10:00:00
cl_2026_ca2_inc_v_hbc_invs_llc,affirmed,Defendants-Appellees Hudson Bay,The court stated it 'AFFIRM[s] the judgment of the district court dismissing Butterfly's claim' in full.,anthropic/claude-opus-5,,,2026-08-25T10:00:00
cl_2026_ca2_out_v_calamari,vacated_and_remanded,Mutual Fund Opt-Out Plaintiffs (Movant-Appellants),"The court held the permanent injunction violated the Anti-Injunction Act and stated ""The district court's order is VACATED and the case REMANDED for further proceedings consistent with this opinion.""",anthropic/claude-opus-5,,,2026-08-25T10:00:02
cl_2026_ca2_sec_v,affirmed,SEC (plaintiff-appellee),"The court concluded: ""We have considered all of the arguments by Rogas and Pillsbury on these appeals and have found them to be without merit. The orders of the district court are affirmed.""",anthropic/claude-opus-5,,,2026-08-25T10:00:02
cl_2026_ca2_smith_v_the_gap_inc,affirmed,"Defendants-Appellees (The Gap, Inc. and executives)","The court concluded: ""For the foregoing reasons, the judgment of the district court is affirmed,"" upholding dismissal of the complaint in full.",anthropic/claude-opus-5,,,2026-08-25T10:00:03
cl_2026_ca2_u_s_v,affirmed,United States (appellee),"The court concluded, ""For these reasons, we AFFIRM the judgment of the district court,"" upholding the conviction, sentence, and forfeiture in full.",anthropic/claude-opus-5,,,2026-08-25T10:00:04
cl_2026_ca2_stinn_v_united_states,affirmed,United States (respondent-appellee),"The panel concluded: ""For the reasons stated above, we AFFIRM the judgment of the district court"" denying the coram nobis petition.",anthropic/claude-opus-5,,,2026-08-25T10:00:04
