dataset,model,case_id,qid,category
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q14,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q16,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q17,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q19,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q20,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q21,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q22,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q23,unknown_bare
court,Claude Opus 4,cl_2015_ca9_northstar_financial_advisors_v._sch,Q24,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q01,attempt
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q02,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q03,attempt
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q04,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q07,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q08,attempt
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q09,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q10,unknown_explained
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q11,unknown_explained
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q12,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q13,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q14,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q16,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q17,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q19,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q20,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q21,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q22,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q23,unknown_bare
court,Claude Opus 4,cl_2015_ca9_steve_harris_v._amgen_inc.,Q24,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q01,attempt
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q02,attempt
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q03,attempt
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q04,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q07,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q08,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q09,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q10,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q11,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q12,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q13,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q14,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q16,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q17,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q19,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q20,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q21,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q22,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q23,unknown_bare
court,Claude Opus 4,cl_2017_iowa_amended_september_5_2017_state_of_i,Q24,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q01,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q02,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q03,attempt
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q04,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q07,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q08,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q09,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q10,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q11,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q12,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q13,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q14,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q17,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q19,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q20,attempt
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q21,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q22,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q23,unknown_bare
court,Claude Opus 4,cl_2017_pa_villani_v._seibert_appeal_of_seiber,Q24,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q01,attempt
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q02,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q03,attempt
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q04,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q07,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q08,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q09,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q10,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q11,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q12,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q13,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q14,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q16,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q17,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q19,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q21,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q22,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q23,unknown_bare
court,Claude Opus 4,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q24,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q01,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q02,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q03,attempt
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q04,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q07,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q08,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q09,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q10,unknown_explained
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q11,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q12,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q13,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q14,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q17,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q19,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q20,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q21,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q22,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q23,unknown_bare
court,Claude Opus 4,cl_2018_ca9_united_states_v._jonathan_turner,Q24,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q01,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q02,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q03,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q04,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q07,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q08,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q09,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q10,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q11,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q12,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q13,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q14,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q16,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q17,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q19,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q20,attempt
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q21,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q22,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q23,unknown_bare
court,Claude Opus 4,cl_2018_ca9_ussec_v._e._andrew_schooler,Q24,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q01,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q02,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q03,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q04,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q07,unknown_explained
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q08,unknown_explained
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q09,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q10,unknown_explained
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q11,unknown_explained
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q12,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q13,attempt
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q14,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q16,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q17,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q19,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q20,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q21,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q22,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q23,unknown_bare
court,Claude Opus 4,cl_2018_cadc_phh_corporation_v._cfpb,Q24,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q01,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q02,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q03,attempt
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q04,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q07,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q08,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q09,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q10,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q11,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q12,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q13,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q19,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q20,attempt
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q21,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q22,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q23,unknown_bare
court,Claude Opus 4,cl_2018_illappct_vt_investment_corp._v._west_columbi,Q24,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q01,attempt
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q02,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q03,attempt
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q04,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q07,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q08,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q09,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q10,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q11,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q12,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q13,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q14,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q16,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q17,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q19,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q20,attempt
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q21,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q22,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q23,unknown_bare
court,Claude Opus 4,cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q24,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q01,attempt
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q02,attempt
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q03,attempt
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q04,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q07,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q08,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q09,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q10,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q11,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q12,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q13,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q16,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q17,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q19,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q21,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q22,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q23,unknown_bare
court,Claude Opus 4,cl_2019_ca9_alexander_acosta_v._city_national_c,Q24,unknown_bare
court,Claude Opus 4,cl_2019_ca9_ussec_v._hui_feng,Q01,unknown_bare
court,Claude Opus 4,cl_2019_ca9_ussec_v._hui_feng,Q02,unknown_bare
court,Claude Opus 4,cl_2019_ca9_ussec_v._hui_feng,Q03,unknown_bare
court,Claude Opus 4,cl_2019_ca9_ussec_v._hui_feng,Q04,unknown_bare
court,Claude Opus 4,cl_2019_ca9_ussec_v._hui_feng,Q07,unknown_bare
