case_id,qid,work,arm,date_filed,jurisdiction,model,condition,trunc_n,n_prefix_tokens,n_suffix_tokens,logp_sum,logp_per_token,p_geomean,min_token_logprob,n_tokens_below_1e3,first_break_index,align_warning
cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,Q12,cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,post_cutoff_control,2026-07-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,18,-43.589595,-2.421644,0.08877554,-8.521681,2,1,
cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,Q12,cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,post_cutoff_control,2026-07-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,7,18,-43.589595,-2.421644,0.08877554,-8.521681,2,1,
cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,Q12,cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,post_cutoff_control,2026-07-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,7,18,-43.589595,-2.421644,0.08877554,-8.521681,2,1,
cl_2014_ca2_sec_v._contorinis,Q13,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-19.428941,-1.942894,0.14328866,-4.90249,0,1,
cl_2014_ca2_sec_v._contorinis,Q13,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,13,-26.428692,-2.032976,0.13094521,-4.90249,0,1,
cl_2014_ca2_sec_v._contorinis,Q13,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,13,-26.428692,-2.032976,0.13094521,-4.90249,0,1,
cl_2014_ca2_sec_v._contorinis,Q13,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,13,-26.428692,-2.032976,0.13094521,-4.90249,0,1,
cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q13,cl_2019_ca3_jennifer_sweda_v._university_of_pen,pre_cutoff,2019-05-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-34.910993,-3.491099,0.03046736,-12.565159,1,4,
cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q13,cl_2019_ca3_jennifer_sweda_v._university_of_pen,pre_cutoff,2019-05-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,13,-37.259598,-2.866123,0.05691918,-12.565159,1,4,
cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q13,cl_2019_ca3_jennifer_sweda_v._university_of_pen,pre_cutoff,2019-05-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,13,-37.259598,-2.866123,0.05691918,-12.565159,1,4,
cl_2019_ca3_jennifer_sweda_v._university_of_pen,Q13,cl_2019_ca3_jennifer_sweda_v._university_of_pen,pre_cutoff,2019-05-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,13,-37.259598,-2.866123,0.05691918,-12.565159,1,4,
cl_2019_ca9_ussec_v._hui_feng,Q19,cl_2019_ca9_ussec_v._hui_feng,pre_cutoff,2019-08-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,9,10,-22.846284,-2.284628,0.10181189,-7.03507,1,2,
cl_2019_ca9_ussec_v._hui_feng,Q19,cl_2019_ca9_ussec_v._hui_feng,pre_cutoff,2019-08-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,9,17,-46.38275,-2.728397,0.06532392,-8.334001,2,15,
cl_2019_ca9_ussec_v._hui_feng,Q19,cl_2019_ca9_ussec_v._hui_feng,pre_cutoff,2019-08-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,9,17,-46.38275,-2.728397,0.06532392,-8.334001,2,15,
cl_2019_ca9_ussec_v._hui_feng,Q19,cl_2019_ca9_ussec_v._hui_feng,pre_cutoff,2019-08-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,9,17,-46.38275,-2.728397,0.06532392,-8.334001,2,15,
cl_2020_ca3_jeffrey_norman_v._david_elkin,Q10,cl_2020_ca3_jeffrey_norman_v._david_elkin,pre_cutoff,2020-05-29,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,14,10,-51.676588,-5.167659,0.00569789,-14.227803,2,1,
cl_2020_ca3_jeffrey_norman_v._david_elkin,Q10,cl_2020_ca3_jeffrey_norman_v._david_elkin,pre_cutoff,2020-05-29,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,14,12,-52.746314,-4.395526,0.01233239,-14.227803,2,1,
cl_2020_ca3_jeffrey_norman_v._david_elkin,Q10,cl_2020_ca3_jeffrey_norman_v._david_elkin,pre_cutoff,2020-05-29,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,14,12,-52.746314,-4.395526,0.01233239,-14.227803,2,1,
cl_2020_ca3_jeffrey_norman_v._david_elkin,Q10,cl_2020_ca3_jeffrey_norman_v._david_elkin,pre_cutoff,2020-05-29,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,14,12,-52.746314,-4.395526,0.01233239,-14.227803,2,1,
cl_2022_dcd_united_states_v._garcia,Q19,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-38.198658,-3.819866,0.02193074,-7.682894,2,2,
cl_2022_dcd_united_states_v._garcia,Q19,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,19,-53.978095,-2.840952,0.05837005,-7.682894,2,2,
cl_2022_dcd_united_states_v._garcia,Q19,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,7,19,-53.978095,-2.840952,0.05837005,-7.682894,2,2,
cl_2022_dcd_united_states_v._garcia,Q19,cl_2022_dcd_united_states_v._garcia,pre_cutoff,2022-07-22,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,7,19,-53.978095,-2.840952,0.05837005,-7.682894,2,2,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q11,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,15,10,-40.875394,-4.087539,0.01678047,-10.14804,1,7,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q11,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,15,11,-41.555129,-3.777739,0.02287435,-10.14804,1,7,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q11,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,15,11,-41.555129,-3.777739,0.02287435,-10.14804,1,7,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q11,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,15,11,-41.555129,-3.777739,0.02287435,-10.14804,1,7,
cl_2023_ca9_julie_su_v._brian_bowers,Q13,cl_2023_ca9_julie_su_v._brian_bowers,pre_cutoff,2023-10-25,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,8,10,-56.715279,-5.671528,0.0034426,-11.192235,5,5,
cl_2023_ca9_julie_su_v._brian_bowers,Q13,cl_2023_ca9_julie_su_v._brian_bowers,pre_cutoff,2023-10-25,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,8,18,-72.012935,-4.000719,0.01830248,-11.192235,6,5,
cl_2023_ca9_julie_su_v._brian_bowers,Q13,cl_2023_ca9_julie_su_v._brian_bowers,pre_cutoff,2023-10-25,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,8,18,-72.012935,-4.000719,0.01830248,-11.192235,6,5,
cl_2023_ca9_julie_su_v._brian_bowers,Q13,cl_2023_ca9_julie_su_v._brian_bowers,pre_cutoff,2023-10-25,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,8,18,-72.012935,-4.000719,0.01830248,-11.192235,6,5,
cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,Q07,cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,post_cutoff_control,2026-07-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-37.930366,-3.793037,0.02252709,-12.042014,1,9,
cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,Q07,cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,post_cutoff_control,2026-07-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,13,-41.015265,-3.15502,0.04263753,-12.042014,1,9,
cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,Q07,cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,post_cutoff_control,2026-07-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,13,-41.015265,-3.15502,0.04263753,-12.042014,1,9,
cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,Q07,cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,post_cutoff_control,2026-07-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,13,-41.015265,-3.15502,0.04263753,-12.042014,1,9,
cl_2014_ca2_sec_v._contorinis,Q09,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,14,10,-70.33405,-7.033405,0.00088192,-13.413877,6,6,
cl_2014_ca2_sec_v._contorinis,Q09,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,14,13,-75.839771,-5.833829,0.00292685,-13.413877,6,6,
cl_2014_ca2_sec_v._contorinis,Q09,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,14,13,-75.839771,-5.833829,0.00292685,-13.413877,6,6,
cl_2014_ca2_sec_v._contorinis,Q09,cl_2014_ca2_sec_v._contorinis,pre_cutoff,2014-02-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,14,13,-75.839771,-5.833829,0.00292685,-13.413877,6,6,
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q12,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,pre_cutoff,2018-02-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,8,10,-43.393107,-4.339311,0.01304552,-12.49869,3,4,
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q12,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,pre_cutoff,2018-02-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,8,19,-68.791575,-3.620609,0.02676637,-12.49869,4,4,
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q12,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,pre_cutoff,2018-02-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,8,19,-68.791575,-3.620609,0.02676637,-12.49869,4,4,
cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,Q12,cl_2018_ca9_jaclyn_santomenno_v._transamerica_l,pre_cutoff,2018-02-23,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,8,19,-68.791575,-3.620609,0.02676637,-12.49869,4,4,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q08,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-40.181258,-4.018126,0.01798664,-11.481688,1,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q08,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,14,-44.309621,-3.164973,0.04221528,-11.481688,1,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q08,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,14,-44.309621,-3.164973,0.04221528,-11.481688,1,1,
cl_2019_cadc_donald_trump_v._mazars_usa_llp,Q08,cl_2019_cadc_donald_trump_v._mazars_usa_llp,pre_cutoff,2019-10-11,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,14,-44.309621,-3.164973,0.04221528,-11.481688,1,1,
cl_2020_ca2_gonnella_v._securities_and_exchange,Q08,cl_2020_ca2_gonnella_v._securities_and_exchange,pre_cutoff,2020-04-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-44.193688,-4.419369,0.01204183,-9.100284,2,9,
cl_2020_ca2_gonnella_v._securities_and_exchange,Q08,cl_2020_ca2_gonnella_v._securities_and_exchange,pre_cutoff,2020-04-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,20,-72.670056,-3.633503,0.02642347,-9.332449,4,10,
cl_2020_ca2_gonnella_v._securities_and_exchange,Q08,cl_2020_ca2_gonnella_v._securities_and_exchange,pre_cutoff,2020-04-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,7,20,-72.670056,-3.633503,0.02642347,-9.332449,4,10,
cl_2020_ca2_gonnella_v._securities_and_exchange,Q08,cl_2020_ca2_gonnella_v._securities_and_exchange,pre_cutoff,2020-04-02,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,7,20,-72.670056,-3.633503,0.02642347,-9.332449,4,10,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q07,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,13,10,-23.093747,-2.309375,0.09932334,-4.901075,0,0,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q07,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,13,14,-25.558405,-1.8256,0.16112088,-4.901075,0,0,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q07,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,13,14,-25.558405,-1.8256,0.16112088,-4.901075,0,0,
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,Q07,cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,pre_cutoff,2023-08-10,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,13,14,-25.558405,-1.8256,0.16112088,-4.901075,0,0,
cl_2023_ca3_marlow_henry_v._wilmington_trust_na,Q08,cl_2023_ca3_marlow_henry_v._wilmington_trust_na,pre_cutoff,2023-06-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-42.267318,-4.226732,0.01460003,-7.3504,2,3,
cl_2023_ca3_marlow_henry_v._wilmington_trust_na,Q08,cl_2023_ca3_marlow_henry_v._wilmington_trust_na,pre_cutoff,2023-06-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,20,-61.085061,-3.054253,0.04715793,-7.722826,3,13,
cl_2023_ca3_marlow_henry_v._wilmington_trust_na,Q08,cl_2023_ca3_marlow_henry_v._wilmington_trust_na,pre_cutoff,2023-06-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,7,20,-61.085061,-3.054253,0.04715793,-7.722826,3,13,
cl_2023_ca3_marlow_henry_v._wilmington_trust_na,Q08,cl_2023_ca3_marlow_henry_v._wilmington_trust_na,pre_cutoff,2023-06-30,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,7,20,-61.085061,-3.054253,0.04715793,-7.722826,3,13,
cl_2023_ca9_amalgamated_bank_v._facebook_inc.,Q19,cl_2023_ca9_amalgamated_bank_v._facebook_inc.,pre_cutoff,2023-10-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-37.959764,-3.795976,0.02246096,-10.058285,2,5,
cl_2023_ca9_amalgamated_bank_v._facebook_inc.,Q19,cl_2023_ca9_amalgamated_bank_v._facebook_inc.,pre_cutoff,2023-10-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,20,-58.485419,-2.924271,0.05370383,-10.058285,3,5,
cl_2023_ca9_amalgamated_bank_v._facebook_inc.,Q19,cl_2023_ca9_amalgamated_bank_v._facebook_inc.,pre_cutoff,2023-10-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,50,7,20,-58.485419,-2.924271,0.05370383,-10.058285,3,5,
cl_2023_ca9_amalgamated_bank_v._facebook_inc.,Q19,cl_2023_ca9_amalgamated_bank_v._facebook_inc.,pre_cutoff,2023-10-18,federal,meta-llama/Llama-3.1-8B-Instruct,raw,full,7,20,-58.485419,-2.924271,0.05370383,-10.058285,3,5,
cl_2023_ca9_julie_su_v._brian_bowers,Q10,cl_2023_ca9_julie_su_v._brian_bowers,pre_cutoff,2023-10-25,federal,meta-llama/Llama-3.1-8B-Instruct,raw,10,7,10,-39.11482,-3.911482,0.02001082,-7.821427,3,6,
cl_2023_ca9_julie_su_v._brian_bowers,Q10,cl_2023_ca9_julie_su_v._brian_bowers,pre_cutoff,2023-10-25,federal,meta-llama/Llama-3.1-8B-Instruct,raw,25,7,20,-63.184239,-3.159212,0.04245919,-7.821427,3,6,
