rank,case_id,arm,mean_logp,n_tokens,char_start,char_end,text
16,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002096,50,425129,425335,"Securities, Island Stock Transfer, and Dilley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule 10b-5(c) of the Exchange Act,"
17,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.002256,50,6130,6334,"jury trial, (4) the use of written declarations rather than live examination for direct testimony in the bench trial, (5) some of the district court’s findings in NYU’s favor after the bench trial, and ("
18,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.002297,50,5189,5354,", “Deloitte”) to take over the work that Pauwels had been performing for BNYM. In 2018, Pauwels learned that BNYM had shared his spreadsheets with Deloitte without"
19,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002311,50,397372,397534,"§ 78o(c)(2), and 17 C.F.R. § 240.15c2-11, and is deemed to be in violation of this provision to the same extent as Spartan Securities. 130."
20,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.00243,50,418421,418571,"or sale of securities, and by reason of the foregoing, violated Section 10(b) and Rule 10b-5(a) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C"
21,cl_2023_ca2_sec_v._ahmed,pre_cutoff,-0.00245,50,7151,7357,"We conclude, however, that the district court (4) failed to assess whether actual gains on the frozen assets were unduly remote from Ahmed’s fraud, and (5) should have applied an asset-by-asset approach to"
22,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.002469,50,4070,4280,"ers (together, the Individual Defendants); and Janus Henderson Group PLC, Janus Index & Calculation Services LLC, and Janus Distributors, LLC, doing business as Janus Henderson Distributors (collectively, Janus"
23,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002499,50,412473,412659,"in light of the circumstances under which they were made, not misleading, and by reason of the foregoing, violated Section 17(a)(2) of the Securities Act, 15 U.S.C. § 77q(a)(2"
24,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002615,50,422565,422717,", are reasonably likely to continue to aid and abet, violations of Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b) and"
25,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.00262,50,5111,5268,"-appellees Deloitte LLP, Deloitte Tax LLP, and Deloitte USA LLP (collectively, “Deloitte”) to take over the work that Pauwels had been performing for BNYM."
26,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.002689,50,412335,412598,"property by means of untrue statements of material facts or omissions to state material facts necessary to make the statements made, in light of the circumstances under which they were made, not misleading, and by reason of the foregoing, violated"
27,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.002715,50,5774,6028,must plausibly plead a constitutionally-cognizable individual injury to establish that they have Article III standing to obtain monetary relief for alleged ERISA violations. We agree with the district court that Plaintiffs here lack Article III standing
28,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.002731,50,5268,5452,"In 2018, Pauwels learned that BNYM had shared his spreadsheets with Deloitte without his consent. Pauwels alleges that Deloitte used the spreadsheets to reverse engineer the Pauwels"
29,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.002766,50,5899,6130,"NYU breached its duty of prudence by offering particular share classes of mutual funds in the retirement plans, (2) the denial of leave to amend their complaint to name additional defendants, (3) the striking of their demand for a"
30,cl_2021_ca2_united_states_v._reichberg,pre_cutoff,-0.002832,50,3250,3502,"motion to suppress evidence, a number of evidentiary and trial-management rulings, the district court’s failure to inquire into one of his attorneys’ potential conflict of interest, the jury instructions, and the sufficiency of the evidence in support"
31,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.002855,50,5902,6179,monetary relief for alleged ERISA violations. We agree with the district court that Plaintiffs here lack Article III standing because they did not allege that they suffered any financial loss affecting their individual retirement accounts arising from Defendants’ allegedly im
32,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.002873,50,6247,6438,", (5) some of the district court’s findings in NYU’s favor after the bench trial, and (6) the denial of their motion for a new trial, which argued that the judge presiding over the trial (For"
33,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.003333,50,407145,407372,"securities. 151. By reason of the foregoing, Spartan Securities, Island Stock Transfer, Dilley and Eldred violated, and, unless enjoined, are reasonably likely to continue to violate, Section 10(b)"
34,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.003361,50,5197,5426,700(CON) Peterson v. Bank Markazi judgments against Iran—granted summary judgment in favor of the Plaintiffs and issued an order directing Clearstream and Bank Markazi to turn the contents of the Luxembourg account over to the
35,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.003627,50,422231,422341,"10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(b), and are deemed to be in"
36,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.00385,50,404963,405225,"commerce, or of the mails, knowingly or recklessly made untrue statements of material facts and omitted to state material facts necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading in"
37,cl_2015_ca2_in_re_kingate_management_limited_li,pre_cutoff,-0.003896,50,2403,2453,‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐ ‐
38,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.004416,50,4640,4820,"-by-deal basis. In 2014, to facilitate his work for BNYM, Pauwels developed the so-called Pauwels Model, a bespoke valuation tool that he used to evaluate BNYM’s potential energy"
39,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.004494,50,4820,5014,"-sector investments and to monitor existing ones. At various times between 2014 and the end of his working relationship with BNYM in 2018, Pauwels shared spreadsheets derived from the Pauwels"
40,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.004529,50,3985,4183,"collectively, Credit Suisse); Credit Suisse’s CEO Tidjane Thiam and CFO David R. Mathers (together, the Individual Defendants); and Janus Henderson Group PLC, Janus Index & Calculation Services LLC,"
41,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.004687,50,418299,418517,"the mails, knowingly or recklessly employed devices, schemes or artifices to defraud in connection with the purchase or sale of securities, and by reason of the foregoing, violated Section 10(b) and Rule 10b"
42,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.005022,50,7523,7769,"the District Court erred in holding that it did. First, a District Court must follow controlling precedent—even precedent the District Court believes may eventually be overturned—rather than preemptively declaring that our caselaw has been abrog"
43,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.005194,50,7649,7860,"District Court believes may eventually be overturned—rather than preemptively declaring that our caselaw has been abrogated. Second, TransUnion did not cast doubt on, much less abrogate, Donoghue. To determine"
44,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005342,50,403052,403289,"of any means or instrumentality of interstate commerce, or of the mails, knowingly or recklessly employed devices, schemes or artifices to defraud in connection with the purchase or sale of securities. 143. By"
45,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005398,50,411172,411347,"they were made, not misleading, and by reason of the foregoing, violated Section 17(a)(2) of the Securities Act, 15 U.S.C. § 77q(a)(2). 160. From at least"
46,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005402,50,421558,421777,"Filed: 01/16/2026 Page: 207 of 211 to state material facts necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading in connection with"
47,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.005446,50,28835,29118,; (4) the court should consider the effect of expediting delayed action on agency activities of a higher or competing priority; (5) the court should also take into account the nature and extent of the interests prejudiced
48,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005574,50,404843,405096,", Spartan Securities and Eldred, directly and indirectly, by use of any means or instrumentality of interstate commerce, or of the mails, knowingly or recklessly made untrue statements of material facts and omitted to state material facts"
49,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.005667,50,7769,8009,"ated. Second, TransUnion did not cast doubt on, much less abrogate, Donoghue. To determine whether an intangible injury is sufficiently concrete to confer constitutional standing, TransUnion instructed courts to identify a “close historical"
50,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.005952,50,5383,5631,this opinion we address Plaintiffs’ challenge to the district court’s dismissal of their claims for lack of standing. We address the district court’s dismissal of Plaintiffs’ remaining claims for failure to state a claim and its denial of leave to
51,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.006004,50,4716,4941,"the so-called Pauwels Model, a bespoke valuation tool that he used to evaluate BNYM’s potential energy-sector investments and to monitor existing ones. At various times between 2014 and the end of his working relationship"
52,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.006008,50,5757,5976,"els then brought suit against BNYM and Deloitte in the United States District Court for the Southern District of New York alleging, inter alia, that the Pauwels Model embodied a trade secret that they misappropriated."
53,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006128,50,314643,314748,"(c)(2) and Rules 10b-5 and 15c2-11 of the Exchange Act, 15 U.S.C. §§ 78j(b), 78o(c)(2), and 17 C.F.R"
54,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.006321,50,4532,4716,"investment valuation project. BNYM and Pauwels continued to work together in the following years on a deal-by-deal basis. In 2014, to facilitate his work for BNYM, Pauwels developed"
55,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006628,50,415381,415604,"operated or would have operated as a fraud or deceit upon the purchasers and prospective purchasers of such securities, and by reason of the foregoing, violated Section 17(a)(3) of the Securities Act, 15 U.S"
56,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.006669,50,28689,28973,delays that might be reasonable in the sphere of economic regulation are less tolerable when human health and welfare are at stake; (4) the court should consider the effect of expediting delayed action on agency activities of a higher or
57,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006919,50,418517,418641,"-5(a) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(a). 174. From at least as early"
58,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.006953,50,5790,6014,"and the denial of post-trial motions. On appeal, plaintiffs challenge: (1) the dismissal of their claim that NYU breached its duty of prudence by offering particular share classes of mutual funds in the retirement plans, (2"
59,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006962,50,409253,409457,"mails, directly or indirectly, knowingly or recklessly employed devices, schemes or artifices to defraud, and by reason of the foregoing, violated Section 17(a)(1) of the Securities Act, 15 U.S"
60,cl_2024_dcd_securities_and_exchange_commission_,post_cutoff_control,-0.007121,50,16654,16810,"ated by reference in the complaint, and matters about which the Court may take judicial notice.” Gustave-Schmidt v. Chao, 226 F. Supp. 2d 191, 196 (D.D.C."
61,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.007331,50,425335,425483,"15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(c), and are deemed to be in violation of these provisions to the same extent as Mirman and Rose."
62,cl_2024_dcd_securities_and_exchange_commission_,post_cutoff_control,-0.007555,50,23914,24225,"participation in any profit-sharing agreement, collateral-trust certificate, preorganization certificate or subscription, transferable share, investment contract, voting-trust certificate, certificate of deposit for a security, fractional undivided interest in oil,"
63,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.007834,50,314577,314703,"the Securities Act, 15 U.S.C. § 77e(a), and Sections 10(b) and 15(c)(2) and Rules 10b-5 and 15c2-11 of the Exchange Act,"
64,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.008167,50,401090,401294,") 138. From at least as early as May 2011 through at least August 2014, Spartan Securities and Eldred, in the offer or sale of securities by the use of any means or instruments of"
65,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.008196,50,10644,10787,"jurisdiction upon a federal court.’” Akinseye v. District of Columbia, 339 F.3d 970, 971 (D.C. Cir. 2003), quoting Ins. Corp. of Ir., Ltd. v."
66,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.008205,50,4781,5006,"principal and interest of bond investments that Clearstream made in New York on behalf of Bank Markazi, Iran’s central bank. The United States District Court for the Southern District of New York (Loretta A. Preska, Judge"
67,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.008462,50,422002,422231,"early as December 2009 through at least July 2014, Spartan Securities, Island Stock Transfer, and Dilley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule"
68,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.008485,50,5948,6153,"States District Court for the Eastern District of New York (James M. Wicks, Magistrate Judge) reached the opposite conclusion as our panel, however. It determined that TransUnion LLC v. Ramirez, 594 U.S."
69,cl_2026_ca9_united_states_v_ridley_thomas,post_cutoff_control,-0.008566,50,6195,6371,"concerning programs receiving federal funds in violation of 18 U.S.C. § 666(a)(1)(B), and five counts of honest services mail and wire fraud in violation of 18 U.S.C. §§ 1341,"
70,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.00885,50,5544,5791,(1) the district court lacks subject matter jurisdiction over the Plaintiffs’ turnover claim against Bank Markazi; (2) the district court may exercise personal jurisdiction over Clearstream; (3) Clearstream’s challenge to the constitutionality
71,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.008928,50,405467,405583,"violate, Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-"
72,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.009057,50,418571,418745,".F.R. § 240.10b-5(a). 174. From at least as early as December 2009 through at least July 2014, Spartan Securities, Island Stock Transfer, and Dilley"
73,cl_2022_ca2_haley_v._tiaa,pre_cutoff,-0.009097,50,4597,4837,ERISA’s statutory exemptions on liability classwide and without making any factual findings as to the similarities of the loans. We agree. Because the predominance inquiry of Federal Rule of Civil Procedure 23(b)(3) requires that a district
74,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.009101,50,6054,6260,"opposite conclusion as our panel, however. It determined that TransUnion LLC v. Ramirez, 594 U.S. 413 (2021), which elaborated on the “concrete injury” requirement of constitutional standing, abrogated Don"
75,cl_2022_ca2_haley_v._tiaa,pre_cutoff,-0.009141,50,4463,4728,ues that the district court erred when it found that common issues predominated over individual ones without addressing the effect of ERISA’s statutory exemptions on liability classwide and without making any factual findings as to the similarities of the loans. We
76,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.009237,50,6334,6539,"6) the denial of their motion for a new trial, which argued that the judge presiding over the trial (Forrest, J.) should have been disqualified. We find merit in the first two of these challenges, but none"
77,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.009247,50,4650,4902,"an account with Clearstream Banking, a Luxembourg- based financial institution: a $1.68 billion right to payment representing the principal and interest of bond investments that Clearstream made in New York on behalf of Bank Markazi, Iran’s central"
78,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.009485,50,5695,5899,"(Analisa Torres, J.), they appeal from the entry of judgment in defendant-appellee NYU’s favor and the denial of post-trial motions. On appeal, plaintiffs challenge: (1) the dismissal of their claim that"
79,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.009883,50,422284,422459,") and 17 C.F.R. § 240.10b-5(b), and are deemed to be in violation of these provisions to the same extent as Mirman and Rose. 181. By reason of the foregoing"
80,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.00989,50,416076,416282,"77q(a)(3), and are deemed to be in violation of this provision to the same extent as Mirman and Rose. 169. By reason of the foregoing, Spartan Securities, Island Stock Transfer, Dilley"
81,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.010015,50,401184,401439,"Securities and Eldred, in the offer or sale of securities by the use of any means or instruments of transportation or communication in interstate commerce or by use of the mails, directly or indirectly, negligently engaged in transactions,"
82,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.010077,50,11071,11211,"782 F.2d 227, 241 (D.C. Cir. 1986), vacated on other grounds, 482 U.S. 64 (1987). Rather, “a court may consider such materials outside the"
83,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.01044,50,409852,410027,"Rose’s violations of Section 17(a)(1) of the Securities Act, 15 U.S.C. § 77q(a)(1), and are deemed to be in violation of this provision to the same extent as Mirman"
84,cl_2020_ca2_united_states_v._kosinski,pre_cutoff,-0.010507,50,20046,20271,"liability, § 10(b) and Rule 10b–5 are violated when a corporate insider trades in the securities of his corporation on the basis of material, nonpublic information. Trading on such information qualifies as"
85,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.010607,50,4183,4371,"and Janus Distributors, LLC, doing business as Janus Henderson Distributors (collectively, Janus). Set Capital principally alleges that, on February 5, 2018, Credit Suisse, Janus, and the"
86,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.010957,50,313794,313894,"), 17(a)(1) and 17(a)(3) of the Securities Act, 15 U.S.C. §§ 77e(a), 77e(c), 77q(a)(1), 77q(a)("
87,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.01102,50,422459,422662,", Spartan Securities, Island Stock Transfer, Dilley and Eldred aided and abetted and, unless enjoined, are reasonably likely to continue to aid and abet, violations of Section 10(b) and Rule 10"
88,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.011319,50,3869,4070,"securities class action lawsuit against Credit Suisse Group AG, Credit Suisse AG, and Credit Suisse International (collectively, Credit Suisse); Credit Suisse’s CEO Tidjane Thiam and CFO David R. Math"
89,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.011503,50,11629,11815,"(b)(6)] motion to dismiss, a complaint must contain sufficient factual matter, accepted as true, to ‘state a claim to relief that is plausible on its face.’” Ashcroft v. Iqbal, 556 U.S"
90,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.011562,50,415251,415515,"or by use of the mails, directly or indirectly, negligently engaged in transactions, practices and courses of business which operated or would have operated as a fraud or deceit upon the purchasers and prospective purchasers of such securities, and"
91,cl_2025_scotus_cunningham_v._cornell_univ.,post_cutoff_control,-0.011618,50,370,563,"but has been prepared by the Reporter of Decisions for the convenience of the reader. See United States v. Detroit Timber & Lumber Co., 200 U. S. 321, 337. SUPREME COURT OF THE"
92,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.011643,50,405352,405537,"Island Stock Transfer, Dilley and Eldred violated, and, unless enjoined, are reasonably likely to continue to violate, Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15"
93,cl_2014_ca2_city_of_pontiac_v._ubs_ag,pre_cutoff,-0.011823,50,5925,6067,"forth in Morrison v. National Australia Bank Ltd., 561 U.S. 247 (2010), precludes claims arising out of foreign‐issued securities"
94,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.011996,50,425378,425596,"5(c), and are deemed to be in violation of these provisions to the same extent as Mirman and Rose. 187. By reason of the foregoing, Spartan Securities, Island Stock Transfer, Dilley and Eldred"
95,cl_2024_ca2_trustees_of_the_nysnapp_v._white_oa,post_cutoff_control,-0.012041,50,40012,40194,or (B) to obtain other appropriate equitable relief (i) to redress such violations or (ii) to enforce any provisions of this subchapter or the terms of the plan.” 29 U.S.C. § 1132
96,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.012066,50,11736,11875,"a claim to relief that is plausible on its face.’” Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009), quoting Bell Atl. Corp. v. Twombly, 550 U"
97,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.012113,50,418182,418421,"man and Rose, directly and indirectly, by use of any means or instrumentality of interstate commerce, or of the mails, knowingly or recklessly employed devices, schemes or artifices to defraud in connection with the purchase"
98,cl_2021_ca9_state_of_rhode_island_v._alphabet_i,pre_cutoff,-0.012169,50,27420,27621,2) scienter; (3) a connection between the misrepresentation or omission and the purchase or sale of a security; (4) reliance upon the misrepresentation or omission; (5) economic loss; and (6) loss caus
99,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.012615,50,424058,424190,"and Harrison’s violations of Section 10(b) and Rule 10b-5(c) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240."
100,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.012643,50,418641,418865,"as December 2009 through at least July 2014, Spartan Securities, Island Stock Transfer, and Dilley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule"
101,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.012747,50,5874,6079,"York alleging, inter alia, that the Pauwels Model embodied a trade secret that they misappropriated. Pauwels also raised several other claims arising under New York law. BNYM and Deloitte moved"
102,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.012963,50,403180,403407,"or artifices to defraud in connection with the purchase or sale of securities. 143. By reason of the foregoing, Spartan Securities, Island Stock Transfer, Dilley and Eldred violated, and, unless enjo"
103,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.012996,50,5976,6171,"Pauwels also raised several other claims arising under New York law. BNYM and Deloitte moved to dismiss all of Pauwels’s claims. The district court (Abrams, J.) granted the motion and"
104,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.013016,50,10065,10257,"2). Federal courts are courts of limited jurisdiction and the law presumes that “a cause lies outside this limited jurisdiction.” Kokkonen v. Guardian Life Ins. Co. of Am., 511 U.S. 375, 377"
105,cl_2023_ca2_sec_v._ahmed,pre_cutoff,-0.013017,50,6083,6341,"court also denied Ahmed access to funds to hire counsel. The district court granted the SEC’s motion for summary judgment and awarded disgorgement, supplemental enrichment (including prejudgment interest and actual gains), and civil penalties against Ahmed."
106,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.01331,50,424144,424289,", 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(c), and are deemed to be in violation of these provisions to the same extent as Daniels,"
107,cl_2026_ca4_vapor_technology_association_v_mckinley_wooten,post_cutoff_control,-0.013353,50,33130,33370,"action of the defendant, and not the result of the independent action of some third party not before the court; and (3) that it be likely, as opposed to merely speculative, that the injury will be redressed by a favorable"
108,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.013579,50,4941,5111,"with BNYM in 2018, Pauwels shared spreadsheets derived from the Pauwels Model with various employees and executives at BNYM. In 2016, BNYM retained defendants"
109,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.013601,50,405096,405352,"necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading in connection with the purchase or sale of securities. 147. By reason of the foregoing, Spartan Securities,"
110,cl_2026_dcd_koneru_v_securities_and_exchange_commission,post_cutoff_control,-0.013755,50,6570,6680,"face.’” Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009) (quoting Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570 ("
111,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.013855,50,4280,4511,"). Set Capital principally alleges that, on February 5, 2018, Credit Suisse, Janus, and the Individual Defendants executed a complex fraud to collapse the market for VelocityShares Daily Inverse VIX Short Term Exchange Traded Notes"
112,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.0139,50,6079,6286,"to dismiss all of Pauwels’s claims. The district court (Abrams, J.) granted the motion and entered a final judgment dismissing the claims. Pauwels now appeals. For the reasons set forth below, we"
