rank,case_id,arm,mean_logp,n_tokens,char_start,char_end,text,arm_manifest,category,category_near,self_repetition,recur_in_post,recur_in_other_pre,verdict
30,cl_2021_ca2_united_states_v._reichberg,pre_cutoff,-0.002832,50,3250,3502,"motion to suppress evidence, a number of evidentiary and trial-management rulings, the district court’s failure to inquire into one of his attorneys’ potential conflict of interest, the jury instructions, and the sufficiency of the evidence in support",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
31,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.002855,50,5902,6179,monetary relief for alleged ERISA violations. We agree with the district court that Plaintiffs here lack Article III standing because they did not allege that they suffered any financial loss affecting their individual retirement accounts arising from Defendants’ allegedly im,post_cutoff_control,-,-,0.97,0.0,0.0,in_document_repetition
32,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.002873,50,6247,6438,", (5) some of the district court’s findings in NYU’s favor after the bench trial, and (6) the denial of their motion for a new trial, which argued that the judge presiding over the trial (For",pre_cutoff,court_furniture,court_furniture,0.967,0.0,0.0,in_document_repetition
33,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.003333,50,407145,407372,"securities. 151. By reason of the foregoing, Spartan Securities, Island Stock Transfer, Dilley and Eldred violated, and, unless enjoined, are reasonably likely to continue to violate, Section 10(b)",post_cutoff_control,statutory_citation,statutory_citation,0.909,0.0,0.0,in_document_repetition
34,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.003361,50,5197,5426,700(CON) Peterson v. Bank Markazi judgments against Iran—granted summary judgment in favor of the Plaintiffs and issued an order directing Clearstream and Bank Markazi to turn the contents of the Luxembourg account over to the,post_cutoff_control,-,statutory_citation,0.8,0.0,0.0,in_document_repetition
35,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.003627,50,422231,422341,"10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(b), and are deemed to be in",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.391,in_document_repetition
36,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.00385,50,404963,405225,"commerce, or of the mails, knowingly or recklessly made untrue statements of material facts and omitted to state material facts necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading in",post_cutoff_control,pleading_template,statutory_citation,1.0,0.0,0.441,in_document_repetition
38,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.004416,50,4640,4820,"-by-deal basis. In 2014, to facilitate his work for BNYM, Pauwels developed the so-called Pauwels Model, a bespoke valuation tool that he used to evaluate BNYM’s potential energy",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
39,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.004494,50,4820,5014,"-sector investments and to monitor existing ones. At various times between 2014 and the end of his working relationship with BNYM in 2018, Pauwels shared spreadsheets derived from the Pauwels",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
40,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.004529,50,3985,4183,"collectively, Credit Suisse); Credit Suisse’s CEO Tidjane Thiam and CFO David R. Mathers (together, the Individual Defendants); and Janus Henderson Group PLC, Janus Index & Calculation Services LLC,",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
41,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.004687,50,418299,418517,"the mails, knowingly or recklessly employed devices, schemes or artifices to defraud in connection with the purchase or sale of securities, and by reason of the foregoing, violated Section 10(b) and Rule 10b",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.148,in_document_repetition
42,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.005022,50,7523,7769,"the District Court erred in holding that it did. First, a District Court must follow controlling precedent—even precedent the District Court believes may eventually be overturned—rather than preemptively declaring that our caselaw has been abrog",post_cutoff_control,-,statutory_citation,0.967,0.0,0.0,in_document_repetition
43,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.005194,50,7649,7860,"District Court believes may eventually be overturned—rather than preemptively declaring that our caselaw has been abrogated. Second, TransUnion did not cast doubt on, much less abrogate, Donoghue. To determine",post_cutoff_control,-,statutory_citation,1.0,0.0,0.0,in_document_repetition
44,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005342,50,403052,403289,"of any means or instrumentality of interstate commerce, or of the mails, knowingly or recklessly employed devices, schemes or artifices to defraud in connection with the purchase or sale of securities. 143. By",post_cutoff_control,pleading_template,statutory_citation,0.923,0.0,0.231,in_document_repetition
45,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005398,50,411172,411347,"they were made, not misleading, and by reason of the foregoing, violated Section 17(a)(2) of the Securities Act, 15 U.S.C. § 77q(a)(2). 160. From at least",post_cutoff_control,statutory_citation,statutory_citation,0.32,0.0,0.04,in_document_repetition
46,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005402,50,421558,421777,"Filed: 01/16/2026 Page: 207 of 211 to state material facts necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading in connection with",post_cutoff_control,-,statutory_citation,0.714,0.0,0.536,in_document_repetition
47,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.005446,50,28835,29118,; (4) the court should consider the effect of expediting delayed action on agency activities of a higher or competing priority; (5) the court should also take into account the nature and extent of the interests prejudiced,pre_cutoff,-,quoted_precedent,0.0,0.0,0.0,quoted_in_context
48,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.005574,50,404843,405096,", Spartan Securities and Eldred, directly and indirectly, by use of any means or instrumentality of interstate commerce, or of the mails, knowingly or recklessly made untrue statements of material facts and omitted to state material facts",post_cutoff_control,pleading_template,statutory_citation,1.0,0.0,0.069,in_document_repetition
49,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.005667,50,7769,8009,"ated. Second, TransUnion did not cast doubt on, much less abrogate, Donoghue. To determine whether an intangible injury is sufficiently concrete to confer constitutional standing, TransUnion instructed courts to identify a “close historical",post_cutoff_control,-,statutory_citation,0.962,0.0,0.0,in_document_repetition
50,cl_2025_ca2_collins_v._ne._grocery_llc,post_cutoff_control,-0.005952,50,5383,5631,this opinion we address Plaintiffs’ challenge to the district court’s dismissal of their claims for lack of standing. We address the district court’s dismissal of Plaintiffs’ remaining claims for failure to state a claim and its denial of leave to,post_cutoff_control,-,-,1.0,0.0,0.029,in_document_repetition
51,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.006004,50,4716,4941,"the so-called Pauwels Model, a bespoke valuation tool that he used to evaluate BNYM’s potential energy-sector investments and to monitor existing ones. At various times between 2014 and the end of his working relationship",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
52,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.006008,50,5757,5976,"els then brought suit against BNYM and Deloitte in the United States District Court for the Southern District of New York alleging, inter alia, that the Pauwels Model embodied a trade secret that they misappropriated.",pre_cutoff,-,-,0.964,0.25,0.214,in_document_repetition
53,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006128,50,314643,314748,"(c)(2) and Rules 10b-5 and 15c2-11 of the Exchange Act, 15 U.S.C. §§ 78j(b), 78o(c)(2), and 17 C.F.R",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.19,in_document_repetition
54,cl_2023_ca2_pauwels_v._deloitte_llp,pre_cutoff,-0.006321,50,4532,4716,"investment valuation project. BNYM and Pauwels continued to work together in the following years on a deal-by-deal basis. In 2014, to facilitate his work for BNYM, Pauwels developed",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
55,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006628,50,415381,415604,"operated or would have operated as a fraud or deceit upon the purchasers and prospective purchasers of such securities, and by reason of the foregoing, violated Section 17(a)(3) of the Securities Act, 15 U.S",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.0,in_document_repetition
56,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.006669,50,28689,28973,delays that might be reasonable in the sphere of economic regulation are less tolerable when human health and welfare are at stake; (4) the court should consider the effect of expediting delayed action on agency activities of a higher or,pre_cutoff,-,statutory_citation,0.0,0.0,0.0,quoted_in_context
57,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006919,50,418517,418641,"-5(a) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(a). 174. From at least as early",post_cutoff_control,statutory_citation,statutory_citation,0.727,0.0,0.409,in_document_repetition
58,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.006953,50,5790,6014,"and the denial of post-trial motions. On appeal, plaintiffs challenge: (1) the dismissal of their claim that NYU breached its duty of prudence by offering particular share classes of mutual funds in the retirement plans, (2",pre_cutoff,-,court_furniture,1.0,0.0,0.133,in_document_repetition
59,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.006962,50,409253,409457,"mails, directly or indirectly, knowingly or recklessly employed devices, schemes or artifices to defraud, and by reason of the foregoing, violated Section 17(a)(1) of the Securities Act, 15 U.S",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.08,in_document_repetition
60,cl_2024_dcd_securities_and_exchange_commission_,post_cutoff_control,-0.007121,50,16654,16810,"ated by reference in the complaint, and matters about which the Court may take judicial notice.” Gustave-Schmidt v. Chao, 226 F. Supp. 2d 191, 196 (D.D.C.",post_cutoff_control,quoted_precedent,quoted_precedent,0.0,0.0,0.955,post_cutoff_predictable
61,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.007331,50,425335,425483,"15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-5(c), and are deemed to be in violation of these provisions to the same extent as Mirman and Rose.",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.107,in_document_repetition
62,cl_2024_dcd_securities_and_exchange_commission_,post_cutoff_control,-0.007555,50,23914,24225,"participation in any profit-sharing agreement, collateral-trust certificate, preorganization certificate or subscription, transferable share, investment contract, voting-trust certificate, certificate of deposit for a security, fractional undivided interest in oil,",post_cutoff_control,-,-,0.0,0.0,0.542,post_cutoff_predictable
63,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.007834,50,314577,314703,"the Securities Act, 15 U.S.C. § 77e(a), and Sections 10(b) and 15(c)(2) and Rules 10b-5 and 15c2-11 of the Exchange Act,",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.0,in_document_repetition
64,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.008167,50,401090,401294,") 138. From at least as early as May 2011 through at least August 2014, Spartan Securities and Eldred, in the offer or sale of securities by the use of any means or instruments of",post_cutoff_control,-,statutory_citation,0.926,0.0,0.111,in_document_repetition
65,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.008196,50,10644,10787,"jurisdiction upon a federal court.’” Akinseye v. District of Columbia, 339 F.3d 970, 971 (D.C. Cir. 2003), quoting Ins. Corp. of Ir., Ltd. v.",pre_cutoff,quoted_precedent,statutory_citation,0.0,0.0,0.0,furniture_by_pattern
66,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.008205,50,4781,5006,"principal and interest of bond investments that Clearstream made in New York on behalf of Bank Markazi, Iran’s central bank. The United States District Court for the Southern District of New York (Loretta A. Preska, Judge",post_cutoff_control,-,statutory_citation,0.767,0.0,0.167,in_document_repetition
67,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.008462,50,422002,422231,"early as December 2009 through at least July 2014, Spartan Securities, Island Stock Transfer, and Dilley knowingly or recklessly provided substantial assistance to Mirman and Rose’s violations of Section 10(b) and Rule",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.0,in_document_repetition
68,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.008485,50,5948,6153,"States District Court for the Eastern District of New York (James M. Wicks, Magistrate Judge) reached the opposite conclusion as our panel, however. It determined that TransUnion LLC v. Ramirez, 594 U.S.",post_cutoff_control,quoted_precedent,statutory_citation,1.0,0.0,0.115,in_document_repetition
69,cl_2026_ca9_united_states_v_ridley_thomas,post_cutoff_control,-0.008566,50,6195,6371,"concerning programs receiving federal funds in violation of 18 U.S.C. § 666(a)(1)(B), and five counts of honest services mail and wire fraud in violation of 18 U.S.C. §§ 1341,",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.414,in_document_repetition
70,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.00885,50,5544,5791,(1) the district court lacks subject matter jurisdiction over the Plaintiffs’ turnover claim against Bank Markazi; (2) the district court may exercise personal jurisdiction over Clearstream; (3) Clearstream’s challenge to the constitutionality,post_cutoff_control,-,statutory_citation,1.0,0.0,0.0,in_document_repetition
71,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.008928,50,405467,405583,"violate, Section 10(b) and Rule 10b-5(b) of the Exchange Act, 15 U.S.C. § 78j(b) and 17 C.F.R. § 240.10b-",post_cutoff_control,statutory_citation,statutory_citation,0.857,0.0,0.381,in_document_repetition
72,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.009057,50,418571,418745,".F.R. § 240.10b-5(a). 174. From at least as early as December 2009 through at least July 2014, Spartan Securities, Island Stock Transfer, and Dilley",post_cutoff_control,statutory_citation,statutory_citation,0.619,0.0,0.0,in_document_repetition
73,cl_2022_ca2_haley_v._tiaa,pre_cutoff,-0.009097,50,4597,4837,ERISA’s statutory exemptions on liability classwide and without making any factual findings as to the similarities of the loans. We agree. Because the predominance inquiry of Federal Rule of Civil Procedure 23(b)(3) requires that a district,pre_cutoff,-,-,1.0,0.0,0.031,in_document_repetition
74,cl_2024_ca2_packer_v._raging_capital_management,post_cutoff_control,-0.009101,50,6054,6260,"opposite conclusion as our panel, however. It determined that TransUnion LLC v. Ramirez, 594 U.S. 413 (2021), which elaborated on the “concrete injury” requirement of constitutional standing, abrogated Don",post_cutoff_control,quoted_precedent,statutory_citation,0.957,0.0,0.0,in_document_repetition
75,cl_2022_ca2_haley_v._tiaa,pre_cutoff,-0.009141,50,4463,4728,ues that the district court erred when it found that common issues predominated over individual ones without addressing the effect of ERISA’s statutory exemptions on liability classwide and without making any factual findings as to the similarities of the loans. We,pre_cutoff,-,-,0.971,0.0,0.0,in_document_repetition
76,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.009237,50,6334,6539,"6) the denial of their motion for a new trial, which argued that the judge presiding over the trial (Forrest, J.) should have been disqualified. We find merit in the first two of these challenges, but none",pre_cutoff,court_furniture,court_furniture,0.967,0.0,0.0,in_document_repetition
77,cl_2024_ca2_peterson_v._bank_markazi,post_cutoff_control,-0.009247,50,4650,4902,"an account with Clearstream Banking, a Luxembourg- based financial institution: a $1.68 billion right to payment representing the principal and interest of bond investments that Clearstream made in New York on behalf of Bank Markazi, Iran’s central",post_cutoff_control,-,statutory_citation,1.0,0.0,0.0,in_document_repetition
78,cl_2021_ca2_sacerdote_v._new_york_university,pre_cutoff,-0.009485,50,5695,5899,"(Analisa Torres, J.), they appeal from the entry of judgment in defendant-appellee NYU’s favor and the denial of post-trial motions. On appeal, plaintiffs challenge: (1) the dismissal of their claim that",pre_cutoff,-,-,1.0,0.0,0.148,in_document_repetition
79,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.009883,50,422284,422459,") and 17 C.F.R. § 240.10b-5(b), and are deemed to be in violation of these provisions to the same extent as Mirman and Rose. 181. By reason of the foregoing",post_cutoff_control,statutory_citation,statutory_citation,0.778,0.0,0.111,in_document_repetition
80,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.00989,50,416076,416282,"77q(a)(3), and are deemed to be in violation of this provision to the same extent as Mirman and Rose. 169. By reason of the foregoing, Spartan Securities, Island Stock Transfer, Dilley",post_cutoff_control,-,statutory_citation,0.692,0.0,0.0,in_document_repetition
81,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.010015,50,401184,401439,"Securities and Eldred, in the offer or sale of securities by the use of any means or instruments of transportation or communication in interstate commerce or by use of the mails, directly or indirectly, negligently engaged in transactions,",post_cutoff_control,-,statutory_citation,0.968,0.0,0.355,in_document_repetition
82,cl_2020_dcd_ghadami_v._united_states_department,pre_cutoff,-0.010077,50,11071,11211,"782 F.2d 227, 241 (D.C. Cir. 1986), vacated on other grounds, 482 U.S. 64 (1987). Rather, “a court may consider such materials outside the",pre_cutoff,quoted_precedent,statutory_citation,0.0,0.0,0.2,furniture_by_pattern
83,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.01044,50,409852,410027,"Rose’s violations of Section 17(a)(1) of the Securities Act, 15 U.S.C. § 77q(a)(1), and are deemed to be in violation of this provision to the same extent as Mirman",post_cutoff_control,statutory_citation,statutory_citation,0.931,0.0,0.069,in_document_repetition
84,cl_2020_ca2_united_states_v._kosinski,pre_cutoff,-0.010507,50,20046,20271,"liability, § 10(b) and Rule 10b–5 are violated when a corporate insider trades in the securities of his corporation on the basis of material, nonpublic information. Trading on such information qualifies as",pre_cutoff,statutory_citation,statutory_citation,0.0,0.407,0.0,recurring_furniture
85,cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,pre_cutoff,-0.010607,50,4183,4371,"and Janus Distributors, LLC, doing business as Janus Henderson Distributors (collectively, Janus). Set Capital principally alleges that, on February 5, 2018, Credit Suisse, Janus, and the",pre_cutoff,-,-,1.0,0.0,0.0,in_document_repetition
86,cl_2026_ca11_u.s._securities_and_exchange_commis,post_cutoff_control,-0.010957,50,313794,313894,"), 17(a)(1) and 17(a)(3) of the Securities Act, 15 U.S.C. §§ 77e(a), 77e(c), 77q(a)(1), 77q(a)(",post_cutoff_control,statutory_citation,statutory_citation,1.0,0.0,0.167,in_document_repetition
