model,case_id,entropy
google/gemini-3.1-pro-preview,11,1.4964159349401391
openai/gpt-5.4,11,1.9601849547980315
google/gemini-3.5-flash,11,1.6796478837567517
anthropic/claude-sonnet-4.6,10,2.299377534648344
anthropic/claude-sonnet-4.6,11,2.3678794875866402
qwen/qwen3.6-35b-a3b,11,1.5444795210968603
qwen/qwen3.5-9b,10,1.6966377874362912
anthropic/claude-opus-4.8,12,1.9887625873260264
openai/gpt-5.4-mini,12,1.8479008005090658
anthropic/claude-haiku-4.5,12,2.367737730702957
google/gemini-3.1-pro-preview,12,1.5148560404565352
google/gemini-3.1-flash-lite,12,1.5444795210968603
openai/gpt-5.4,12,1.8507840028617335
google/gemini-3.5-flash,12,1.4696874984938715
qwen/qwen3.5-397b-a17b,11,1.6796478837567517
openai/gpt-5.5,12,2.072738875967534
qwen/qwen3.5-9b,11,1.5614694247764
qwen/qwen3.6-35b-a3b,12,1.5841707585125298
anthropic/claude-opus-4.8,13,1.9682820889930555
qwen/qwen3.5-9b,12,1.6137942391528548
anthropic/claude-haiku-4.5,13,2.238094178331356
openai/gpt-5.4,13,1.7062066375921878
openai/gpt-5.4-mini,13,1.860534377469851
google/gemini-3.1-flash-lite,13,1.2798542258336676
google/gemini-3.1-pro-preview,13,1.5741030017371853
openai/gpt-5.5,13,1.9190803089768036
anthropic/claude-sonnet-4.6,13,2.1632888425265024
google/gemini-3.5-flash,13,1.735433771585304
anthropic/claude-sonnet-4.6,12,2.3763499188066666
qwen/qwen3.6-35b-a3b,13,1.596804335473315
anthropic/claude-opus-4.8,14,2.0128100141583833
openai/gpt-5.4-mini,14,1.912808615108628
openai/gpt-5.5,14,1.9552767291459008
openai/gpt-5.4,14,1.830749086603879
google/gemini-3.1-pro-preview,14,1.5841707585125298
google/gemini-3.1-flash-lite,14,1.5444795210968603
anthropic/claude-haiku-4.5,14,2.3626757413997845
qwen/qwen3.5-397b-a17b,12,1.6268490101364925
google/gemini-3.5-flash,14,1.596804335473315
qwen/qwen3.5-9b,13,1.6399566463410822
qwen/qwen3.5-397b-a17b,13,1.7092713643970767
qwen/qwen3.6-35b-a3b,14,1.5841707585125298
anthropic/claude-opus-4.8,15,2.0251332772649633
anthropic/claude-haiku-4.5,15,2.029595078555119
openai/gpt-5.4,15,1.8732633571697832
google/gemini-3.1-pro-preview,15,1.2798542258336676
anthropic/claude-sonnet-4.6,14,2.1450985512212686
openai/gpt-5.5,15,2.0251432365898783
google/gemini-3.1-flash-lite,15,1.4305622903362423
openai/gpt-5.4-mini,15,1.7400335523588661
anthropic/claude-sonnet-4.6,15,2.417196489030032
qwen/qwen3.5-397b-a17b,15,1.5657306529961337
google/gemini-3.5-flash,15,1.5614694247764
qwen/qwen3.5-397b-a17b,14,1.6399566463410822
anthropic/claude-opus-4.8,16,1.867544037644363
qwen/qwen3.6-35b-a3b,15,1.5841707585125298
openai/gpt-5.4-mini,16,1.8882666453273103
google/gemini-3.1-pro-preview,16,1.4305622903362423
google/gemini-3.1-flash-lite,16,1.5444795210968603
google/gemini-3.5-flash,16,1.5841707585125298
openai/gpt-5.5,16,2.173276883428507
anthropic/claude-sonnet-4.6,16,2.162871385818433
qwen/qwen3.6-35b-a3b,16,1.8479008005090658
qwen/qwen3.5-397b-a17b,16,1.5741030017371853
anthropic/claude-opus-4.8,17,2.0388123903930837
openai/gpt-5.4,16,2.01270287130452
openai/gpt-5.4-mini,17,1.6907984558744968
google/gemini-3.1-pro-preview,17,1.2798542258336676
google/gemini-3.1-flash-lite,17,1.5444795210968603
anthropic/claude-haiku-4.5,17,1.2353468116280648
google/gemini-3.5-flash,17,1.2899219826090118
qwen/qwen3.5-9b,15,1.1421200429883351
openai/gpt-5.4,17,1.6573409746540677
qwen/qwen3.6-35b-a3b,17,1.5444795210968603
openai/gpt-5.5,17,1.9575762322578896
anthropic/claude-opus-4.8,18,1.9885864106749866
anthropic/claude-haiku-4.5,18,2.0345971766547257
openai/gpt-5.4-mini,18,1.7524236752648439
anthropic/claude-sonnet-4.6,17,2.5493014800068075
openai/gpt-5.5,18,2.1225155490862226
qwen/qwen3.5-397b-a17b,17,1.4964159349401391
google/gemini-3.1-flash-lite,18,1.5444795210968603
google/gemini-3.1-pro-preview,18,1.656946550020622
google/gemini-3.5-flash,18,1.7092713643970767
openai/gpt-5.4,18,1.9050370609252432
anthropic/claude-sonnet-4.6,18,2.1077977748950687
qwen/qwen3.6-35b-a3b,18,1.735433771585304
anthropic/claude-opus-4.8,19,2.009472263409183
anthropic/claude-haiku-4.5,19,2.0290685195062585
openai/gpt-5.4,19,1.959691875854423
openai/gpt-5.4-mini,19,2.0038614071780403
qwen/qwen3.5-397b-a17b,18,1.5444795210968603
qwen/qwen3.5-9b,17,1.830910896829526
google/gemini-3.1-flash-lite,19,1.6796478837567517
google/gemini-3.1-pro-preview,19,1.458174899361326
openai/gpt-5.5,19,2.19341528258739
google/gemini-3.5-flash,19,1.887026008666695
qwen/qwen3.5-9b,16,1.5274896174173205
anthropic/claude-opus-4.8,20,2.1896236136571146
anthropic/claude-sonnet-4.6,19,2.27909679308676
qwen/qwen3.6-35b-a3b,19,1.5444795210968603
openai/gpt-5.4-mini,20,1.5948009887347723
qwen/qwen3.5-397b-a17b,19,1.8775242811493909
google/gemini-3.1-flash-lite,20,1.5444795210968603
google/gemini-3.1-pro-preview,20,1.5741030017371853
google/gemini-3.5-flash,20,2.059306028129147
openai/gpt-5.4,20,2.0202601509210107
openai/gpt-5.5,20,2.115089134491199
anthropic/claude-opus-4.8,21,1.980833900556131
qwen/qwen3.5-9b,18,1.6399566463410822
qwen/qwen3.5-9b,19,1.591092905416725
qwen/qwen3.6-35b-a3b,20,1.735433771585304
anthropic/claude-haiku-4.5,21,1.9846035775117268
openai/gpt-5.4-mini,21,1.937681589688364
openai/gpt-5.5,21,2.0897673968608306
openai/gpt-5.4,21,1.6956896689486827
google/gemini-3.1-flash-lite,21,1.3350851650920204
anthropic/claude-sonnet-4.6,20,2.5327675670642202
google/gemini-3.5-flash,21,1.596804335473315
google/gemini-3.1-pro-preview,21,1.6796478837567517
anthropic/claude-sonnet-4.6,21,2.280310588285869
qwen/qwen3.6-35b-a3b,21,1.7228001946245186
qwen/qwen3.5-9b,20,1.6399566463410822
anthropic/claude-opus-4.8,22,1.8537644715089974
anthropic/claude-haiku-4.5,22,1.4923888322300014
qwen/qwen3.5-397b-a17b,20,1.7228001946245186
google/gemini-3.1-pro-preview,22,1.2353468116280648
openai/gpt-5.4-mini,22,1.4305622903362423
openai/gpt-5.4,22,1.8936970953914183
qwen/qwen3.5-397b-a17b,21,1.3994886078590607
google/gemini-3.1-flash-lite,22,1.2353468116280648
google/gemini-3.5-flash,22,1.4702535277519118
openai/gpt-5.5,22,1.9499050761928491
qwen/qwen3.6-35b-a3b,22,1.3054616844516953
anthropic/claude-opus-4.8,23,1.8041824603832586
qwen/qwen3.5-9b,22,1.791297012086222
google/gemini-3.1-pro-preview,23,1.4150225884935588
openai/gpt-5.4-mini,23,1.6399566463410822
google/gemini-3.1-flash-lite,23,1.5444795210968603
anthropic/claude-sonnet-4.6,22,1.989538457285753
anthropic/claude-haiku-4.5,23,1.8411462776061618
openai/gpt-5.4,23,2.048854686049288
google/gemini-3.5-flash,23,1.8479008005090658
qwen/qwen3.5-397b-a17b,22,1.4786258764929634
qwen/qwen3.6-35b-a3b,23,1.5841707585125298
openai/gpt-5.5,23,2.06992991554753
anthropic/claude-opus-4.8,24,1.8960419991274347
anthropic/claude-haiku-4.5,24,2.2974403589774948
openai/gpt-5.4-mini,24,1.8174892323346592
openai/gpt-5.4,24,1.937337271688081
google/gemini-3.1-flash-lite,24,1.6796478837567517
google/gemini-3.1-pro-preview,24,1.6399566463410822
google/gemini-3.5-flash,24,1.7228001946245186
qwen/qwen3.5-9b,23,1.5047882836811908
openai/gpt-5.5,24,1.9964063265570369
anthropic/claude-sonnet-4.6,23,2.1283457998094364
anthropic/claude-haiku-4.5,25,2.287119865420004
anthropic/claude-sonnet-4.6,24,2.1269651077433807
anthropic/claude-opus-4.8,25,1.9211114068354422
qwen/qwen3.6-35b-a3b,24,1.7524236752648439
openai/gpt-5.4-mini,25,1.6598286081316524
google/gemini-3.1-pro-preview,25,1.392321254757429
google/gemini-3.1-flash-lite,25,1.4964159349401391
openai/gpt-5.4,25,1.8220196414836431
qwen/qwen3.5-397b-a17b,23,1.5657306529961337
google/gemini-3.5-flash,25,1.4964159349401391
openai/gpt-5.5,25,1.980166739182293
anthropic/claude-opus-4.8,26,1.8109065140556067
anthropic/claude-sonnet-4.6,25,2.0817856506075194
qwen/qwen3.6-35b-a3b,25,1.5444795210968603
qwen/qwen3.5-9b,25,1.7650572522256291
qwen/qwen3.5-397b-a17b,24,1.6434177197931799
qwen/qwen3.5-397b-a17b,25,1.5444795210968603
openai/gpt-5.4-mini,26,1.782328381189262
anthropic/claude-haiku-4.5,26,1.996216670625739
google/gemini-3.1-flash-lite,26,1.4786258764929634
google/gemini-3.1-pro-preview,26,1.4964159349401391
openai/gpt-5.4,26,1.9338635591712408
google/gemini-3.5-flash,26,1.5444795210968603
qwen/qwen3.5-9b,24,1.6796478837567517
openai/gpt-5.5,26,2.1140929053186532
anthropic/claude-opus-4.8,27,1.8179316328139168
anthropic/claude-sonnet-4.6,26,2.060434530834085
qwen/qwen3.6-35b-a3b,26,1.3762266043445461
openai/gpt-5.4-mini,27,1.5172459989396265
google/gemini-3.1-pro-preview,27,1.596804335473315
anthropic/claude-haiku-4.5,27,1.5734553639428368
google/gemini-3.1-flash-lite,27,1.2798542258336676
google/gemini-3.5-flash,27,1.3054616844516953
openai/gpt-5.5,27,1.7246209348985881
qwen/qwen3.6-35b-a3b,27,1.6796478837567517
qwen/qwen3.5-397b-a17b,26,1.5657306529961337
openai/gpt-5.4,27,1.8607134281231825
anthropic/claude-opus-4.8,28,2.073296199687689
qwen/qwen3.5-9b,26,1.6796478837567517
openai/gpt-5.4-mini,28,1.6796478837567517
google/gemini-3.1-pro-preview,28,1.5217781873607306
anthropic/claude-sonnet-4.6,27,2.1144349592003873
google/gemini-3.1-flash-lite,28,1.5545472778722047
openai/gpt-5.5,28,2.182332199577748
qwen/qwen3.5-9b,27,1.5841707585125298
google/gemini-3.5-flash,28,1.735433771585304
openai/gpt-5.4,28,1.7484178018898229
qwen/qwen3.6-35b-a3b,28,1.596804335473315
qwen/qwen3.5-9b,28,1.4305622903362423
anthropic/claude-opus-4.8,29,2.0604073512270995
qwen/qwen3.5-397b-a17b,27,1.4406300471115867
openai/gpt-5.4-mini,29,1.5841250711499921
anthropic/claude-sonnet-4.6,28,2.2538082443154295
openai/gpt-5.5,29,1.893011016044449
google/gemini-3.1-pro-preview,29,1.6796478837567517
anthropic/claude-sonnet-4.6,29,2.14008793966631
anthropic/claude-haiku-4.5,29,2.082484945988003
google/gemini-3.1-flash-lite,29,1.4702535277519118
openai/gpt-5.4,29,1.9447835844692436
google/gemini-3.5-flash,29,1.596804335473315
anthropic/claude-opus-4.8,30,2.0925433165804073
qwen/qwen3.6-35b-a3b,29,1.9560254446453822
openai/gpt-5.4-mini,30,1.8565072747597133
openai/gpt-5.5,30,2.0023058676418475
qwen/qwen3.5-397b-a17b,28,1.656946550020622
anthropic/claude-haiku-4.5,30,1.8627255291607288
google/gemini-3.1-flash-lite,30,1.5841707585125298
google/gemini-3.1-pro-preview,30,1.5444795210968603
google/gemini-3.5-flash,30,1.7524236752648439
anthropic/claude-sonnet-4.6,30,2.1625825992380925
openai/gpt-5.4,30,1.8698432710274444
anthropic/claude-opus-4.8,31,1.979183339882865
qwen/qwen3.6-35b-a3b,30,1.8775242811493909
qwen/qwen3.5-397b-a17b,29,1.5047882836811908
anthropic/claude-haiku-4.5,31,2.406787440765362
openai/gpt-5.4,31,1.939652235147396
google/gemini-3.1-pro-preview,31,1.5134058386196787
openai/gpt-5.4-mini,31,1.8133753731249984
openai/gpt-5.5,31,2.0228966022401775
google/gemini-3.1-flash-lite,31,1.4490023958526383
qwen/qwen3.5-9b,30,1.543029319260004
google/gemini-3.5-flash,31,1.5614694247764
qwen/qwen3.5-397b-a17b,30,1.4305622903362423
anthropic/claude-opus-4.8,32,1.958011161217369
anthropic/claude-sonnet-4.6,31,2.5040284568880598
qwen/qwen3.6-35b-a3b,31,1.7650572522256291
openai/gpt-5.4-mini,32,1.648801330434393
anthropic/claude-haiku-4.5,32,2.2818544603790825
google/gemini-3.1-pro-preview,32,1.4964159349401391
qwen/qwen3.5-397b-a17b,31,1.6474448225033176
qwen/qwen3.5-9b,31,1.5545472778722047
google/gemini-3.1-flash-lite,32,1.4702535277519118
google/gemini-3.5-flash,32,1.6831089572088493
openai/gpt-5.5,32,2.183250108132319
qwen/qwen3.6-35b-a3b,32,1.596804335473315
anthropic/claude-opus-4.8,33,1.9968836227772748
qwen/qwen3.5-9b,32,1.5047882836811908
openai/gpt-5.4,32,1.8610211075299143
anthropic/claude-sonnet-4.6,32,2.121531564267777
openai/gpt-5.4-mini,33,1.8884592908936668
google/gemini-3.1-flash-lite,33,1.5444795210968603
google/gemini-3.1-pro-preview,33,1.6796478837567517
openai/gpt-5.4,33,1.9499141365677382
openai/gpt-5.5,33,2.22189214129068
google/gemini-3.5-flash,33,1.5841707585125298
qwen/qwen3.5-397b-a17b,32,1.5444795210968603
anthropic/claude-opus-4.8,34,1.9752230443249885
qwen/qwen3.6-35b-a3b,33,1.3762266043445461
qwen/qwen3.5-397b-a17b,33,1.8047484896412986
anthropic/claude-sonnet-4.6,33,2.0595644097319714
google/gemini-3.1-pro-preview,34,1.7524236752648439
openai/gpt-5.4-mini,34,2.0027370209896147
google/gemini-3.1-flash-lite,34,1.6695801269814072
qwen/qwen3.5-9b,33,1.6796478837567517
openai/gpt-5.4,34,2.035426742646033
anthropic/claude-haiku-4.5,34,2.007211116669147
openai/gpt-5.5,34,2.137814479028946
qwen/qwen3.6-35b-a3b,34,1.7228001946245186
google/gemini-3.5-flash,34,1.7650572522256291
anthropic/claude-opus-4.8,35,1.9978371797394918
openai/gpt-5.4-mini,35,1.9071274883028815
anthropic/claude-haiku-4.5,35,2.0155674145165055
openai/gpt-5.4,35,1.9389638444384412
google/gemini-3.1-flash-lite,35,1.5841707585125298
openai/gpt-5.5,35,2.2270958874775357
google/gemini-3.1-pro-preview,35,1.6385064445042257
google/gemini-3.5-flash,35,1.7228001946245186
anthropic/claude-sonnet-4.6,34,2.031910430309041
qwen/qwen3.6-35b-a3b,35,1.735433771585304
anthropic/claude-sonnet-4.6,35,2.309280292247059
anthropic/claude-opus-4.8,36,2.0646166962746486
qwen/qwen3.5-397b-a17b,35,1.8047484896412986
qwen/qwen3.5-397b-a17b,34,1.5841707585125298
openai/gpt-5.4-mini,36,1.9987121823980258
anthropic/claude-haiku-4.5,36,1.925445218827525
google/gemini-3.1-pro-preview,36,1.2798542258336676
google/gemini-3.1-flash-lite,36,1.5545472778722047
openai/gpt-5.4,36,1.8856628086209728
google/gemini-3.5-flash,36,1.5444795210968603
openai/gpt-5.5,36,2.1941351207888253
qwen/qwen3.6-35b-a3b,36,1.7524236752648439
anthropic/claude-opus-4.8,37,2.164890014941997
anthropic/claude-sonnet-4.6,36,2.625491885942709
qwen/qwen3.5-9b,34,1.6399566463410822
anthropic/claude-haiku-4.5,37,2.159562383411939
openai/gpt-5.4-mini,37,1.735433771585304
qwen/qwen3.5-9b,35,1.8047484896412986
openai/gpt-5.4,37,1.829951015348489
google/gemini-3.1-flash-lite,37,1.4702535277519118
google/gemini-3.1-pro-preview,37,1.7524236752648439
google/gemini-3.5-flash,37,1.7228001946245186
openai/gpt-5.5,37,2.0913691435225337
qwen/qwen3.5-397b-a17b,36,1.9513496062520657
qwen/qwen3.6-35b-a3b,37,1.735433771585304
qwen/qwen3.5-397b-a17b,37,1.6385064445042257
anthropic/claude-opus-4.8,38,1.9945061157012383
anthropic/claude-sonnet-4.6,37,2.0253866337464297
openai/gpt-5.4-mini,38,1.6796478837567517
anthropic/claude-haiku-4.5,38,2.0875021220841363
google/gemini-3.1-flash-lite,38,1.5047882836811908
openai/gpt-5.4,38,1.93752654983665
openai/gpt-5.5,38,2.25214351448293
google/gemini-3.1-pro-preview,38,1.5444795210968603
google/gemini-3.5-flash,38,1.735433771585304
qwen/qwen3.5-397b-a17b,38,1.8479008005090658
qwen/qwen3.5-9b,38,1.8217383933208384
anthropic/claude-opus-4.8,39,1.9823889641186998
anthropic/claude-haiku-4.5,39,1.9462736138506327
qwen/qwen3.6-35b-a3b,38,1.596804335473315
qwen/qwen3.5-9b,36,1.4786258764929634
openai/gpt-5.4-mini,39,1.6746018990011744
openai/gpt-5.5,39,1.9646172493984468
openai/gpt-5.4,39,1.981849695059184
google/gemini-3.1-flash-lite,39,1.4786258764929634
google/gemini-3.1-pro-preview,39,1.5444795210968603
google/gemini-3.5-flash,39,1.5260394155804642
qwen/qwen3.6-35b-a3b,39,1.5148560404565352
anthropic/claude-sonnet-4.6,38,2.5523669484374025
anthropic/claude-opus-4.8,40,1.9495215682502824
qwen/qwen3.5-9b,39,1.3350851650920204
anthropic/claude-sonnet-4.6,39,2.2232033637926674
openai/gpt-5.4-mini,40,1.8160917536714987
qwen/qwen3.5-397b-a17b,39,1.5444795210968603
openai/gpt-5.5,40,2.086921592419504
google/gemini-3.1-flash-lite,40,1.5047882836811908
openai/gpt-5.4,40,1.8342653989408704
anthropic/claude-haiku-4.5,40,1.7210280367316264
google/gemini-3.1-pro-preview,40,1.3451529218673648
google/gemini-3.5-flash,40,1.4702535277519118
anthropic/claude-opus-4.8,41,1.8991464215903922
qwen/qwen3.6-35b-a3b,40,1.735433771585304
anthropic/claude-haiku-4.5,41,2.116469955231989
anthropic/claude-sonnet-4.6,40,2.131909946842322
openai/gpt-5.4-mini,41,1.88166875420863
qwen/qwen3.5-9b,37,1.248780543356486
google/gemini-3.1-flash-lite,41,1.5444795210968603
openai/gpt-5.4,41,1.907774102297445
google/gemini-3.1-pro-preview,41,1.4737146012040094
openai/gpt-5.5,41,2.1643920466232482
anthropic/claude-sonnet-4.6,41,2.1984257845969553
google/gemini-3.5-flash,41,1.7127324378491744
qwen/qwen3.6-35b-a3b,41,1.5444795210968603
anthropic/claude-opus-4.8,42,2.010327371782612
google/gemini-3.1-pro-preview,42,1.2798542258336676
openai/gpt-5.4,42,1.9223913108002892
openai/gpt-5.4-mini,42,1.715322071840671
anthropic/claude-haiku-4.5,42,1.3743525287450098
openai/gpt-5.5,42,1.9770184631121541
google/gemini-3.1-flash-lite,42,1.5444795210968603
google/gemini-3.5-flash,42,1.5444795210968603
anthropic/claude-opus-4.8,43,1.9395675052935308
qwen/qwen3.6-35b-a3b,42,1.7127324378491744
qwen/qwen3.5-397b-a17b,42,1.8047484896412986
anthropic/claude-haiku-4.5,43,1.8646107895897988
openai/gpt-5.5,43,1.9615084538545564
openai/gpt-5.4-mini,43,1.3054616844516953
google/gemini-3.1-pro-preview,43,1.5148560404565352
google/gemini-3.1-flash-lite,43,1.5444795210968603
google/gemini-3.5-flash,43,1.5444795210968603
qwen/qwen3.6-35b-a3b,43,1.5444795210968603
openai/gpt-5.4,43,1.8220978053127876
anthropic/claude-opus-4.8,44,2.0094839412219434
openai/gpt-5.4,44,1.9280058026195417
openai/gpt-5.5,44,2.1346046093212583
anthropic/claude-sonnet-4.6,43,2.0658080235254537
google/gemini-3.1-flash-lite,44,1.596804335473315
openai/gpt-5.4-mini,44,1.5745214142935369
google/gemini-3.1-pro-preview,44,1.5571130980576458
google/gemini-3.5-flash,44,1.8775242811493909
qwen/qwen3.6-35b-a3b,44,1.4490023958526383
qwen/qwen3.5-397b-a17b,41,1.7524236752648439
anthropic/claude-sonnet-4.6,44,2.060434530834085
anthropic/claude-opus-4.8,45,1.844230348788068
qwen/qwen3.5-9b,42,1.7480673485460896
anthropic/claude-haiku-4.5,45,1.8999948432528744
openai/gpt-5.4-mini,45,1.6549090107426472
openai/gpt-5.5,45,2.039507666425405
google/gemini-3.1-flash-lite,45,1.5444795210968603
qwen/qwen3.5-9b,43,1.4964159349401391
google/gemini-3.1-pro-preview,45,1.4737146012040094
google/gemini-3.5-flash,45,1.3350851650920204
openai/gpt-5.4,45,2.0422238483594857
anthropic/claude-opus-4.8,46,2.060434530834085
qwen/qwen3.6-35b-a3b,45,1.9206765920171578
qwen/qwen3.5-9b,45,1.5148560404565352
anthropic/claude-haiku-4.5,46,2.2846074578765436
openai/gpt-5.4,46,1.9526309818150533
openai/gpt-5.4-mini,46,1.6695801269814072
google/gemini-3.1-flash-lite,46,1.5545472778722047
google/gemini-3.1-pro-preview,46,1.3195454632493369
anthropic/claude-sonnet-4.6,45,2.029403777131652
openai/gpt-5.5,46,2.1603269045135023
google/gemini-3.5-flash,46,1.5444795210968603
anthropic/claude-sonnet-4.6,46,2.2361475436739418
qwen/qwen3.6-35b-a3b,46,1.5841707585125298
anthropic/claude-opus-4.8,47,2.0031279822007177
openai/gpt-5.4-mini,47,1.6584441787508135
anthropic/claude-haiku-4.5,47,1.9552765899189215
openai/gpt-5.5,47,2.0896742826049577
google/gemini-3.1-flash-lite,47,1.5444795210968603
google/gemini-3.1-pro-preview,47,1.5741030017371853
openai/gpt-5.4,47,1.9100009197239887
google/gemini-3.5-flash,47,1.7092713643970767
qwen/qwen3.5-9b,46,1.5444795210968603
qwen/qwen3.6-35b-a3b,47,1.5841707585125298
anthropic/claude-opus-4.8,48,1.9172648279748703
anthropic/claude-sonnet-4.6,47,2.176754602916467
qwen/qwen3.5-9b,47,1.4490023958526383
anthropic/claude-haiku-4.5,48,2.0598274899015614
openai/gpt-5.4-mini,48,1.991965344314617
google/gemini-3.1-flash-lite,48,1.4786258764929634
qwen/qwen3.5-397b-a17b,46,1.6474448225033176
openai/gpt-5.4,48,1.9201644933737454
