dataset,case_id,model_family,model,features_found,total_features,coverage
standard,1,anthropic,anthropic/claude-opus-4.8,9,12,0.75
standard,1,openai,openai/gpt-5.4,7,12,0.5833333333333334
standard,1,openai,openai/gpt-5.5,9,12,0.75
standard,1,anthropic,anthropic/claude-haiku-4.5,8,12,0.6666666666666666
standard,1,qwen,qwen/qwen3.6-35b-a3b,4,12,0.3333333333333333
standard,1,qwen,qwen/qwen3.5-9b,5,12,0.4166666666666667
standard,1,anthropic,anthropic/claude-sonnet-4.6,9,12,0.75
standard,1,qwen,qwen/qwen3.5-397b-a17b,5,12,0.4166666666666667
standard,1,gold,gold,7,12,0.5833333333333334
standard,6,anthropic,anthropic/claude-opus-4.8,7,15,0.4666666666666667
standard,6,openai,openai/gpt-5.4-mini,6,15,0.4
standard,6,google,google/gemini-3.1-pro-preview,4,15,0.26666666666666666
standard,6,anthropic,anthropic/claude-haiku-4.5,10,15,0.6666666666666666
standard,6,google,google/gemini-3.1-flash-lite,4,15,0.26666666666666666
standard,6,google,google/gemini-3.5-flash,5,15,0.3333333333333333
standard,6,openai,openai/gpt-5.5,9,15,0.6
standard,6,anthropic,anthropic/claude-sonnet-4.6,14,15,0.9333333333333333
standard,6,qwen,qwen/qwen3.6-35b-a3b,5,15,0.3333333333333333
standard,6,openai,openai/gpt-5.4,7,15,0.4666666666666667
standard,6,qwen,qwen/qwen3.5-397b-a17b,5,15,0.3333333333333333
standard,6,qwen,qwen/qwen3.5-9b,4,15,0.26666666666666666
standard,6,gold,gold,6,15,0.4
standard,5,anthropic,anthropic/claude-opus-4.8,7,12,0.5833333333333334
standard,5,openai,openai/gpt-5.4-mini,5,12,0.4166666666666667
standard,5,google,google/gemini-3.1-flash-lite,5,12,0.4166666666666667
standard,5,google,google/gemini-3.1-pro-preview,5,12,0.4166666666666667
standard,5,google,google/gemini-3.5-flash,5,12,0.4166666666666667
standard,5,openai,openai/gpt-5.5,8,12,0.6666666666666666
standard,5,anthropic,anthropic/claude-sonnet-4.6,10,12,0.8333333333333334
standard,5,openai,openai/gpt-5.4,8,12,0.6666666666666666
standard,5,qwen,qwen/qwen3.5-9b,6,12,0.5
standard,5,qwen,qwen/qwen3.6-35b-a3b,4,12,0.3333333333333333
standard,5,qwen,qwen/qwen3.5-397b-a17b,5,12,0.4166666666666667
standard,5,anthropic,anthropic/claude-haiku-4.5,9,12,0.75
standard,5,gold,gold,6,12,0.5
standard,9,anthropic,anthropic/claude-opus-4.8,8,14,0.5714285714285714
standard,9,openai,openai/gpt-5.4-mini,9,14,0.6428571428571429
standard,9,openai,openai/gpt-5.4,8,14,0.5714285714285714
standard,9,openai,openai/gpt-5.5,10,14,0.7142857142857143
standard,9,google,google/gemini-3.1-flash-lite,5,14,0.35714285714285715
standard,9,google,google/gemini-3.1-pro-preview,5,14,0.35714285714285715
standard,9,google,google/gemini-3.5-flash,4,14,0.2857142857142857
standard,9,qwen,qwen/qwen3.6-35b-a3b,5,14,0.35714285714285715
standard,9,anthropic,anthropic/claude-sonnet-4.6,9,14,0.6428571428571429
standard,9,qwen,qwen/qwen3.5-9b,7,14,0.5
standard,9,qwen,qwen/qwen3.5-397b-a17b,5,14,0.35714285714285715
standard,9,gold,gold,8,14,0.5714285714285714
standard,3,anthropic,anthropic/claude-opus-4.8,8,14,0.5714285714285714
standard,3,anthropic,anthropic/claude-haiku-4.5,9,14,0.6428571428571429
standard,3,openai,openai/gpt-5.4-mini,5,14,0.35714285714285715
standard,3,google,google/gemini-3.1-pro-preview,5,14,0.35714285714285715
standard,3,google,google/gemini-3.1-flash-lite,5,14,0.35714285714285715
standard,3,openai,openai/gpt-5.5,10,14,0.7142857142857143
standard,3,google,google/gemini-3.5-flash,5,14,0.35714285714285715
standard,3,openai,openai/gpt-5.4,9,14,0.6428571428571429
standard,3,qwen,qwen/qwen3.6-35b-a3b,5,14,0.35714285714285715
standard,3,anthropic,anthropic/claude-sonnet-4.6,11,14,0.7857142857142857
standard,3,qwen,qwen/qwen3.5-397b-a17b,7,14,0.5
standard,3,gold,gold,6,14,0.42857142857142855
standard,8,anthropic,anthropic/claude-opus-4.8,9,13,0.6923076923076923
standard,8,google,google/gemini-3.1-pro-preview,5,13,0.38461538461538464
standard,8,openai,openai/gpt-5.4-mini,5,13,0.38461538461538464
standard,8,google,google/gemini-3.1-flash-lite,5,13,0.38461538461538464
standard,8,openai,openai/gpt-5.4,7,13,0.5384615384615384
standard,8,google,google/gemini-3.5-flash,5,13,0.38461538461538464
standard,8,anthropic,anthropic/claude-sonnet-4.6,9,13,0.6923076923076923
standard,8,qwen,qwen/qwen3.6-35b-a3b,5,13,0.38461538461538464
standard,8,openai,openai/gpt-5.5,9,13,0.6923076923076923
standard,8,qwen,qwen/qwen3.5-397b-a17b,5,13,0.38461538461538464
standard,8,qwen,qwen/qwen3.5-9b,6,13,0.46153846153846156
standard,8,anthropic,anthropic/claude-haiku-4.5,8,13,0.6153846153846154
standard,8,gold,gold,8,13,0.6153846153846154
standard,15,anthropic,anthropic/claude-opus-4.8,9,17,0.5294117647058824
standard,15,anthropic,anthropic/claude-haiku-4.5,9,17,0.5294117647058824
standard,15,openai,openai/gpt-5.4,8,17,0.47058823529411764
standard,15,google,google/gemini-3.1-pro-preview,4,17,0.23529411764705882
standard,15,openai,openai/gpt-5.5,8,17,0.47058823529411764
standard,15,google,google/gemini-3.1-flash-lite,5,17,0.29411764705882354
standard,15,openai,openai/gpt-5.4-mini,6,17,0.35294117647058826
standard,15,anthropic,anthropic/claude-sonnet-4.6,12,17,0.7058823529411765
standard,15,qwen,qwen/qwen3.5-397b-a17b,6,17,0.35294117647058826
standard,15,google,google/gemini-3.5-flash,5,17,0.29411764705882354
standard,15,qwen,qwen/qwen3.6-35b-a3b,5,17,0.29411764705882354
standard,15,qwen,qwen/qwen3.5-9b,4,17,0.23529411764705882
standard,15,gold,gold,10,17,0.5882352941176471
standard,10,anthropic,anthropic/claude-opus-4.8,8,14,0.5714285714285714
standard,10,openai,openai/gpt-5.4-mini,4,14,0.2857142857142857
standard,10,google,google/gemini-3.1-flash-lite,5,14,0.35714285714285715
standard,10,google,google/gemini-3.1-pro-preview,6,14,0.42857142857142855
standard,10,google,google/gemini-3.5-flash,6,14,0.42857142857142855
standard,10,openai,openai/gpt-5.5,8,14,0.5714285714285714
standard,10,openai,openai/gpt-5.4,8,14,0.5714285714285714
standard,10,qwen,qwen/qwen3.6-35b-a3b,5,14,0.35714285714285715
standard,10,qwen,qwen/qwen3.5-397b-a17b,5,14,0.35714285714285715
standard,10,anthropic,anthropic/claude-sonnet-4.6,9,14,0.6428571428571429
standard,10,qwen,qwen/qwen3.5-9b,6,14,0.42857142857142855
standard,10,anthropic,anthropic/claude-haiku-4.5,10,14,0.7142857142857143
standard,10,gold,gold,9,14,0.6428571428571429
standard,19,anthropic,anthropic/claude-opus-4.8,8,17,0.47058823529411764
standard,19,anthropic,anthropic/claude-haiku-4.5,9,17,0.5294117647058824
standard,19,openai,openai/gpt-5.4,8,17,0.47058823529411764
standard,19,openai,openai/gpt-5.4-mini,8,17,0.47058823529411764
standard,19,google,google/gemini-3.1-flash-lite,6,17,0.35294117647058826
standard,19,google,google/gemini-3.1-pro-preview,5,17,0.29411764705882354
standard,19,openai,openai/gpt-5.5,9,17,0.5294117647058824
standard,19,google,google/gemini-3.5-flash,7,17,0.4117647058823529
standard,19,anthropic,anthropic/claude-sonnet-4.6,11,17,0.6470588235294118
standard,19,qwen,qwen/qwen3.6-35b-a3b,5,17,0.29411764705882354
standard,19,qwen,qwen/qwen3.5-397b-a17b,8,17,0.47058823529411764
standard,19,qwen,qwen/qwen3.5-9b,6,17,0.35294117647058826
standard,19,gold,gold,6,17,0.35294117647058826
standard,14,anthropic,anthropic/claude-opus-4.8,9,15,0.6
standard,14,openai,openai/gpt-5.4-mini,6,15,0.4
standard,14,openai,openai/gpt-5.5,8,15,0.5333333333333333
standard,14,openai,openai/gpt-5.4,7,15,0.4666666666666667
standard,14,google,google/gemini-3.1-pro-preview,5,15,0.3333333333333333
standard,14,google,google/gemini-3.1-flash-lite,5,15,0.3333333333333333
standard,14,anthropic,anthropic/claude-haiku-4.5,11,15,0.7333333333333333
standard,14,google,google/gemini-3.5-flash,5,15,0.3333333333333333
standard,14,qwen,qwen/qwen3.6-35b-a3b,5,15,0.3333333333333333
standard,14,anthropic,anthropic/claude-sonnet-4.6,10,15,0.6666666666666666
standard,14,qwen,qwen/qwen3.5-397b-a17b,6,15,0.4
standard,14,qwen,qwen/qwen3.5-9b,8,15,0.5333333333333333
standard,14,gold,gold,8,15,0.5333333333333333
standard,13,anthropic,anthropic/claude-opus-4.8,9,20,0.45
standard,13,anthropic,anthropic/claude-haiku-4.5,9,20,0.45
standard,13,openai,openai/gpt-5.4,7,20,0.35
standard,13,openai,openai/gpt-5.4-mini,7,20,0.35
standard,13,google,google/gemini-3.1-flash-lite,4,20,0.2
standard,13,google,google/gemini-3.1-pro-preview,6,20,0.3
standard,13,openai,openai/gpt-5.5,8,20,0.4
standard,13,anthropic,anthropic/claude-sonnet-4.6,11,20,0.55
standard,13,google,google/gemini-3.5-flash,6,20,0.3
standard,13,qwen,qwen/qwen3.6-35b-a3b,5,20,0.25
standard,13,qwen,qwen/qwen3.5-9b,6,20,0.3
standard,13,qwen,qwen/qwen3.5-397b-a17b,7,20,0.35
standard,13,gold,gold,5,20,0.25
standard,11,anthropic,anthropic/claude-opus-4.8,7,11,0.6363636363636364
standard,11,anthropic,anthropic/claude-haiku-4.5,8,11,0.7272727272727273
standard,11,openai,openai/gpt-5.4-mini,6,11,0.5454545454545454
standard,11,google,google/gemini-3.1-flash-lite,5,11,0.45454545454545453
standard,11,openai,openai/gpt-5.5,8,11,0.7272727272727273
standard,11,google,google/gemini-3.1-pro-preview,5,11,0.45454545454545453
standard,11,openai,openai/gpt-5.4,8,11,0.7272727272727273
standard,11,google,google/gemini-3.5-flash,6,11,0.5454545454545454
standard,11,anthropic,anthropic/claude-sonnet-4.6,9,11,0.8181818181818182
standard,11,qwen,qwen/qwen3.6-35b-a3b,5,11,0.45454545454545453
standard,11,qwen,qwen/qwen3.5-397b-a17b,6,11,0.5454545454545454
standard,11,qwen,qwen/qwen3.5-9b,5,11,0.45454545454545453
standard,11,gold,gold,6,11,0.5454545454545454
standard,16,anthropic,anthropic/claude-opus-4.8,7,13,0.5384615384615384
standard,16,openai,openai/gpt-5.4-mini,6,13,0.46153846153846156
standard,16,google,google/gemini-3.1-pro-preview,5,13,0.38461538461538464
standard,16,google,google/gemini-3.1-flash-lite,4,13,0.3076923076923077
standard,16,google,google/gemini-3.5-flash,5,13,0.38461538461538464
standard,16,openai,openai/gpt-5.5,9,13,0.6923076923076923
standard,16,anthropic,anthropic/claude-sonnet-4.6,9,13,0.6923076923076923
standard,16,qwen,qwen/qwen3.6-35b-a3b,7,13,0.5384615384615384
standard,16,qwen,qwen/qwen3.5-397b-a17b,6,13,0.46153846153846156
standard,16,openai,openai/gpt-5.4,8,13,0.6153846153846154
standard,16,qwen,qwen/qwen3.5-9b,6,13,0.46153846153846156
standard,16,anthropic,anthropic/claude-haiku-4.5,9,13,0.6923076923076923
standard,16,gold,gold,8,13,0.6153846153846154
standard,18,anthropic,anthropic/claude-opus-4.8,7,11,0.6363636363636364
standard,18,anthropic,anthropic/claude-haiku-4.5,8,11,0.7272727272727273
standard,18,openai,openai/gpt-5.4-mini,7,11,0.6363636363636364
standard,18,openai,openai/gpt-5.5,9,11,0.8181818181818182
standard,18,google,google/gemini-3.1-flash-lite,5,11,0.45454545454545453
standard,18,google,google/gemini-3.1-pro-preview,6,11,0.5454545454545454
standard,18,google,google/gemini-3.5-flash,6,11,0.5454545454545454
standard,18,openai,openai/gpt-5.4,8,11,0.7272727272727273
standard,18,anthropic,anthropic/claude-sonnet-4.6,8,11,0.7272727272727273
standard,18,qwen,qwen/qwen3.6-35b-a3b,6,11,0.5454545454545454
standard,18,qwen,qwen/qwen3.5-397b-a17b,5,11,0.45454545454545453
standard,18,qwen,qwen/qwen3.5-9b,6,11,0.5454545454545454
standard,18,gold,gold,4,11,0.36363636363636365
standard,17,anthropic,anthropic/claude-opus-4.8,9,16,0.5625
standard,17,openai,openai/gpt-5.4-mini,6,16,0.375
standard,17,google,google/gemini-3.1-pro-preview,4,16,0.25
standard,17,google,google/gemini-3.1-flash-lite,5,16,0.3125
standard,17,anthropic,anthropic/claude-haiku-4.5,4,16,0.25
standard,17,google,google/gemini-3.5-flash,4,16,0.25
standard,17,openai,openai/gpt-5.4,6,16,0.375
standard,17,qwen,qwen/qwen3.6-35b-a3b,5,16,0.3125
standard,17,openai,openai/gpt-5.5,8,16,0.5
standard,17,anthropic,anthropic/claude-sonnet-4.6,12,16,0.75
standard,17,qwen,qwen/qwen3.5-397b-a17b,5,16,0.3125
standard,17,qwen,qwen/qwen3.5-9b,7,16,0.4375
standard,17,gold,gold,6,16,0.375
standard,12,anthropic,anthropic/claude-opus-4.8,8,16,0.5
standard,12,openai,openai/gpt-5.4-mini,8,16,0.5
standard,12,anthropic,anthropic/claude-haiku-4.5,11,16,0.6875
standard,12,google,google/gemini-3.1-pro-preview,5,16,0.3125
standard,12,google,google/gemini-3.1-flash-lite,5,16,0.3125
standard,12,openai,openai/gpt-5.4,8,16,0.5
standard,12,google,google/gemini-3.5-flash,5,16,0.3125
standard,12,openai,openai/gpt-5.5,9,16,0.5625
standard,12,qwen,qwen/qwen3.6-35b-a3b,5,16,0.3125
standard,12,qwen,qwen/qwen3.5-9b,6,16,0.375
standard,12,anthropic,anthropic/claude-sonnet-4.6,10,16,0.625
standard,12,qwen,qwen/qwen3.5-397b-a17b,7,16,0.4375
standard,12,gold,gold,7,16,0.4375
standard,21,anthropic,anthropic/claude-opus-4.8,8,12,0.6666666666666666
standard,21,anthropic,anthropic/claude-haiku-4.5,6,12,0.5
standard,21,openai,openai/gpt-5.4-mini,7,12,0.5833333333333334
standard,21,openai,openai/gpt-5.5,8,12,0.6666666666666666
standard,21,openai,openai/gpt-5.4,5,12,0.4166666666666667
standard,21,google,google/gemini-3.1-flash-lite,4,12,0.3333333333333333
standard,21,google,google/gemini-3.5-flash,5,12,0.4166666666666667
standard,21,google,google/gemini-3.1-pro-preview,6,12,0.5
standard,21,anthropic,anthropic/claude-sonnet-4.6,9,12,0.75
standard,21,qwen,qwen/qwen3.6-35b-a3b,5,12,0.4166666666666667
standard,21,qwen,qwen/qwen3.5-397b-a17b,5,12,0.4166666666666667
standard,21,qwen,qwen/qwen3.5-9b,5,12,0.4166666666666667
standard,21,gold,gold,7,12,0.5833333333333334
standard,26,anthropic,anthropic/claude-opus-4.8,7,13,0.5384615384615384
standard,26,openai,openai/gpt-5.4-mini,7,13,0.5384615384615384
standard,26,anthropic,anthropic/claude-haiku-4.5,8,13,0.6153846153846154
standard,26,google,google/gemini-3.1-flash-lite,4,13,0.3076923076923077
standard,26,google,google/gemini-3.1-pro-preview,5,13,0.38461538461538464
standard,26,openai,openai/gpt-5.4,8,13,0.6153846153846154
standard,26,google,google/gemini-3.5-flash,5,13,0.38461538461538464
standard,26,openai,openai/gpt-5.5,9,13,0.6923076923076923
standard,26,anthropic,anthropic/claude-sonnet-4.6,9,13,0.6923076923076923
standard,26,qwen,qwen/qwen3.6-35b-a3b,4,13,0.3076923076923077
standard,26,qwen,qwen/qwen3.5-397b-a17b,6,13,0.46153846153846156
standard,26,qwen,qwen/qwen3.5-9b,6,13,0.46153846153846156
standard,26,gold,gold,5,13,0.38461538461538464
standard,23,anthropic,anthropic/claude-opus-4.8,7,18,0.3888888888888889
standard,23,google,google/gemini-3.1-pro-preview,5,18,0.2777777777777778
standard,23,openai,openai/gpt-5.4-mini,6,18,0.3333333333333333
standard,23,google,google/gemini-3.1-flash-lite,4,18,0.2222222222222222
standard,23,anthropic,anthropic/claude-haiku-4.5,9,18,0.5
standard,23,openai,openai/gpt-5.4,9,18,0.5
standard,23,google,google/gemini-3.5-flash,7,18,0.3888888888888889
standard,23,qwen,qwen/qwen3.6-35b-a3b,5,18,0.2777777777777778
standard,23,openai,openai/gpt-5.5,9,18,0.5
standard,23,qwen,qwen/qwen3.5-9b,5,18,0.2777777777777778
standard,23,anthropic,anthropic/claude-sonnet-4.6,9,18,0.5
standard,23,qwen,qwen/qwen3.5-397b-a17b,6,18,0.3333333333333333
standard,23,gold,gold,10,18,0.5555555555555556
standard,24,anthropic,anthropic/claude-opus-4.8,8,14,0.5714285714285714
standard,24,anthropic,anthropic/claude-haiku-4.5,9,14,0.6428571428571429
standard,24,openai,openai/gpt-5.4-mini,7,14,0.5
standard,24,openai,openai/gpt-5.4,8,14,0.5714285714285714
standard,24,google,google/gemini-3.1-flash-lite,6,14,0.42857142857142855
standard,24,google,google/gemini-3.1-pro-preview,6,14,0.42857142857142855
standard,24,google,google/gemini-3.5-flash,6,14,0.42857142857142855
standard,24,openai,openai/gpt-5.5,8,14,0.5714285714285714
standard,24,anthropic,anthropic/claude-sonnet-4.6,10,14,0.7142857142857143
standard,24,qwen,qwen/qwen3.6-35b-a3b,6,14,0.42857142857142855
standard,24,qwen,qwen/qwen3.5-397b-a17b,7,14,0.5
standard,24,qwen,qwen/qwen3.5-9b,6,14,0.42857142857142855
standard,24,gold,gold,7,14,0.5
standard,20,anthropic,anthropic/claude-opus-4.8,10,19,0.5263157894736842
standard,20,openai,openai/gpt-5.4-mini,4,19,0.21052631578947367
standard,20,google,google/gemini-3.1-flash-lite,5,19,0.2631578947368421
standard,20,google,google/gemini-3.1-pro-preview,5,19,0.2631578947368421
standard,20,google,google/gemini-3.5-flash,8,19,0.42105263157894735
standard,20,openai,openai/gpt-5.4,8,19,0.42105263157894735
standard,20,openai,openai/gpt-5.5,9,19,0.47368421052631576
standard,20,qwen,qwen/qwen3.6-35b-a3b,6,19,0.3157894736842105
standard,20,anthropic,anthropic/claude-sonnet-4.6,15,19,0.7894736842105263
standard,20,qwen,qwen/qwen3.5-9b,6,19,0.3157894736842105
standard,20,qwen,qwen/qwen3.5-397b-a17b,6,19,0.3157894736842105
standard,20,anthropic,anthropic/claude-haiku-4.5,9,19,0.47368421052631576
standard,20,gold,gold,9,19,0.47368421052631576
standard,22,anthropic,anthropic/claude-opus-4.8,7,17,0.4117647058823529
standard,22,anthropic,anthropic/claude-haiku-4.5,4,17,0.23529411764705882
standard,22,google,google/gemini-3.1-pro-preview,4,17,0.23529411764705882
standard,22,openai,openai/gpt-5.4-mini,5,17,0.29411764705882354
standard,22,openai,openai/gpt-5.4,7,17,0.4117647058823529
standard,22,google,google/gemini-3.1-flash-lite,3,17,0.17647058823529413
standard,22,google,google/gemini-3.5-flash,5,17,0.29411764705882354
standard,22,openai,openai/gpt-5.5,8,17,0.47058823529411764
standard,22,qwen,qwen/qwen3.6-35b-a3b,4,17,0.23529411764705882
standard,22,qwen,qwen/qwen3.5-9b,7,17,0.4117647058823529
standard,22,anthropic,anthropic/claude-sonnet-4.6,9,17,0.5294117647058824
standard,22,qwen,qwen/qwen3.5-397b-a17b,5,17,0.29411764705882354
standard,22,gold,gold,5,17,0.29411764705882354
standard,31,anthropic,anthropic/claude-opus-4.8,8,13,0.6153846153846154
standard,31,anthropic,anthropic/claude-haiku-4.5,11,13,0.8461538461538461
standard,31,openai,openai/gpt-5.4,8,13,0.6153846153846154
standard,31,google,google/gemini-3.1-pro-preview,5,13,0.38461538461538464
standard,31,openai,openai/gpt-5.4-mini,7,13,0.5384615384615384
standard,31,openai,openai/gpt-5.5,9,13,0.6923076923076923
standard,31,google,google/gemini-3.1-flash-lite,5,13,0.38461538461538464
standard,31,google,google/gemini-3.5-flash,5,13,0.38461538461538464
standard,31,anthropic,anthropic/claude-sonnet-4.6,12,13,0.9230769230769231
standard,31,qwen,qwen/qwen3.6-35b-a3b,6,13,0.46153846153846156
standard,31,qwen,qwen/qwen3.5-397b-a17b,7,13,0.5384615384615384
standard,31,qwen,qwen/qwen3.5-9b,5,13,0.38461538461538464
standard,31,gold,gold,5,13,0.38461538461538464
standard,33,anthropic,anthropic/claude-opus-4.8,8,13,0.6153846153846154
standard,33,openai,openai/gpt-5.4-mini,7,13,0.5384615384615384
standard,33,google,google/gemini-3.1-flash-lite,5,13,0.38461538461538464
standard,33,google,google/gemini-3.1-pro-preview,6,13,0.46153846153846156
standard,33,openai,openai/gpt-5.4,8,13,0.6153846153846154
standard,33,openai,openai/gpt-5.5,9,13,0.6923076923076923
standard,33,google,google/gemini-3.5-flash,5,13,0.38461538461538464
standard,33,qwen,qwen/qwen3.6-35b-a3b,3,13,0.23076923076923078
standard,33,qwen,qwen/qwen3.5-397b-a17b,7,13,0.5384615384615384
standard,33,anthropic,anthropic/claude-sonnet-4.6,9,13,0.6923076923076923
standard,33,qwen,qwen/qwen3.5-9b,6,13,0.46153846153846156
standard,33,anthropic,anthropic/claude-haiku-4.5,8,13,0.6153846153846154
standard,33,gold,gold,10,13,0.7692307692307693
standard,25,anthropic,anthropic/claude-haiku-4.5,10,16,0.625
standard,25,anthropic,anthropic/claude-opus-4.8,7,16,0.4375
standard,25,openai,openai/gpt-5.4-mini,6,16,0.375
standard,25,google,google/gemini-3.1-pro-preview,4,16,0.25
standard,25,google,google/gemini-3.1-flash-lite,5,16,0.3125
standard,25,openai,openai/gpt-5.4,7,16,0.4375
standard,25,google,google/gemini-3.5-flash,4,16,0.25
standard,25,openai,openai/gpt-5.5,7,16,0.4375
standard,25,anthropic,anthropic/claude-sonnet-4.6,10,16,0.625
standard,25,qwen,qwen/qwen3.6-35b-a3b,5,16,0.3125
standard,25,qwen,qwen/qwen3.5-9b,6,16,0.375
standard,25,qwen,qwen/qwen3.5-397b-a17b,5,16,0.3125
standard,25,gold,gold,9,16,0.5625
standard,30,anthropic,anthropic/claude-opus-4.8,9,11,0.8181818181818182
standard,30,openai,openai/gpt-5.4-mini,7,11,0.6363636363636364
standard,30,openai,openai/gpt-5.5,9,11,0.8181818181818182
standard,30,anthropic,anthropic/claude-haiku-4.5,6,11,0.5454545454545454
standard,30,google,google/gemini-3.1-flash-lite,4,11,0.36363636363636365
standard,30,google,google/gemini-3.1-pro-preview,5,11,0.45454545454545453
standard,30,google,google/gemini-3.5-flash,6,11,0.5454545454545454
standard,30,anthropic,anthropic/claude-sonnet-4.6,9,11,0.8181818181818182
standard,30,openai,openai/gpt-5.4,8,11,0.7272727272727273
standard,30,qwen,qwen/qwen3.6-35b-a3b,7,11,0.6363636363636364
standard,30,qwen,qwen/qwen3.5-9b,6,11,0.5454545454545454
standard,30,qwen,qwen/qwen3.5-397b-a17b,5,11,0.45454545454545453
standard,30,gold,gold,8,11,0.7272727272727273
standard,28,anthropic,anthropic/claude-opus-4.8,9,17,0.5294117647058824
standard,28,openai,openai/gpt-5.4-mini,5,17,0.29411764705882354
standard,28,google,google/gemini-3.1-pro-preview,5,17,0.29411764705882354
standard,28,google,google/gemini-3.1-flash-lite,5,17,0.29411764705882354
standard,28,openai,openai/gpt-5.5,10,17,0.5882352941176471
standard,28,google,google/gemini-3.5-flash,5,17,0.29411764705882354
standard,28,openai,openai/gpt-5.4,7,17,0.4117647058823529
standard,28,qwen,qwen/qwen3.6-35b-a3b,4,17,0.23529411764705882
standard,28,qwen,qwen/qwen3.5-9b,4,17,0.23529411764705882
standard,28,anthropic,anthropic/claude-sonnet-4.6,9,17,0.5294117647058824
standard,28,qwen,qwen/qwen3.5-397b-a17b,4,17,0.23529411764705882
standard,28,gold,gold,10,17,0.5882352941176471
standard,34,anthropic,anthropic/claude-opus-4.8,8,12,0.6666666666666666
standard,34,google,google/gemini-3.1-pro-preview,6,12,0.5
standard,34,openai,openai/gpt-5.4-mini,8,12,0.6666666666666666
standard,34,google,google/gemini-3.1-flash-lite,6,12,0.5
standard,34,openai,openai/gpt-5.4,8,12,0.6666666666666666
standard,34,anthropic,anthropic/claude-haiku-4.5,7,12,0.5833333333333334
standard,34,openai,openai/gpt-5.5,9,12,0.75
standard,34,qwen,qwen/qwen3.6-35b-a3b,6,12,0.5
standard,34,google,google/gemini-3.5-flash,6,12,0.5
standard,34,anthropic,anthropic/claude-sonnet-4.6,8,12,0.6666666666666666
standard,34,qwen,qwen/qwen3.5-397b-a17b,5,12,0.4166666666666667
standard,34,qwen,qwen/qwen3.5-9b,6,12,0.5
standard,34,gold,gold,8,12,0.6666666666666666
standard,32,anthropic,anthropic/claude-opus-4.8,8,15,0.5333333333333333
standard,32,openai,openai/gpt-5.4-mini,5,15,0.3333333333333333
standard,32,anthropic,anthropic/claude-haiku-4.5,10,15,0.6666666666666666
standard,32,google,google/gemini-3.1-pro-preview,5,15,0.3333333333333333
standard,32,google,google/gemini-3.1-flash-lite,4,15,0.26666666666666666
standard,32,google,google/gemini-3.5-flash,6,15,0.4
standard,32,openai,openai/gpt-5.5,9,15,0.6
standard,32,qwen,qwen/qwen3.6-35b-a3b,5,15,0.3333333333333333
