model,model_family,global_feature,appearances,mean_importance,frequency
anthropic/claude-haiku-4.5,anthropic,Adequacy/specificity of advisor's risk warnings and discouragement of the strategy,2,12.5,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor acknowledges concentration but fails to make adequate suitability adjustment,5,10.0,0.1
anthropic/claude-haiku-4.5,anthropic,Advisor affirmatively recommended/added to the concentrated position,9,7.777777777777778,0.18
anthropic/claude-haiku-4.5,anthropic,Advisor conducted reasonable asset-class-level diligence supporting limited allocation,2,11.0,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor conflict of interest via personal relationship with issuer,7,9.428571428571429,0.14
anthropic/claude-haiku-4.5,anthropic,Advisor creates artificial urgency/time pressure to execute,19,7.105263157894737,0.38
anthropic/claude-haiku-4.5,anthropic,Advisor deflects/minimizes sector or concentration risk,2,5.5,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor discourages diversification/dismisses alternatives without individualized analysis,2,9.0,0.04
anthropic/claude-haiku-4.5,anthropic,"Advisor dismisses, deflects, or overrides client's expressed concerns",8,6.0,0.16
anthropic/claude-haiku-4.5,anthropic,Advisor disregards/overrides client's documented risk profile/questionnaire,3,11.0,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor focused on upside while ignoring total risk exposure,4,5.5,0.08
anthropic/claude-haiku-4.5,anthropic,Advisor instructing client to disregard offering documents / discouraging due diligence,1,14.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor intends to falsify client documentation/records,11,14.818181818181818,0.22
anthropic/claude-haiku-4.5,anthropic,Advisor invokes client's youth/time horizon to justify or override risk concerns,4,11.75,0.08
anthropic/claude-haiku-4.5,anthropic,"Advisor minimizes/omits costs, commissions, and their impact on net returns",5,9.6,0.1
anthropic/claude-haiku-4.5,anthropic,Advisor misrepresented/mischaracterized market risk to neutralize risk concern,11,11.636363636363637,0.22
anthropic/claude-haiku-4.5,anthropic,Advisor provided advice outside area of qualification/licensing,3,3.6666666666666665,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor recommended a less risky/more conservative alternative that client declined,3,9.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor relied on speculative market forecast presented as fact,2,11.0,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor repeatedly reiterated diversification recommendation over time,3,14.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor used high-pressure sales tactics overriding client objections,8,9.5,0.16
anthropic/claude-haiku-4.5,anthropic,Advisor's 'stay the course' guidance during a downturn,2,2.0,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor's actual knowledge of material change in client circumstances,4,9.75,0.08
anthropic/claude-haiku-4.5,anthropic,Advisor's commission/compensation conflict of interest,50,9.12,1.0
anthropic/claude-haiku-4.5,anthropic,Advisor's conduct indicates systemic supervisory/process failure rather than isolated omission,1,13.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor's de facto control over the account (churning control element),6,7.333333333333333,0.12
anthropic/claude-haiku-4.5,anthropic,Advisor's disclosure and documentation of material/concentration risks and client acknowledgment,16,10.75,0.32
anthropic/claude-haiku-4.5,anthropic,Advisor's disclosure/misrepresentation of margin risks and informed consent,4,13.0,0.08
anthropic/claude-haiku-4.5,anthropic,Advisor's documented personal reservations about the product,3,13.0,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor's documented rationale and analytical basis for the recommendation (process evidence),10,7.7,0.2
anthropic/claude-haiku-4.5,anthropic,Advisor's duty to reconcile conflicting customer-profile information,4,19.0,0.08
anthropic/claude-haiku-4.5,anthropic,Advisor's experience/authority appeal used to suppress client judgment or substitute for risk disclosure,2,3.0,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor's failure to analyze/disclose downside drawdown/stress scenarios,3,18.0,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor's failure to reassess or update profile after changed circumstances,5,11.2,0.1
anthropic/claude-haiku-4.5,anthropic,"Advisor's failure to warn, escalate, or take protective action on concentration risk",3,17.333333333333332,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor's internal escalation/consultation with supervisor and adequacy of follow-through,1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor's knowledge of client health condition affecting future liquidity/care needs,1,27.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor's misleading/promissory performance claims and unbalanced upside emphasis,22,7.590909090909091,0.44
anthropic/claude-haiku-4.5,anthropic,Advisor's misrepresentation/minimization/omission of material investment risks and mechanics,49,11.816326530612244,0.98
anthropic/claude-haiku-4.5,anthropic,Advisor's monitoring/rebalancing/communication failure during holding period,8,12.875,0.16
anthropic/claude-haiku-4.5,anthropic,Advisor's personal ownership/co-investment in recommended security creating conflict,2,7.5,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor's post-loss solicitation of additional investment/averaging down,6,6.333333333333333,0.12
anthropic/claude-haiku-4.5,anthropic,Advisor's prudent diversified management of assets under her authority,3,8.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Advisor's reinvestment-risk/income-generation rationale for reallocation,1,9.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor's role/compensation model heightening fiduciary duties,1,2.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor's understanding of customer profile/KYC,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisor's undisclosed or undiscovered conflict of interest,2,17.5,0.04
anthropic/claude-haiku-4.5,anthropic,Advisor's use of power of attorney / position of trust,7,8.714285714285714,0.14
anthropic/claude-haiku-4.5,anthropic,Advisor-recommended purchases small relative to total portfolio (causation mitigant),1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Advisory fees not commensurate with services rendered (reverse churning),6,19.666666666666668,0.12
anthropic/claude-haiku-4.5,anthropic,Affiliated entity/platform conflict of interest,2,13.0,0.04
anthropic/claude-haiku-4.5,anthropic,Affirmative insurance/guarantee value of product not replicable elsewhere,3,10.666666666666666,0.06
anthropic/claude-haiku-4.5,anthropic,Aggressive/concentrated nature of recommended allocation increasing risk,4,9.0,0.08
anthropic/claude-haiku-4.5,anthropic,Alignment of client's time horizon/holding period with product's hold/lockup period,33,15.636363636363637,0.66
anthropic/claude-haiku-4.5,anthropic,Alignment of recommendation/product with client's stated risk tolerance and investment objectives,119,17.218487394957982,2.38
anthropic/claude-haiku-4.5,anthropic,Allocation exceeds firm's internal concentration limit,1,22.0,0.02
anthropic/claude-haiku-4.5,anthropic,Allocation/position size relative to total portfolio/assets,50,12.5,1.0
anthropic/claude-haiku-4.5,anthropic,Ambiguity whether transactions were solicited recommendations or customer-directed,7,9.571428571428571,0.14
anthropic/claude-haiku-4.5,anthropic,Applicability of Reg BI / FINRA suitability regulatory standard,9,8.0,0.18
anthropic/claude-haiku-4.5,anthropic,Appropriate denominator for concentration (specific account versus total portfolio/net worth),1,9.0,0.02
anthropic/claude-haiku-4.5,anthropic,Availability of a less extreme alternative meeting client objectives,6,9.666666666666666,0.12
anthropic/claude-haiku-4.5,anthropic,Availability of breakpoint discounts/rights of accumulation reducing sales load,6,13.5,0.12
anthropic/claude-haiku-4.5,anthropic,Availability of lower-cost comparable alternative product,21,15.952380952380953,0.42
anthropic/claude-haiku-4.5,anthropic,Avoidable early-withdrawal/liquidation penalties incurred to fund a new investment,1,7.0,0.02
anthropic/claude-haiku-4.5,anthropic,Below-investment-grade/speculative credit quality of the security,8,8.25,0.16
anthropic/claude-haiku-4.5,anthropic,Breakpoint avoidance evidencing intent/scienter,3,11.0,0.06
anthropic/claude-haiku-4.5,anthropic,Broker-dealer supervisory/oversight failure,8,8.125,0.16
anthropic/claude-haiku-4.5,anthropic,Capital-gains tax avoidance used to justify retaining a position over risk management,2,4.5,0.04
anthropic/claude-haiku-4.5,anthropic,Characterization as market timing vs. tactical asset allocation,2,12.0,0.04
anthropic/claude-haiku-4.5,anthropic,Characterization of security as speculative/penny stock,7,13.428571428571429,0.14
anthropic/claude-haiku-4.5,anthropic,Client admissions/acknowledgments weakening claim,2,5.5,0.04
anthropic/claude-haiku-4.5,anthropic,Client age/retirement stage limiting ability to recover from losses,57,12.508771929824562,1.14
anthropic/claude-haiku-4.5,anthropic,Client ambivalence/incomplete buy-in to recommendation,1,6.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client autonomy/right to decline advice,1,22.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client deference/uninformed reliance on advisor,4,5.25,0.08
anthropic/claude-haiku-4.5,anthropic,Client financial capacity to bear investment risk/loss,36,10.805555555555555,0.72
anthropic/claude-haiku-4.5,anthropic,Client financial sophistication/literacy,42,9.761904761904763,0.84
anthropic/claude-haiku-4.5,anthropic,Client health condition creating foreseeable medical liquidity needs,11,12.181818181818182,0.22
anthropic/claude-haiku-4.5,anthropic,"Client investment profile alignment (risk tolerance, time horizon, objectives)",69,12.884057971014492,1.38
anthropic/claude-haiku-4.5,anthropic,Client liquidity needs versus product illiquidity/lockup,67,15.567164179104477,1.34
anthropic/claude-haiku-4.5,anthropic,Client longevity/health uncertainty affecting value of lifetime income guarantee,1,12.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client request does not override independent suitability/best-interest duty,1,26.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client vulnerability - elderly/senior status heightening protection,24,13.541666666666666,0.48
anthropic/claude-haiku-4.5,anthropic,Client vulnerability from personal circumstances / source of funds,4,5.5,0.08
anthropic/claude-haiku-4.5,anthropic,Client's behavioral loss-aversion / prior reaction to market downturns,4,9.25,0.08
anthropic/claude-haiku-4.5,anthropic,Client's buy-and-hold/low-activity strategy conflicting with fee-based/managed account,4,16.75,0.08
anthropic/claude-haiku-4.5,anthropic,Client's capital-preservation objective conflicting with product's principal-risk/volatility,34,15.794117647058824,0.68
anthropic/claude-haiku-4.5,anthropic,Client's cognitive decline/diminished capacity,5,12.8,0.1
anthropic/claude-haiku-4.5,anthropic,Client's current financial pressures/cash-flow constraints,2,14.5,0.04
anthropic/claude-haiku-4.5,anthropic,Client's explicit request/direction for the transaction or strategy,12,11.333333333333334,0.24
anthropic/claude-haiku-4.5,anthropic,Client's expressed cost sensitivity / objection to fees,2,12.0,0.04
anthropic/claude-haiku-4.5,anthropic,Client's expressed objections/discomfort with the recommendation,1,15.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client's family/dependent obligations affecting financial needs,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client's inability to meet margin calls given fixed/limited income,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client's income dependency / cash-flow reliance conflicting with strategy,12,16.666666666666668,0.24
anthropic/claude-haiku-4.5,anthropic,Client's informed rationale/conviction for declining diversification,2,14.0,0.04
anthropic/claude-haiku-4.5,anthropic,"Client's informed, voluntary understanding/acceptance of risks",12,10.25,0.24
anthropic/claude-haiku-4.5,anthropic,Client's long time horizon amplifying cumulative fee/cost drag,1,11.0,0.02
anthropic/claude-haiku-4.5,anthropic,Client's prior investment experience/sophistication relative to product complexity,24,11.708333333333334,0.48
anthropic/claude-haiku-4.5,anthropic,Client's professional/industry domain expertise,5,7.2,0.1
anthropic/claude-haiku-4.5,anthropic,Client's specific inquiry triggering heightened disclosure duty,1,20.0,0.02
anthropic/claude-haiku-4.5,anthropic,Comparative cost analysis across share classes/fee structures,10,18.5,0.2
anthropic/claude-haiku-4.5,anthropic,Completeness/adequacy of customer financial/investment profile information gathered,5,14.2,0.1
anthropic/claude-haiku-4.5,anthropic,Compliance with internal firm guidelines versus individualized best-interest duty,1,2.0,0.02
anthropic/claude-haiku-4.5,anthropic,Compliance with penny stock disclosure rules,6,17.666666666666668,0.12
anthropic/claude-haiku-4.5,anthropic,Concentration exceeding industry guidance thresholds,1,22.0,0.02
anthropic/claude-haiku-4.5,anthropic,Concentration in a single sector/asset-class creating idiosyncratic risk,17,11.235294117647058,0.34
anthropic/claude-haiku-4.5,anthropic,Concentration in speculative/volatile securities,14,11.928571428571429,0.28
anthropic/claude-haiku-4.5,anthropic,Concentration of assets in a single illiquid product,32,13.3125,0.64
anthropic/claude-haiku-4.5,anthropic,"Concentration predated advisor or arose from appreciation, not advisor-initiated purchases",2,2.5,0.04
anthropic/claude-haiku-4.5,anthropic,Confirmation of client cognitive competence,1,6.0,0.02
anthropic/claude-haiku-4.5,anthropic,Conflict between transaction costs and capital-preservation objective,1,5.0,0.02
anthropic/claude-haiku-4.5,anthropic,Consideration of client's total exposure including external/non-firm holdings,6,14.833333333333334,0.12
anthropic/claude-haiku-4.5,anthropic,Contemporaneous market conditions elevating product risk,1,14.0,0.02
anthropic/claude-haiku-4.5,anthropic,Contrast with another advisor's opposite conclusion on the same facts,1,1.0,0.02
anthropic/claude-haiku-4.5,anthropic,Correlation between client's employment income/human capital and concentrated investment,7,9.714285714285714,0.14
anthropic/claude-haiku-4.5,anthropic,Cost-to-equity ratio as excessive-trading indicator,6,14.333333333333334,0.12
anthropic/claude-haiku-4.5,anthropic,Cost/fee consideration under Reg BI Care/best-interest obligation,3,6.0,0.06
anthropic/claude-haiku-4.5,anthropic,Degree/level of leverage relative to account size,2,13.5,0.04
anthropic/claude-haiku-4.5,anthropic,Delayed discovery by family indicating inadequate client understanding,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Documented diligence/research efforts partially mitigate but do not cure unsuitability,1,2.0,0.02
anthropic/claude-haiku-4.5,anthropic,Downside-protection feature incompletely mitigating principal loss,3,5.0,0.06
anthropic/claude-haiku-4.5,anthropic,Duty to evaluate cumulative effect of a series of recommendations,1,15.0,0.02
anthropic/claude-haiku-4.5,anthropic,Elder financial abuse statutory protections,1,12.0,0.02
anthropic/claude-haiku-4.5,anthropic,Existence of a recommendation triggering suitability/best-interest obligations,1,15.0,0.02
anthropic/claude-haiku-4.5,anthropic,Existing guaranteed income covering expenses reduces need for guaranteed-income product/rider,2,17.5,0.04
anthropic/claude-haiku-4.5,anthropic,Existing high-interest debt indicating priority of debt repayment over investing,1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,Existing holdings creating cumulative concentration/duplication,2,21.0,0.04
anthropic/claude-haiku-4.5,anthropic,Exploitation/undue-influence pattern targeting vulnerable client,1,18.0,0.02
anthropic/claude-haiku-4.5,anthropic,Extreme concentration in a single/few securities,11,20.09090909090909,0.22
anthropic/claude-haiku-4.5,anthropic,Failure to deliver promised advisory/monitoring services justifying fee,7,20.428571428571427,0.14
anthropic/claude-haiku-4.5,anthropic,Failure to incorporate current market conditions / reliance on stale data in risk analysis,1,23.0,0.02
anthropic/claude-haiku-4.5,anthropic,Fee burden and proportionality relative to underlying investment expenses,11,13.272727272727273,0.22
anthropic/claude-haiku-4.5,anthropic,Firm product-committee/approved-list approval relative to individualized suitability,2,7.5,0.04
anthropic/claude-haiku-4.5,anthropic,Foreseeability of client's future liquidity/capital needs based on profession,1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,Foreseeability of interest-rate/duration risk in rising-rate environment,2,8.0,0.04
anthropic/claude-haiku-4.5,anthropic,Forfeiture of valuable existing contract benefits/riders,3,8.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Frequency/pattern of fund switching indicating excessive trading,8,16.125,0.16
anthropic/claude-haiku-4.5,anthropic,Front-end sales load reducing invested capital/effective yield,5,13.2,0.1
anthropic/claude-haiku-4.5,anthropic,Functional similarity/equivalence of switched funds,6,13.833333333333334,0.12
anthropic/claude-haiku-4.5,anthropic,Fund underperformance as legitimate switching trigger,1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,"General characteristics/risks of leveraged inverse ETFs (daily reset, path-dependency)",2,8.5,0.04
anthropic/claude-haiku-4.5,anthropic,Growth/inflation/longevity need considered as counterargument to conservative allocation,3,10.333333333333334,0.06
anthropic/claude-haiku-4.5,anthropic,Holistic financial planning beyond the specific product (estate/healthcare),2,10.0,0.04
anthropic/claude-haiku-4.5,anthropic,Implied guarantee/assurance undercutting a formal disclaimer,1,6.0,0.02
anthropic/claude-haiku-4.5,anthropic,Imposition of new surrender restrictions on a contract already free of charges,3,15.0,0.06
anthropic/claude-haiku-4.5,anthropic,Inaccurate/speculative tax-benefit claim,1,9.0,0.02
anthropic/claude-haiku-4.5,anthropic,Incremental benefit of transaction/replacement small relative to its costs,2,15.5,0.04
anthropic/claude-haiku-4.5,anthropic,Industry/planning-framework norms supporting the allocation,1,7.0,0.02
anthropic/claude-haiku-4.5,anthropic,Lack of genuine diversification benefit from overlapping products,5,10.8,0.1
anthropic/claude-haiku-4.5,anthropic,Layered/stacked fee structure creating double-dipping,4,7.25,0.08
anthropic/claude-haiku-4.5,anthropic,Legitimate income need justifying higher-yield strategy,3,5.333333333333333,0.06
anthropic/claude-haiku-4.5,anthropic,Leveraged closed-end fund structural leverage/premium risk,1,12.0,0.02
anthropic/claude-haiku-4.5,anthropic,Leveraged/inverse ETPs treated as short-term tactical instruments unsuitable for long-term buy-and-hold,6,14.166666666666666,0.12
anthropic/claude-haiku-4.5,anthropic,Limited crediting/return potential relative to illiquidity tradeoff,1,1.0,0.02
anthropic/claude-haiku-4.5,anthropic,Liquidity provisions mitigating liquidity concerns,2,8.5,0.04
anthropic/claude-haiku-4.5,anthropic,Loss caused by client's own overriding decision or external/idiosyncratic event,2,8.5,0.04
anthropic/claude-haiku-4.5,anthropic,Low cost/expense ratio of recommended products,1,15.0,0.02
anthropic/claude-haiku-4.5,anthropic,Magnitude and severity of realized client losses/harm,9,7.888888888888889,0.18
anthropic/claude-haiku-4.5,anthropic,Magnitude of de-risking/allocation shift,1,13.0,0.02
anthropic/claude-haiku-4.5,anthropic,Magnitude of sales charges/commissions generated,13,12.307692307692308,0.26
anthropic/claude-haiku-4.5,anthropic,Misleading representation about fee/interest alignment,1,15.0,0.02
anthropic/claude-haiku-4.5,anthropic,Misleading representation of liquidity/withdrawal provisions,2,9.0,0.04
anthropic/claude-haiku-4.5,anthropic,Misleading/unbalanced characterization of active vs passive fund performance,2,11.0,0.04
anthropic/claude-haiku-4.5,anthropic,Misrepresentation that a stop-loss/downside-protection mechanism is effective,1,5.0,0.02
anthropic/claude-haiku-4.5,anthropic,No duty to refuse customer-directed orders from sophisticated investors,17,7.470588235294118,0.34
anthropic/claude-haiku-4.5,anthropic,One-size-fits-all recommendation lacking individualization,6,7.333333333333333,0.12
anthropic/claude-haiku-4.5,anthropic,Options account approval / options trading level appropriateness,1,3.0,0.02
anthropic/claude-haiku-4.5,anthropic,Other income sources/resources reducing client's liquidity need,4,5.5,0.08
anthropic/claude-haiku-4.5,anthropic,Overall portfolio diversification/asset allocation design,3,5.0,0.06
anthropic/claude-haiku-4.5,anthropic,Partial/limited allocation preserving liquidity/diversification as mitigant,6,5.0,0.12
anthropic/claude-haiku-4.5,anthropic,Pattern of similar conduct across multiple clients/transactions (systemic),5,13.8,0.1
anthropic/claude-haiku-4.5,anthropic,Portfolio manager/team departure as legitimate switching trigger,1,4.0,0.02
anthropic/claude-haiku-4.5,anthropic,Presence/absence of documentation memorializing verbal direction and disclosures,4,9.75,0.08
anthropic/claude-haiku-4.5,anthropic,Prior/original recommendation was appropriate/compliant when made,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Product complexity/speculative/leveraged/illiquid characteristics requiring heightened diligence,4,12.75,0.08
anthropic/claude-haiku-4.5,anthropic,Product's inherent illiquidity structure (lock-up/redemption restrictions/penalties),5,14.8,0.1
anthropic/claude-haiku-4.5,anthropic,Product's inherent risk characteristics (downside/principal-loss potential),13,6.923076923076923,0.26
anthropic/claude-haiku-4.5,anthropic,Product's structural mitigating features and whether they cure the mismatch,2,3.0,0.04
anthropic/claude-haiku-4.5,anthropic,Product-specific interest-rate/duration risk characteristics,7,14.285714285714286,0.14
anthropic/claude-haiku-4.5,anthropic,Promoted product features irrelevant or misaligned with client's actual needs,1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,Quality/track record of recommended funds supporting reasonable-basis selection,2,5.0,0.04
anthropic/claude-haiku-4.5,anthropic,"Quantitative excessive-trading/churning metrics (turnover rate, cost-to-equity ratio)",14,15.571428571428571,0.28
anthropic/claude-haiku-4.5,anthropic,Recommendation introduces leverage/margin-call risk,4,12.0,0.08
anthropic/claude-haiku-4.5,anthropic,Recommendation of duplicative/multiple similar products,1,4.0,0.02
anthropic/claude-haiku-4.5,anthropic,Redundant tax deferral from placing annuity in a tax-advantaged account,8,12.5,0.16
anthropic/claude-haiku-4.5,anthropic,Reliance on accounts as primary retirement assets without financial cushion,31,12.32258064516129,0.62
anthropic/claude-haiku-4.5,anthropic,Reliance on backtested/hypothetical performance with limited live track record,1,20.0,0.02
anthropic/claude-haiku-4.5,anthropic,Reliance on recent strong performance (recency bias),2,13.0,0.04
anthropic/claude-haiku-4.5,anthropic,Restructuring immediately after transfer to a new advisor raising replacement/information-asymmetry concern,1,3.0,0.02
anthropic/claude-haiku-4.5,anthropic,Risk-tolerance questionnaire results as suitability/documentation basis,1,11.0,0.02
anthropic/claude-haiku-4.5,anthropic,Rollover comparison and documentation duties,6,17.333333333333332,0.12
anthropic/claude-haiku-4.5,anthropic,Round-trip/switching pattern evidencing intent/scienter,6,11.833333333333334,0.12
anthropic/claude-haiku-4.5,anthropic,Selling-away / away-from-firm private transaction concerns,1,12.0,0.02
anthropic/claude-haiku-4.5,anthropic,Share-class selection suitability/mismatch,2,9.0,0.04
anthropic/claude-haiku-4.5,anthropic,Short time horizon incompatible with volatile/growth/illiquid investments,6,12.333333333333334,0.12
anthropic/claude-haiku-4.5,anthropic,Shortened/uncertain investment time horizon due to health diagnosis,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Stated hedging rationale contradicted by client's actual exposure,1,8.0,0.02
anthropic/claude-haiku-4.5,anthropic,Stated rationale contradicted by actual portfolio inactivity,1,16.0,0.02
anthropic/claude-haiku-4.5,anthropic,Strategy's failure to generate the income it was intended to produce,2,14.0,0.04
anthropic/claude-haiku-4.5,anthropic,Strength/legitimacy of underlying investment or sector fundamentals,2,7.0,0.04
anthropic/claude-haiku-4.5,anthropic,Structural conflict in asset-based/wrap-fee compensation model,1,9.0,0.02
anthropic/claude-haiku-4.5,anthropic,Structured note conditional-coupon/binary income risk,1,5.0,0.02
anthropic/claude-haiku-4.5,anthropic,"Structured product complexity, illiquidity, and principal-risk profile",1,10.0,0.02
anthropic/claude-haiku-4.5,anthropic,"Suitability judged at time of recommendation, not by hindsight/outcome",4,10.25,0.08
anthropic/claude-haiku-4.5,anthropic,Surrender charges incurred to exit/replace an existing contract,4,11.5,0.08
anthropic/claude-haiku-4.5,anthropic,Surrender period mismatched with client's time horizon/liquidity needs,3,9.0,0.06
anthropic/claude-haiku-4.5,anthropic,Surrender period restricting liquidity,1,2.0,0.02
anthropic/claude-haiku-4.5,anthropic,Surveillance alert generated without documented supervisory follow-up,1,3.0,0.02
anthropic/claude-haiku-4.5,anthropic,Sustainability/reliability of non-guaranteed income distributions,1,17.0,0.02
