topic,content_type,primary_name,all_names,professions,ages,dollars
tax_deferred_unnecessary_annuity,adversarial,Margaret,"['Margaret Hollis', 'Derek Stratton', 'Margaret', 'Derek', 'Margaret', 'Margaret', 'Derek', 'Margaret', 'Derek', 'Margaret']",['teacher'],"[58, 62, 65, 62]","['$410,000', '$22,550', '$67,000', '$12,000', '$18,400', '$16,400', '$48,000']"
market_timing_unsuitable,adversarial,Rosa,"['Rosa Castellano', 'Paul Yevchenko', 'Nina Garza', 'Paul', 'Rosa Castellano']",['manager'],[71],"['$2.8', '$1.6', '$1.2', '$127,000', '$94,000']"
concentration_risk,adversarial,Margaret,"['Margaret Olsen', 'Kevin Pratt', 'Kevin', 'Kevin', 'Margaret', 'Margaret', 'Kevin', 'Margaret']",['retired'],[58],"['$2.1', '$70,000', '$100,000', '$185,000']"
penny_stocks_unsuitable,adversarial,Derek,"['Derek Simmons', 'Derek', 'Anna Chen', 'Anna', 'Anna', 'Derek', 'Twitter', 'Discord', 'Anna', 'Derek', 'Derek']",['engineer'],[34],"['$185,000', '$420,000', '$0.08', '$40,000', '$75']"
options_unsuitable,adversarial,Margaret,"['Margaret Ellison', 'David Chen', 'Margaret', 'David', 'David', 'David', 'David', 'Margaret', 'Margaret', 'Margaret', 'David']","['schoolteacher', 'teacher', 'retired']",[58],"['$420,000', '$95,000', '$52,000', '$500,000,', '$18,400', '$67,000', '$23,000']"
overconcentration_single_stock,adversarial,Thomas,"['Thomas Brennan', 'Thomas', 'Rachel Simmons', 'Rachel', 'Thomas', 'Thomas', 'Rachel', 'Rachel', 'Thomas', 'Thomas', 'Thomas']",['engineer'],[45],"['$3.8', '$2.1', '$680,000', '$410,000', '$320,000', '$290,000', '$410,000', '$410,000', '$2.1', '$800,000', '$3.8', '$2.5']"
mutual_fund_switching_churning,adversarial,Margaret,"['Margaret Helms', 'Paul Denton', 'Margaret', 'Paul', 'Margaret', 'Paul', 'Margaret', 'Paul', 'Paul', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[58],"['$410,000', '$21,525', '$22,713.75', '$395,000', '$388,200,', '$21,800', '$445,000']"
private_placements_unsuitable,adversarial,Anand,"['Anand Krishnamurthy', 'Rebecca Stahl', 'Meridian II', 'Krishnamurthy', 'Krishnamurthy']",['manager'],[42],"['$780,000', '$2.4', '$4.1', '$360,000', '$360,000']"
illiquid_investments,adversarial,Margaret,"['Margaret Owens', 'David Kessler', 'Kessler', 'Margaret', 'Margaret', 'Margaret', 'Margaret', 'Kessler', 'Margaret']",['retired'],[62],"['$1.8', '$270,000', '$270,000']"
concentration_risk,adversarial,Samuel,"['Samuel Reeves', 'Janet Liu', 'Carlos Mendes', 'Reeves', 'Reeves', 'Janet Liu', 'Liu', 'Reeves', 'Reeves', 'Carlos Mendes', 'Reeves', 'Reeves', 'Reeves']",[],[48],"['$950,000', '$2.1', '$900,000', '$3', '$1.05', '$900,000', '$630,000', '$1.68', '$3', '$588,000']"
complex_products_unsophisticated_investor,adversarial,Margaret,"['Margaret Olsen', 'Craig Dempsey', 'Craig', 'Margaret', 'Craig', 'Margaret', 'COVID', 'Margaret', 'Margaret', 'Craig', 'Craig']",['retired'],[58],"['$145,000', '$24,000', '$28,000', '$72,500', '$64,200', '$19,800', '$25,000']"
tax_deferred_unnecessary_annuity,adversarial,Dennis,"['Dennis Whitaker', 'Sandra', 'Dennis', 'Paula Reeves', 'Dennis', 'Paula', 'Paula', 'Dennis', 'Sandra', 'Paula', 'Dennis', 'Sandra', 'Dennis', 'Dennis', 'Paula', 'Paula']","['engineer', 'mechanic', 'retired']","[71, 68]","['$1.2', '$350,000', '$480,000,', '$5,800', '$400,000', '$20,800', '$400,000', '$800,000', '$20,800', '$20,000', '$400,000']"
penny_stocks_unsuitable,adversarial,Derek,"['Derek Huang', 'Patricia Yung', 'Patricia', 'Patricia', 'Derek', 'Patricia', 'Derek', 'Patricia', 'Derek', 'Patricia', 'Patricia', 'Patricia', 'Patricia', 'Patricia', 'Patricia']","['schoolteacher', 'teacher', 'retired']",[58],"['$340,000', '$52,000', '$340,000,', '$0.38', '$11,400,', '$8', '$0.04', '$10,260']"
illiquid_real_estate_investment,adversarial,Melinda,"['Melinda Rojas', 'Stephen Okafor', 'Okafor', 'Melinda', 'Okafor', 'Melinda', 'Okafor', 'Okafor', 'Melinda', 'Okafor', 'Okafor', 'Melinda']",['manager'],[],"['$175,000', '$620,000', '$2.8', '$5.5', '$175,000', '$180,000', '$620,000', '$400,000,']"
overconcentration_single_stock,adversarial,Margaret,"['Margaret Holloway', 'Margaret', 'Margaret', 'David Park', 'David', 'Margaret', 'David', 'David', 'Margaret', 'David', 'Margaret', 'David', 'Margaret', 'Margaret', 'David']","['manager', 'retired']",[71],"['$1.2', '$1.4', '$2,800', '$2,200', '$50,000', '$785,000', '$1.2', '$580,000']"
inappropriate_risk_profile,adversarial,Thomas,"['Thomas Brennan', 'Lisa Carmichael', 'Thomas', 'Lisa', 'Thomas', 'Lisa', 'Thomas', 'Lisa', 'Lisa', 'Thomas', 'Thomas', 'Thomas', 'Lisa', 'Thomas']",['attorney'],[58],"['$210,000,', '$1.8', '$340,000', '$185,000']"
junk_bonds_conservative_investor,adversarial,Margaret,"['Margaret Ellison', 'David Chen', 'Chen', 'Ellison', 'Ellison', 'Chen', 'Ellison', 'Chen']","['schoolteacher', 'teacher', 'retired']","[72, 70]","['$42,000', '$310,000,', '$45,000', '$20,000']"
structured_products_unsuitable,adversarial,Robert,"['Robert Ansari', 'Janet Walsh', 'Ansari', 'Walsh', 'Walsh', 'Ansari', 'Walsh', 'Ansari', 'Walsh', 'Walsh', 'Ansari']",[],[58],"['$680,000', '$4.2', '$600,000', '$600,000']"
illiquid_investments,adversarial,Margaret,"['Margaret Chen', 'Brian Kowalski', 'Brian', 'Brian', 'Brian', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[72],"['$340,000', '$80,000', '$68,000', '$68,000']"
speculative_for_conservative_investor,adversarial,David,"['David Morales', 'Lisa Hartwell', 'David', 'Lisa', 'Lisa', 'Lisa', 'David', 'Lisa', 'David', 'David', 'Lisa', 'David', 'David', 'David', 'David']",['engineer'],[58],"['$195,000', '$1.2', '$120,000', '$37,200']"
high_fees_unsuitable,adversarial,Margaret,"['Margaret Hsu', 'David Cranston', 'Cranston', 'Margaret', 'Cranston', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retiree', 'retired']",[72],"['$340,000', '$2,100', '$310,000', '$17,825']"
illiquid_real_estate_investment,adversarial,James,"['James', 'Patricia Donovan', 'Patricia', 'Karen Webb', 'Patricia', 'Patricia', 'James', 'Tom Alvarez', 'James', 'Alvarez', 'Alvarez']",['manager'],[58],"['$1.8', '$245,000,', '$900,000', '$135,000', '$900,000', '$135,000', '$270,000', '$270,000']"
private_placements_unsuitable,adversarial,Derek,"['Derek Holcomb', 'Greenfield', 'Derek', 'Patricia Novak', 'Patricia', 'Patricia', 'Greenfield', 'Patricia']","['manager', 'retired']",[61],"['$100,000', '$52,000', '$24,000', '$410,000', '$290,000', '$120,000', '$285,000', '$100,000', '$4,800']"
inappropriate_risk_profile,adversarial,Megan,"['Megan Torres', 'Howard Yee', 'Megan', 'Howard', 'Howard', 'Howard', 'Howard', 'Megan', 'Megan', 'Howard', 'Howard', 'Megan', 'Howard', 'Howard']","['engineer', 'mechanic', 'military', 'retired']",[74],"['$1.8', '$38,000']"
market_timing_unsuitable,adversarial,Derek,"['Derek Sung', 'Patricia Nolan', 'Patricia', 'Derek', 'Derek', 'Patricia', 'Patricia', 'Patricia']",[],[58],"['$340,000', '$48,200']"
penny_stocks_unsuitable,adversarial,Marcus,"['Marcus Webb', 'Raymond Cho', 'Raymond', 'Raymond', 'Raymond', 'GVMC', 'Raymond', 'Raymond', 'Raymond', 'Raymond', 'Raymond', 'GVMC', 'Raymond']",['engineer'],[44],"['$195,000', '$1.2', '$680,000', '$45,000', '$0.0038', '$1.9', '$12,000', '$1,900', '$75']"
crypto_assets_unsuitable,adversarial,Marcus,"['Marcus Reilly', 'Denise Kovac', 'Monte Carlo', 'Reilly', 'Bitcoin']",[],[58],"['$82,000', '$410,000,', '$145,000', '$7,250', '$7,250', '$1,700,']"
excessive_churning,adversarial,Dorothy,"['Dorothy Sloane', 'Kevin Brandt', 'Brandt', 'Kevin']","['schoolteacher', 'teacher', 'retired']",[72],"['$320,000', '$2,400', '$1,850', '$37,120']"
reverse_churning,adversarial,Margaret,"['Margaret Ellison', 'Derek Huang', 'Margaret', 'Derek', 'Derek', 'Derek', 'COVID', 'Margaret', 'Derek', 'Margaret', 'Derek', 'Margaret', 'Derek']","['schoolteacher', 'teacher', 'retired']",[72],"['$340,000', '$4,250', '$4,250', '$4,437', '$4,180', '$12,867', '$49.90']"
reverse_churning,adversarial,Thomas,"['Thomas', 'Linda Beckett', 'Thomas', 'Linda', 'Thomas', 'Rachel Kim', 'Linda', 'Grant Nolan', 'Rachel', 'Thomas', 'Thomas', 'Roth', 'Thomas', 'Linda', 'Linda', 'Linda', 'Linda', 'Linda', 'Thomas', 'Linda']",[],[58],"['$620,000', '$195,000', '$620,000', '$6,200', '$6,200', '$195,000', '$1,950', '$2,925']"
speculative_for_conservative_investor,adversarial,Margaret,"['Margaret Ellison', 'David Kowalski', 'Kowalski', 'Margaret', 'Margaret', 'Margaret', 'Kowalski', 'Patricia Hernandez', 'Kowalski']","['schoolteacher', 'teacher', 'manager', 'retired']",[72],"['$340,000', '$38,000', '$340,000,', '$85,000', '$51,000,', '$34,000']"
overconcentration_single_stock,adversarial,James,"['James Caldwell', 'Alicia Vang', 'James', 'Alicia', 'Alicia', 'James', 'James', 'Alicia', 'James', 'Alicia']",['manager'],[55],"['$2.8', '$95,000', '$3.1', '$2.8', '$420,000', '$1.54']"
junk_bonds_conservative_investor,adversarial,Margaret,"['Margaret Holloway', 'Daniel Oates', 'B+', 'Daniel', 'Holloway', 'Holloway', 'Daniel', 'Holloway']","['schoolteacher', 'teacher', 'retired']",[72],"['$450,000', '$38,000', '$510,000,', '$67,500', '$5,906', '$39,800']"
overconcentration_single_stock,adversarial,Kevin,"['Kevin Wu', 'Patricia Engel', 'Kevin', 'Kevin', 'Kevin', 'Patricia', 'Kevin', 'Patricia', 'Kevin', 'Patricia', 'Kevin', 'Kevin', 'Kevin']",['engineer'],[44],"['$285,000', '$2.1', '$840,000', '$420,000', '$1.26', '$655,000']"
illiquid_real_estate_investment,adversarial,Margaret,"['Margaret Chen', 'David Park', 'David', 'Margaret', 'Margaret', 'Margaret', 'Rachel Torres', 'Margaret', 'Rachel', 'Rachel', 'Margaret', 'Rachel', 'Rachel', 'Margaret', 'Rachel', 'Margaret', 'Rachel', 'Margaret', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[62],"['$1.2', '$180,000', '$1.2', '$48,000', '$180,000', '$50,000']"
tax_deferred_unnecessary_annuity,adversarial,Robert,"['Robert Galloway', 'Karen Whitfield', 'Robert', 'Robert', 'Karen', 'Karen', 'Robert', 'Karen', 'Karen', 'Robert', 'Robert', 'Karen', 'Robert', 'Robert']",['manager'],"[58, 65]","['$135,000', '$410,000', '$300,000', '$110,000']"
senior_investor_exploitation,adversarial,Margaret,"['Margaret Holloway', 'David Chen', 'Margaret', 'David Chen', 'Margaret', 'Lisa Pruitt', 'Lisa', 'Margaret', 'Lisa', 'David', 'Margaret', 'Tyler Holloway', 'Lisa', 'Margaret', 'Tyler', 'Margaret', 'Lisa', 'Lisa', 'Margaret', 'Lisa', 'Tyler', 'Margaret', 'Grandma', 'Lisa', 'Margaret', 'Lisa', 'Margaret', 'Lisa', 'Margaret', 'Margaret', 'Karen', 'Margaret', 'Lisa']","['attorney', 'retired']","[79, 38]","['$1.4', '$42,000', '$1.5', '$1.4', '$780,000']"
penny_stocks_unsuitable,adversarial,Robert,"['Robert Tran', 'Jennifer Wade', 'Robert', 'Robert', 'Robert', 'Jennifer', 'Robert', 'Jennifer', 'Jennifer', 'Jennifer', 'Robert', 'Robert', 'Jennifer', 'Robert', 'Jennifer', 'Robert', 'Robert', 'Jennifer', 'Robert', 'Robert']",['engineer'],[44],"['$185,000', '$620,000,', '$430,000', '$210,000', '$90,000', '$0.38', '$8.2', '$120,000', '$0.38', '$90,000', '$0.02', '$4,737']"
bond_duration_mismatch,adversarial,Margaret,"['Margaret Holloway', 'Derek Simmons', 'Margaret', 'Derek', 'Derek', 'Derek', 'Margaret', 'Derek', 'Margaret', 'Margaret', 'Margaret', 'Margaret', 'Derek', 'Margaret', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[71],"['$620,000', '$1,400', '$3,000', '$527,000', '$93,000', '$16,337', '$1,361', '$1,200', '$100', '$1,461', '$3,000', '$18,468', '$1,539', '$548,000']"
leveraged_etf_unsuitable,adversarial,Kevin,"['Kevin Tran', 'Kevin', 'Kevin', 'Kevin', 'Lisa Park', 'Kevin', 'Lisa', 'Lisa', 'Kevin', 'Kevin', 'Kevin', 'Lisa', 'Lisa', 'Kevin', 'Kevin', 'Lisa', 'Kevin', 'Kevin', 'Kevin', 'Lisa']","['engineer', 'mechanic']",[34],"['$185,000', '$950,000', '$120,000', '$8,200']"
structured_products_unsuitable,adversarial,Derek,"['Derek Huang', 'Miriam Castellano', 'Monte Carlo', 'Miriam', 'Miriam', 'Derek', 'Miriam', 'Derek', 'Miriam', 'Miriam', 'Miriam', 'Derek']","['mechanic', 'retired']",[58],"['$1.2', '$180,000', '$150,000,', '$200,000']"
concentration_risk,adversarial,Gerald,"['Gerald', 'Patricia Woodson', 'Gerald', 'Carla Resnick', 'Patricia', 'James Montague', 'James Montague', 'Patricia', 'James', 'Patricia', 'Patricia', 'Patricia', 'Gerald', 'Carla', 'James']",['retiree'],[],"['$2.4', '$1.4', '$560,000', '$490,000', '$210,000', '$140,000', '$1.0', '$350,000', '$250,000', '$300,000', '$100,000', '$100,000', '$1.01', '$1.11', '$2.4']"
high_fees_unsuitable,adversarial,Margaret,"['Margaret Dawson', 'Kevin Okafor', 'Kevin', 'Margaret', 'Kevin', 'Margaret', 'Kevin', 'Margaret', 'Kevin', 'Margaret', 'Kevin', 'Margaret', 'Kevin']","['schoolteacher', 'teacher', 'retired']",[72],"['$340,000', '$1,200', '$1,400', '$5,950', '$1,500', '$14,875', '$250', '$75', '$825']"
reverse_churning,adversarial,Samuel,"['Samuel Pratt', 'Rachel Stein', 'Pratt', 'Rachel', 'Rachel', 'Pratt', 'Pratt', 'Rachel', 'Rachel', 'Rachel']",['accountant'],[55],"['$620,000', '$1.2', '$15,000', '$24,840', '$480,000', '$4,700']"
inappropriate_risk_profile,adversarial,Margaret,"['Margaret Thornton', 'David Kessler', 'Margaret', 'Margaret', 'Margaret', 'Kessler', 'Kessler', 'Margaret', 'Margaret', 'Kessler', 'Margaret', 'Kessler']","['schoolteacher', 'teacher', 'entrepreneur', 'retired']",[72],"['$42,000', '$310,000,', '$1.2', '$400,000']"
private_placements_unsuitable,adversarial,Evan,"['Evan Stratford', 'Stratford', 'Stratford', 'Patricia Volkov', 'Volkov', 'Stratford', 'Patricia', 'Stratford', 'Patricia']",[],[58],"['$25', '$100,000,', '$78,000', '$490,000,', '$620,000', '$100,000']"
inappropriate_risk_profile,adversarial,Margaret,"['Margaret Holloway', 'Thomas Crane', 'Margaret', 'Thomas', 'Thomas', 'Margaret', 'Thomas', 'Thomas']","['schoolteacher', 'teacher', 'retired']",[62],"['$420,000', '$310,000', '$310,000', '$47,000']"
overconcentration_single_stock,adversarial,David,"['David Castillo', 'David', 'David', 'Rachel Fontaine', 'Rachel', 'David', 'Rachel', 'David', 'David', 'Rachel', 'David', 'David', 'Rachel']",['engineer'],[45],"['$38', '$285,000', '$200,000', '$1.8', '$1.1', '$650,000', '$450,000', '$4.2', '$600,000', '$430,000', '$220,000', '$3.05', '$1.1', '$616,000,']"
illiquid_investments,adversarial,Margaret,"['Margaret Thornton', 'David Kowalski', 'Kowalski', 'Margaret', 'Kowalski', 'Margaret', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[62],"['$420,000', '$1,800', '$84,000']"
concentration_risk,adversarial,Carlos,"['Carlos Reyes', 'Stephanie Park', 'Carlos', 'Carlos', 'Carlos', 'Carlos', 'Stephanie', 'Carlos', 'Stephanie', 'Stephanie']",['engineer'],[45],"['$310,000', '$1.1', '$2.8', '$770,000', '$1.1', '$2.8', '$3.57', '$3.9']"
excessive_load_funds,adversarial,Margaret,"['Margaret Holloway', 'Daniel Prescott', 'Daniel', 'Morningstar', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[62],"['$340,000', '$85,000', '$85,000', '$85,000', '$85,000', '$17,646', '$100,000', '$250,000', '$322,354']"
overconcentration_single_stock,adversarial,Victor,"['Victor Langston', 'Victor', 'Rachel Sung', 'Victor', 'Victor', 'Rachel', 'Rachel', 'Victor', 'Rachel', 'Rachel', 'Rachel']",['engineer'],[45],"['$3.8', '$2.1', '$900,000', '$500,000', '$300,000', '$475,000,', '$500,000', '$2.1', '$500,000', '$2.48']"
complex_products_unsophisticated_investor,adversarial,Margaret,"['Margaret Kowalski', 'Derek Huang', 'Derek', 'Margaret', 'Margaret', 'Derek', 'Margaret']",['manager'],[58],"['$42,000', '$190,000', '$95,000']"
penny_stocks_unsuitable,adversarial,Vincent,"['Vincent DeLuca', 'Vincent', 'Vincent', 'Alicia Montoya', 'Vincent', 'Alicia', 'Alicia', 'Vincent', 'Vincent', 'Vincent', 'Alicia']",['engineer'],[34],"['$175,000', '$1.2', '$0.03', '$6,000', '$0.005']"
penny_stocks_unsuitable,adversarial,Marcus,"['Marcus Devlin', 'Brenda Kowalski', 'Brenda', 'Brenda', 'Brenda', 'Brenda', 'Brenda']",['retired'],[58],"['$340,000', '$90,000', '$62,000', '$430,000,', '$0.50', '$47,000', '$8,200']"
private_placements_unsuitable,adversarial,Yolanda,"['Yolanda Reeves', 'Craig Tompkins', 'Natalie Sung', 'Craig', 'Reeves', 'Craig', 'Reeves', 'Craig', 'Natalie', 'Reeves', 'Reeves', 'Craig', 'Reeves', 'Natalie', 'Craig', 'Reeves']",[],[44],"['$780,000', '$4.2', '$1.8', '$600,000', '$200,000', '$100,000,', '$400,000', '$600,000,', '$600,000']"
penny_stocks_unsuitable,adversarial,Gerald,"['Gerald Whitfield', 'Gerald', 'Rick Santana', 'Gerald', 'Rick', 'Gerald', 'Rick', 'Rick', 'Gerald', 'Gerald', 'Rick', 'Rick', 'Gerald', 'Gerald', 'Gerald', 'Gerald']",[],[58],"['$4.2', '$200,000', '$0.38', '$6.1', '$1.2', '$0.38', '$152,000', '$0.02', '$152,000']"
unsuitable_income_investor,adversarial,Dorothy,"['Dorothy Kessler', 'Dorothy', 'Natalie Chen', 'Natalie', 'Dorothy', 'Dorothy', 'Natalie', 'Dorothy', 'Natalie', 'Natalie', 'Dorothy', 'Dorothy', 'Dorothy', 'Natalie']","['schoolteacher', 'teacher', 'retired']",[72],"['$680,000', '$2,400', '$4,100', '$22,000', '$510,000', '$170,000', '$26,000', '$22,000', '$6,120', '$6,120']"
annuity_unnecessary_switching,adversarial,Margaret,"['Margaret Hollis', 'Derek Paulson', 'Derek', 'Margaret', 'Derek to Keystone', 'COVID', 'Derek', 'Margaret', 'Margaret', 'Derek', 'Derek', 'Margaret', 'Margaret', 'Derek']",['retired'],"[62, 70, 70]","['$480,000', '$510,000', '$30,600', '$1,800', '$95,000', '$14,200']"
inappropriate_risk_profile,adversarial,Cynthia,"['Cynthia Webb', 'Cynthia', 'Raj', 'Cynthia', 'Cynthia', 'Cynthia', 'Raj']",['engineer'],[44],"['$285,000', '$1.9', '$720,000', '$380,000', '$266,000', '$720,000', '$1.1']"
excessive_load_funds,adversarial,Margaret,"['Margaret Olsen', 'Derek Huang', 'Margaret', 'Derek', 'Margaret', 'Derek']","['schoolteacher', 'teacher', 'manager', 'retired']",[71],"['$340,000', '$1,800', '$340,000', '$85,000', '$100,000', '$18,360', '$170,000', '$6,460', '$340,000', '$9,860', '$14,688']"
leveraged_etf_unsuitable,adversarial,Carlos,"['Carlos Medina', 'Carlos', 'Carlos', 'Rachel Fong', 'Carlos', 'Rachel', 'Carlos', 'Carlos', 'Carlos', 'Carlos']",['engineer'],[44],"['$195,000', '$1.2', '$500,000', '$400,000', '$300,000', '$75,000', '$51,000']"
speculative_for_conservative_investor,adversarial,Margaret,"['Margaret Dalton', 'Brian Huxley', 'Brian', 'Brian', 'Margaret', 'Brian']","['schoolteacher', 'teacher']",[52],"['$68,000,', '$190,000,', '$45,000', '$15,000', '$15,000', '$15,000', '$25,000', '$40,000,', '$2,400', '$3,800', '$1,400']"
senior_investor_exploitation,adversarial,Harold,"['Harold Pemberton', 'Harold', 'Harold', 'Patricia Voss', 'Derek Kim', 'Derek', 'Harold', 'Patricia', 'Harold', 'Ellen', 'Ellen', 'Derek', 'Harold', 'Derek', 'Harold']","['engineer', 'attorney', 'retired']","[79, 79]","['$1.2', '$200,000']"
speculative_for_conservative_investor,adversarial,Margaret,"['Margaret Tully', 'Daniel Kowalski', 'Kowalski', 'Margaret', 'Margaret', 'Kowalski', 'Kowalski', 'Kowalski', 'Lisa Fontaine', 'Robert Hess', 'Margaret', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'manager', 'retired']",[72],"['$38,000', '$310,000,', '$95,000', '$25,000,', '$95,000', '$45,600']"
overconcentration_single_stock,adversarial,Victor,"['Victor Sandoval', 'Victor', 'Priya Anand', 'Victor', 'Victor', 'Victor', 'Victor', 'Victor']",['engineer'],[48],"['$14', '$285,000', '$2.8', '$1.95', '$850,000', '$1.95', '$760,000,', '$2.8', '$1.6']"
reverse_churning,adversarial,Margaret,"['Margaret Okafor', 'Daniel Voss', 'Margaret', 'Voss', 'Voss', 'COVID', 'Margaret', 'Margaret', 'Margaret', 'Margaret', 'Voss']","['schoolteacher', 'teacher', 'retired']",[72],"['$410,000', '$5,125', '$287', '$1,200', '$0', '$12,812.50']"
market_timing_unsuitable,adversarial,Trevor,"['Trevor Langford', 'Trevor', 'Priya Deshmukh', 'Priya', 'Priya', 'Trevor', 'Trevor', 'Trevor']",['engineer'],[45],"['$285,000', '$1.8', '$1.4', '$87,000', '$168,000', '$87,000']"
alternative_investments_unsuitable,adversarial,Derek,"['Derek Hollis', 'Margaret Yuen', 'Margaret', 'Margaret', 'Margaret', 'Margaret']",['retired'],[71],"['$1.4', '$4,200', '$1.4', '$62,000', '$280,000']"
bond_duration_mismatch,adversarial,Sandra,"['Sandra Petrova', 'William Harding', 'William', 'William', 'Sandra', 'Sandra', 'William', 'William', 'William']",['retired'],"[64, 66]","['$600,000', '$1.1', '$3,500', '$40,000', '$100,000', '$350,000', '$350,000', '$6,825', '$234,500', '$115,500']"
leveraged_etf_unsuitable,adversarial,Margaret,"['Margaret Huang', 'Derek Simmons', 'Margaret', 'Margaret', 'Margaret', 'Margaret', 'Margaret']","['schoolteacher', 'teacher', 'retired']",[58],"['$420,000', '$52,000', '$380,000', '$63,000']"
