case_id,qid,tier,arm,date_filed,jurisdiction,court_level,model,model_cutoff,exact_match,prefix_tokens,prefix_frac,longest_run,longest_run_frac,rouge_l,token_f1,char_ratio,heading_recall,heading_extras,heading_score,gold_headings,pred_headings,refusal,needs_manual,manual_score,gold_tokens,pred_tokens,unknown,nonanswer,errored,prediction,gold
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q22,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0476,0.0488,0.0488,0.247,,,,,,0,0,,21,20,0,attempt,0,"We decline to consider this belated theory, which was not pleaded or briefed below and is not properly before us","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q23,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0476,0.0976,0.0976,0.252,,,,,,0,0,,21,20,0,attempt,0,"We decline to consider arguments raised for the first time below. In any event, the complaint pleads no such facts.","As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_city_of_pontiac_v._ubs_ag,Q24,D,pre_cutoff,2014-05-06,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0476,0.1905,0.2381,0.4269,,,,,,0,0,,21,21,0,attempt,0,Plaintiffs do not allege that WMI provided any services to U.S. clients or that the statement was false when made.,"As an initial matter, plaintiffs Second, plaintiffs argue that defendants’ failure to disclose the tax scheme violated Regulation S‐K, Item"
cl_2014_ca2_sec_v._contorinis,Q07,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,4,0.1176,4,0.1176,0.2105,0.2105,0.2286,,,,,,0,0,,34,4,0,attempt,0,motion for summary judgment.,"motion for summary judgment and, among other forms of relief, ordered defendant to disgorge all profits made by the insider trades, including those profits that accrued to the fund rather than to defendant personally."
cl_2014_ca2_sec_v._contorinis,Q08,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,3,0.1667,3,0.1667,0.2857,0.2857,0.2837,,,,,,0,0,,18,3,0,attempt,0,between the parties.,"between the parties, including Contorinis’s contention that he should not be required to pay prejudgment interest at all."
cl_2014_ca2_sec_v._contorinis,Q09,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.3293,,,,,,0,0,,10,15,0,attempt,0,held that a tipper can be required to disgorge the profits realized by his tippee.,deemed specific tracing unnecessary in ordering disgorgement for securities fraud.
cl_2014_ca2_sec_v._contorinis,Q10,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.0323,1,0.0323,0.0952,0.0952,0.3681,,,,,,0,0,,31,11,0,attempt,0,"liability among defendants, including ordering joint and several liability where appropriate.","liability for insider trading to those responsible for the illegal acts, including to those with investment power over third‐party accounts used to make illegal investments as well as to tippers."
cl_2014_ca2_sec_v._contorinis,Q11,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.0333,1,0.0333,0.2308,0.2692,0.4355,,,,,,0,0,,30,22,0,attempt,0,"reputation as a portfolio manager, limiting disgorgement to his personal compensation would permit him to retain unquantifiable benefits from his unlawful trading.","reputation or the psychic pleasures of enriching a family member, to require precise articulation of such rewards in calculating disgorgement amounts would allow the wrongdoer to benefit from such uncertainty."
cl_2014_ca2_sec_v._contorinis,Q12,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0263,0.0465,0.093,0.1439,,,,,,0,0,,38,5,0,attempt,0,enrichment to pay for it.,"gain by fraudulently trading on material nonpublic information, and allocated that gain, for reasons of his own, to beneficiaries that he chose, to return that gain to the public by disgorging the illegal benefits he obtained and directed."
cl_2014_ca2_sec_v._contorinis,Q14,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,3,0.05,3,0.05,0.2712,0.322,0.4184,,,,,,0,0,,60,58,0,attempt,0,"he enhanced his professional reputation, increased assets under management, and thereby increased his compensation and career prospects. Those concrete, pecuniary benefits flowed directly from his violation and justify requiring him to disgorge the entirety of the ill-gotten gains generated by his unlawful trading, even though the profits themselves accrued to his clients rather than to him personally.","he enhanced his reputation and increased the likelihood of his receiving future benefits as a fund manager. In this way, Contorinis’s case is even closer than a tipper’s to the bedrock disgorgement case of the insider who executes illegal trades using his own money, and donates the profit to a third party. There is no injustice, therefore, in making him"
cl_2014_ca2_sec_v._contorinis,Q16,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.0417,3,0.125,0.4571,0.4571,0.5662,0.8,2,0.7211,5,6,0,0,,24,11,0,attempt,0,"BACKGROUND
DISCUSSION
I. Disgorgement
II. Prejudgment Interest
III. Civil Penalty
CONCLUSION",BACKGROUND | I. Disgorgement of Profit Accruing to the Paragon Fund | II. Payment of Prejudgment Interest | III. Injunction against Future Violation of Securities Laws | CONCLUSION
cl_2014_ca2_sec_v._contorinis,Q17,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,4,0.0952,0.2769,0.2769,0.4219,,,,,,0,1,,42,23,0,attempt,0,"At all relevant times, Joseph Contorinis was a managing director at Jefferies & Company, Inc., and co-managed the Jefferies Paragon Fund, L.P.","Defendant‐appellant Joseph Contorinis, a Managing Director at Jeffries & Company, Inc. (“Jeffries”), executed several illegal insider trades involving the stock of the supermarket chain Albertson’s, Inc. (“Albertson’s”), using material nonpublic information received from Nicos Stephanou, an employee of UBS Investment Bank (“UBS”)."
cl_2014_ca2_sec_v._contorinis,Q19,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.0256,3,0.0769,0.1714,0.2857,0.208,,,,,,0,0,,39,31,0,attempt,0,"Circuit has held that a tipper may be required to disgorge the profits realized by his tippees. See SEC v. Blackwell, 477 F. Supp. 2d 891, 915 (S.D. Ohio 2007).","Circuit concluded that “[w]hen addressing the amount of money [from fraudulent securities transactions] that a defendant must disgorge, the Sixth Circuit has held, by implication, that the entire amount of profits which were illicitly received must be disgorged.”"
cl_2014_ca2_sec_v._contorinis,Q20,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,3,0.25,3,0.25,0.32,0.4,0.4286,,,,,,0,0,,12,13,0,attempt,0,the profits of his illegal trading to those on whose behalf he traded.,the profits of the fraud where he has chosen them to go.
cl_2014_ca2_sec_v._contorinis,Q21,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.0488,0.0488,0.2206,,,,,,0,0,,20,21,0,attempt,0,"This misunderstands disgorgement, which aims to deprive wrongdoers of ill-gotten gains and to deter future violations of the securities laws.","While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca2_sec_v._contorinis,Q22,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.05,0.1,0.3498,,,,,,0,0,,20,20,0,attempt,0,"The Commission has, indeed, done so here, obtaining a judgment against him on its claims and securing appropriate equitable remedies","While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca2_sec_v._contorinis,Q23,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.1,0.2,0.2415,,,,,,0,0,,20,20,0,attempt,0,"We see no basis to disturb that decision, which comports with precedent and equitable principles governing disgorgement in SEC actions","While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca2_sec_v._contorinis,Q24,D,pre_cutoff,2014-02-18,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.1,0.2,0.2791,,,,,,0,0,,20,20,0,attempt,0,We see no error in that choice. The district court acted within its discretion in ordering disgorgement in these circumstances.,"While many factors may be relevant to deciding what remedies are appropriate in particular circumstances, we note that one argument"
cl_2014_ca9_john_loos_v._immersion_corporation,Q07,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,5,0.3846,0.3889,0.3889,0.5607,,,,,,0,0,,13,23,0,attempt,0,"plead that the market learned of the alleged fraud through a corrective disclosure, as opposed to the mere announcement of an internal investigation.",correlate his losses to anything other than the announcement of an internal investigation.
cl_2014_ca9_john_loos_v._immersion_corporation,Q08,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0833,0.0952,0.0952,0.3571,,,,,,0,0,,12,9,0,attempt,0,the restatement with any decline in Immersion’s stock price.,his losses to anything other than the announcement of an internal investigation.
cl_2014_ca9_john_loos_v._immersion_corporation,Q09,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0303,0.0455,0.0455,0.1433,,,,,,0,0,,33,11,0,attempt,0,and that it might be required to restate its financial statements.,in its Medical Division: [T]he Audit Committee of the Board of Directors of Immersion Corporation (“Immersion”) is conducting an internal investigation into certain previous revenue transactions in its Medical line of business.
cl_2014_ca9_john_loos_v._immersion_corporation,Q11,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,2,0.2857,0.625,0.625,0.6186,,,,,,0,0,,7,9,0,attempt,0,stock price) to any disclosure of the alleged fraud.,share price) to the alleged accounting fraud.
cl_2014_ca9_john_loos_v._immersion_corporation,Q12,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0833,0.1081,0.1622,0.3556,,,,,,0,0,,12,25,0,attempt,0,"at most put investors on notice of a potential problem; it does not, standing alone, reveal to the market the falsity of the prior statements.",potentially be relevant to a securities fraud plaintiff’s theory of loss causation.
cl_2014_ca9_john_loos_v._immersion_corporation,Q14,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,3,0.0484,0.1515,0.2424,0.1348,,,,,,0,0,,62,70,0,attempt,0,"helpful because it did not squarely address whether the announcement of an investigation, standing alone, could constitute a corrective disclosure. We now answer that question directly and hold that such an announcement, without more, does not suffice. Rather, a corrective disclosure must, by itself, reveal to the market the falsity of the prior statements. The mere initiation of an investigation cannot, without more, support a reasonable inference of loss causation.","instructive here. In that case, the plaintiff’s theory of loss causation relied, in part, on a newspaper article which disclosed that the defendant, a nationwide for-profit college, had been investigated and sanctioned by the Department of Education for facilitating financial aid fraud. Although only one of the defendant’s eighty-eight campuses had been investigated, the plaintiff argued that the resulting sanctions"
cl_2014_ca9_john_loos_v._immersion_corporation,Q16,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0164,0.1538,0.2418,0.2632,0.0,9,0.0,8,9,0,0,,61,30,0,attempt,0,"I. BACKGROUND
II. JURISDICTION AND STANDARD OF REVIEW
III. DISCUSSION
A. LOSS CAUSATION
B. ANNOUNCEMENTS OF INTERNAL INVESTIGATIONS
C. OUR PRECEDENTS
D. REMAINING ALLEGATIONS
IV. LEAVE TO AMEND
V. CONCLUSION","COUNSEL | OPINION | I. Immersion Corporation (“Immersion”) is a publicly- | II. From the time it went public in 1999 until the fourth | III. We have jurisdiction over this appeal pursuant to | IV. Section 10(b) of the Securities Exchange Act of 1934 | A. The district court concluded that the allegations regarding | B. With regard to the July 1, 2009 announcement, the district"
cl_2014_ca9_john_loos_v._immersion_corporation,Q17,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0769,0.0769,0.0769,0.2171,,,,,,0,1,,13,13,0,attempt,0,Immersion Corporation is a publicly traded company that develops and licenses haptic technology.,"Weiss (argued), Brower Piven, New York, New York; and Sanford Svetcov, Susan K."
cl_2014_ca9_john_loos_v._immersion_corporation,Q19,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0357,0.0606,0.1212,0.2261,,,,,,0,0,,28,5,0,attempt,0,engaged in premature revenue recognition,recognized medical sales revenue earlier than permitted under GAAP in order to mislead investors into believing that the company was on the cusp of finally achieving sustained profitability.
cl_2014_ca9_john_loos_v._immersion_corporation,Q20,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,1,8,1.0,8,1.0,1.0,1.0,1.0,,,,,,0,0,,8,8,0,attempt,0,revenue transactions in its Medical line of business.,revenue transactions in its Medical line of business.
cl_2014_ca9_john_loos_v._immersion_corporation,Q21,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.05,0.05,0.3211,,,,,,0,0,,20,20,0,attempt,0,Loos alleges that these statements were materially false because Immersion recognized revenue in violation of GAAP and misrepresented internal controls.,"As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
cl_2014_ca9_john_loos_v._immersion_corporation,Q22,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.05,1,0.05,0.05,0.05,0.338,,,,,,0,0,,20,20,0,attempt,0,"As it turned out, however, these representations were false, as Immersion had been improperly recognizing revenue in its Medical business","As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
cl_2014_ca9_john_loos_v._immersion_corporation,Q23,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,4,0.2,0.6,0.6,0.7279,,,,,,0,0,,20,20,0,attempt,0,"Loos alleges that, as a result of these practices, Immersion's stock traded at artificially inflated prices throughout the Class Period.","As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
cl_2014_ca9_john_loos_v._immersion_corporation,Q24,D,pre_cutoff,2014-09-11,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.05,0.05,0.2837,,,,,,0,0,,20,20,0,attempt,0,"On October 29, 2009, Immersion announced an internal investigation into certain previous revenue transactions in its Medical line of business.","As a result of this practice, Plaintiff contends, Immersion’s stock price remained artificially “inflated” throughout the class period. With regard"
cl_2015_ca5_state_of_texas_v._usa,Q03,A,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,3,0.6,3,0.6,0.381,0.381,0.3333,,,,,,0,0,,5,16,0,attempt,0,"State of Texas, et al., Plaintiffs–Appellees, v. United States of America, et al., Defendants–Appellants.",state of texas v. usa
cl_2015_ca5_state_of_texas_v._usa,Q07,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,6,0.4,6,0.4,0.5,0.5,0.539,,,,,,0,0,,15,9,0,attempt,0,by the Supreme Court in its major immigration decisions.,by the Supreme Court in its latest pronouncement pertaining to this area of the law.”
cl_2015_ca5_state_of_texas_v._usa,Q08,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0455,0.1053,0.1053,0.3966,,,,,,0,0,,22,16,0,attempt,0,injuries not the result of “the independent action of some third party not before the court.”,finances dependent on those of third parties—either resident taxpayers or coal companies—which in turn were affected by other states’ laws.
cl_2015_ca5_state_of_texas_v._usa,Q09,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0417,0.2449,0.3673,0.4275,,,,,,0,0,,24,25,0,attempt,0,and did not satisfy the threshold criteria; nor does it maintain a record of the number of denials based solely on an exercise of discretion.,not meet the criteria and denials of those who met the criteria but were refused deferred action as a result of a discretionary choice.
cl_2015_ca5_state_of_texas_v._usa,Q10,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0227,0.0615,0.0615,0.1867,,,,,,0,0,,44,21,0,attempt,0,"at a young age, DACA effectively implemented a program—known as the DREAM Act—that Congress had repeatedly declined to enact.","unlawfully, and to the parents of U.S. citizens and lawful permanent residents (who otherwise have clean records), DHS has sought to “encourage [those individuals] to come out of the shadows, submit to background checks, pay fees, apply for work authorization . . . and be counted.”"
cl_2015_ca5_state_of_texas_v._usa,Q11,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.0556,2,0.1111,0.1395,0.186,0.1812,,,,,,0,0,,18,25,0,attempt,0,"from DAPA is mistaken; any such benefits arise, if at all, from independent statutes and additional qualifications, not from the grant of deferred action alone.",from the DAPA Memorandum—despite the fact that they stem from separate legal authorities—sets a dangerous precedent.
cl_2015_ca5_state_of_texas_v._usa,Q12,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,3,0.0938,3,0.0938,0.2424,0.3333,0.3628,,,,,,0,0,,32,34,0,attempt,0,"the process of hiring approximately 1,000 employees and contractors and leasing office space in Crystal City, Arlington, Virginia, to house a new service center to process applications under the DACA expansion and DAPA.","the process of determining the procedures for reviewing requests under DAPA, and thus USCIS has not yet determined whether the process to adjudicate DAPA requests will be similar to the DACA process.”"
cl_2015_ca5_state_of_texas_v._usa,Q14,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.0204,0.1368,0.188,0.204,,,,,,0,0,,49,68,0,attempt,0,"procedures for renewal, belies the United States’ contention that DAPA is materially different from DACA; the two programs are, in all relevant respects, the same. That congruence undermines the claim that DAPA is merely a general policy statement and supports the district court’s finding that it is a substantive rule that must undergo notice-and-comment rulemaking and that Texas will suffer cognizable costs traceable to the program.","orders DHS to establish, for DAPA, processes similar to those for DACA: In order to align the DACA program more closely with the other deferred action authorization outlined below, . . . I hereby direct USCIS to establish a process, similar to DACA . . . . There will be no fee waivers, and like DACA . . . ."
cl_2015_ca5_state_of_texas_v._usa,Q16,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,2,0.0833,0.1923,0.2308,0.3444,0.2,8,0.0,5,9,0,0,,24,28,0,attempt,0,"Facts and Proceedings
Standard of Review
Standing
Reviewability
Likelihood of Success on the Merits
Irreparable Injury
Balance of Equities and the Public Interest
Scope of the Injunction
Conclusion",III. | VII. | VIII. | I. The DAPA Memorandum | II. Standing | III. Justiciability | IV. APA Procedural Claim | A. The Language and Substance of the DAPA Memorandum
cl_2015_ca5_state_of_texas_v._usa,Q17,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.1,0.1481,0.1481,0.2447,,,,,,0,1,,10,17,0,attempt,0,"In 2012, the Department of Homeland Security (“DHS”) announced the Deferred Action for Childhood Arrivals (“DACA”) program.",The government claims the states lack standing to challenge DAPA.
cl_2015_ca5_state_of_texas_v._usa,Q19,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,2,0.0909,2,0.0909,0.1667,0.1667,0.4123,,,,,,0,0,,22,14,0,attempt,0,standing would allow states to challenge virtually any federal action that imposes incidental costs.,standing would inject the courts into far more federal–state disputes and review of the political branches than is now the case.
cl_2015_ca5_state_of_texas_v._usa,Q21,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.1,0.15,0.1498,,,,,,0,0,,20,20,0,attempt,0,"and with a view to their place in the overall statutory scheme. See Brown & Williamson, 529 U.S. at 133.","In this case, the two canons upon which we rely [expressio unius and avoidance of surplusage] inarguably compel our holding"
cl_2015_ca5_state_of_texas_v._usa,Q22,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.05,0.05,0.1857,,,,,,0,0,,20,20,0,attempt,0,"FDA v. Brown & Williamson Tobacco Corp., 529 U.S. 120, 133 (2000). So too here. The INA forecloses DHS’s position.","In this case, the two canons upon which we rely [expressio unius and avoidance of surplusage] inarguably compel our holding"
cl_2015_ca5_state_of_texas_v._usa,Q23,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.05,0.15,0.15,0.3203,,,,,,0,0,,20,20,0,attempt,0,"Marx, 133 S. Ct. at 1175. This is not such a case. Here, Congress has carefully delineated classes of aliens","In this case, the two canons upon which we rely [expressio unius and avoidance of surplusage] inarguably compel our holding"
cl_2015_ca5_state_of_texas_v._usa,Q24,D,pre_cutoff,2015-11-25,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,0,0.0,0.0,0.0,0.2105,,,,,,0,0,,20,22,0,attempt,0,"See, e.g., Barnhart v. Peabody Coal Co., 537 U.S. 149, 168 (2003). Nor is Chevron a license to ignore it.","In this case, the two canons upon which we rely [expressio unius and avoidance of surplusage] inarguably compel our holding"
cl_2015_ca9_northstar_financial_advisors_v._sch,Q04,A,pre_cutoff,2015-04-28,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,1,0.3333,0.3333,0.3333,0.3478,,,,,,0,0,,3,3,0,attempt,0,"March 9, 2015",2015-04-28
cl_2015_ca9_northstar_financial_advisors_v._sch,Q07,D,pre_cutoff,2015-04-28,federal,circuit,openai/gpt-5,2024-09-30,0,2,0.0667,4,0.1333,0.3,0.3667,0.4282,,,,,,0,0,,30,30,0,attempt,0,duties by deviating from the Fund’s fundamental investment policies and objectives set forth in its registration statements after those policies had been approved by a vote of the Fund’s shareholders.,duties by failing to ensure that the Fund was managed in accordance with the fundamental investment objectives and by changing the Fund’s fundamental investment objectives without obtaining required shareholder authorization.
cl_2015_ca9_northstar_financial_advisors_v._sch,Q09,D,pre_cutoff,2015-04-28,federal,circuit,openai/gpt-5,2024-09-30,0,1,0.1,1,0.1,0.2857,0.2857,0.4771,,,,,,0,0,,10,11,0,attempt,0,it is not distributed to investors as a matter of course.,it does not need to be mailed to them automatically.
cl_2015_ca9_northstar_financial_advisors_v._sch,Q10,D,pre_cutoff,2015-04-28,federal,circuit,openai/gpt-5,2024-09-30,0,0,0.0,3,0.1071,0.3636,0.4242,0.4163,,,,,,0,0,,28,38,0,attempt,0,"McKesson approve the issuance of shares of McKesson Common Stock in the Merger and the stockholders of HBOC adopt the Merger Agreement,' these references do not transform the Prospectus into a contract between McKesson and its shareholders.""","both companies approve the merger agreement and the transactions associated with it,’” such “references do not . . . convert McKesson’s solicitation of the shareholders’ vote into a contractual offer.”"
