case_id,court,court_level,jurisdiction,date_filed,common_arm,caption,docket,opinion_id
cl_2021_ca2_set_capital_llc_v._credit_suisse_gr,ca2,circuit,federal,2021-04-27,pre_cutoff,Set Capital LLC v. Credit Suisse Group AG,19-3466,4681207
cl_2021_ca2_united_states_v._reichberg,ca2,circuit,federal,2021-07-15,pre_cutoff,United States v. Reichberg,19-1645,4703701
cl_2021_ca9_state_of_rhode_island_v._alphabet_i,ca9,circuit,federal,2021-06-16,pre_cutoff,"State of Rhode Island v. Alphabet, Inc.",20-15638,4696088
cl_2021_ca9_united_states_v._benjamin_koziol,ca9,circuit,federal,2021-04-13,pre_cutoff,United States v. Benjamin Koziol,19-50018,4676819
cl_2022_ca2_cantero_v._bank_of_am._n.a.,ca2,circuit,federal,2022-09-15,pre_cutoff,"Cantero v. Bank of Am., N.A.","21-400, 21-403",8206621
cl_2022_ca2_exxon_mobil_v._healey,ca2,circuit,federal,2022-03-15,pre_cutoff,Exxon Mobil v. Healey,18-1170,6323334
cl_2022_ca2_haley_v._tiaa,ca2,circuit,federal,2022-12-01,pre_cutoff,Haley v. TIAA,21-805,9297747
cl_2022_ca2_united_states_v._blaszczak,ca2,circuit,federal,2022-12-27,pre_cutoff,United States v. Blaszczak,"18-2811, 18-2825, 18-2867, 18-2878",9350522
cl_2022_ca7_andrew_albert_v._oshkosh_corporatio,ca7,circuit,federal,2022-08-29,pre_cutoff,Andrew Albert v. Oshkosh Corporation,,7804572
cl_2022_ca7_diane_burke_v._the_boeing_company,ca7,circuit,federal,2022-08-01,pre_cutoff,Diane Burke v. The Boeing Company,20-3389,7796890
cl_2022_ca7_walter_dean_v._national_production_,ca7,circuit,federal,2022-08-15,pre_cutoff,Walter Dean v. National Production Workers Un,21-1872,7800721
cl_2022_ca9_lenai_mull_v._motion_picture_indust,ca9,circuit,federal,2022-07-25,pre_cutoff,Lenai Mull v. Motion Picture Industry Health,20-56315,7275447
cl_2023_ca2_ark._tchr._ret._sys._v._goldman_sac,ca2,circuit,federal,2023-08-10,pre_cutoff,"Ark. Tchr. Ret. Sys. v. Goldman Sachs Grp., Inc.",22-484,9554880
cl_2023_ca2_cunningham_v._cornell_university,ca2,circuit,federal,2023-11-14,pre_cutoff,Cunningham v. Cornell University,,9896745
cl_2023_ca2_in_re_nine_west_lbo_sec._litig.,ca2,circuit,federal,2023-11-27,pre_cutoff,In Re: Nine West LBO SEC. Litig.,20-3257,9903710
cl_2023_ca2_kirschner_v._jp_morgan_chase_bank_n,ca2,circuit,federal,2023-08-24,pre_cutoff,"Kirschner v. JP Morgan Chase Bank, N.A.",21-2726,9685739
cl_2023_ca2_new_england_carpenters_guaranteed_a,ca2,circuit,federal,2023-08-23,pre_cutoff,New England Carpenters Guaranteed Annuity and Pension Funds v. AmTrust,20-1643,9649554
cl_2023_ca2_pauwels_v._deloitte_llp,ca2,circuit,federal,2023-10-06,pre_cutoff,Pauwels v. Deloitte LLP,,9885809
cl_2023_ca2_sec_v._ahmed,ca2,circuit,federal,2023-06-28,pre_cutoff,SEC v. Ahmed,"21-1686, 21-1712",9405432
cl_2023_ca3_marlow_henry_v._wilmington_trust_na,ca3,circuit,federal,2023-06-30,pre_cutoff,Marlow Henry v. Wilmington Trust NA,21-2801,9406296
cl_2023_ca4_benjamin_reetz_v._aon_hewitt_invest,ca4,circuit,federal,2023-07-17,pre_cutoff,"Benjamin Reetz v. Aon Hewitt Investment Consulting, Inc.",21-2267,9409640
cl_2023_ca4_sec_v._christopher_clark,ca4,circuit,federal,2023-02-23,pre_cutoff,SEC v. Christopher Clark,22-1157,9375095
cl_2023_ca9_amalgamated_bank_v._facebook_inc.,ca9,circuit,federal,2023-10-18,pre_cutoff,"Amalgamated Bank v. Facebook, Inc.",22-15077,9891455
cl_2023_ca9_julie_su_v._brian_bowers,ca9,circuit,federal,2023-10-25,pre_cutoff,Julie Su v. Brian Bowers,22-15378,9892953
cl_2024_ca2_new_england_carpenters_guaranteed_a,ca2,circuit,federal,2024-10-31,pre_cutoff,New England Carpenters Guaranteed Annuity and Pension Funds v. AmTrust,20-1643,10638414
cl_2024_ca2_packer_v._raging_capital_management,ca2,circuit,federal,2024-06-24,pre_cutoff,"Packer v. Raging Capital Management, LLC",23-367,10233600
cl_2024_ca2_peterson_v._bank_markazi,ca2,circuit,federal,2024-11-13,pre_cutoff,Peterson v. Bank Markazi,15-690,10739645
cl_2024_ca2_sec_v._rashid,ca2,circuit,federal,2024-03-13,pre_cutoff,SEC v. Rashid,20-4080,9950137
cl_2024_ca2_trustees_of_the_nysnapp_v._white_oa,ca2,circuit,federal,2024-05-21,pre_cutoff,Trustees of the NYSNAPP v. White Oak Glob. Adv.,22-1783,9972497
cl_2024_ca3_sec_v._dale_chappell,ca3,circuit,federal,2024-07-01,pre_cutoff,SEC v. Dale Chappell,23-2776,
cl_2024_ca9_julie_su_v._brian_bowers,ca9,circuit,federal,2024-07-01,pre_cutoff,Julie Su v. Brian Bowers,22-15378,
cl_2024_ca9_renaldo_white_v._symetra_assigned_b,ca9,circuit,federal,2024-07-01,pre_cutoff,Renaldo White v. Symetra Assigned Benefits Service Company,22-35748,
cl_2024_cadc_an_opinion_was_released_in_case_24-,cadc,circuit,federal,2024-07-01,pre_cutoff,"An opinion was released in case 24-1113, TikTok Inc. v. Merrick Garland",24-1113,
cl_2025_ca11_united_states_v._ephren_taylor_ii,ca11,circuit,federal,2025-07-01,ambiguous,"United States v. Ephren Taylor, II",20-11238,
cl_2025_ca1_securities_and_exchange_commission_,ca1,circuit,federal,2025-07-01,ambiguous,"Securities and Exchange Commission v. Commonwealth Equity Services, LLC",24-1427,
cl_2025_ca2_collins_v._ne._grocery_llc,ca2,circuit,federal,2025-07-01,ambiguous,"Collins v. Ne. Grocery, LLC",24-2339,
cl_2025_ca2_in_re_shanda_games_ltd._sec._litig.,ca2,circuit,federal,2025-07-01,ambiguous,In Re Shanda Games Ltd. SEC. Litig.,22-3076,
cl_2025_ca2_natl_rifle_assn_of_am._v._vullo,ca2,circuit,federal,2025-07-01,ambiguous,Nat'l Rifle Ass'n of Am. v. Vullo,21-0636,
cl_2025_ca2_united_states_v._phillips,ca2,circuit,federal,2025-07-01,ambiguous,United States v. Phillips,24-1908,
cl_2025_ca3_nra_group_llc_v._nicole_durenleau,ca3,circuit,federal,2025-07-01,ambiguous,NRA Group LLC v. Nicole Durenleau,24-1123,
cl_2025_ca9_united_states_v._rice,ca9,circuit,federal,2025-07-01,ambiguous,United States v. Rice,23-2282,
cl_2025_ca9_winston_anderson_v._intel_corporati,ca9,circuit,federal,2025-07-01,ambiguous,Winston Anderson v. Intel Corporation Investment Policy Committee,22-16268,
cl_2025_cadc_robert_goodrich_v._bank_of_america_,cadc,circuit,federal,2025-07-01,ambiguous,Robert Goodrich v. Bank of America N.A.,24-7025,
cl_2026_ca10_scottsdale_capital_advisors_v_ussec,ca10,circuit,federal,2026-07-31,post_cutoff,Scottsdale Capital Advisors v. USSEC,25-4000,11405293
cl_2026_ca11_ann_johnson_v_russell_investments_trust_compan,ca11,circuit,federal,2026-08-17,post_cutoff,Ann Johnson v. Russell Investments Trust Company,25-10692,11419592
cl_2026_ca11_citadel_securities_llc_v_u_s_securities_and_ex,ca11,circuit,federal,2026-05-29,post_cutoff,Citadel Securities LLC v. U.S. Securities and Exchange Commission,25-13631,11333808
cl_2026_ca11_luis_manuel_rodriguez_v_imperial_brands_plc,ca11,circuit,federal,2026-07-23,post_cutoff,"Luis Manuel Rodriguez v. Imperial Brands, PLC.",24-11487,11401808
cl_2026_ca11_u.s._securities_and_exchange_commis,ca11,circuit,federal,2026-07-01,post_cutoff,"U.S. Securities and Exchange Commission v. Spartan Securities Group, LTD",22-13129,
cl_2026_ca11_william_drummond_v_southern_company_services_i,ca11,circuit,federal,2026-05-26,post_cutoff,"William Drummond v. Southern Company Services, Inc.",24-12773,11331700
cl_2026_ca1_in_re_apellis_pharm_inc_securities_litigation_,ca1,circuit,federal,2026-08-19,post_cutoff,"In re: Apellis Pharmaceuticals, Inc. Securities Litigation",25-1383,11421444
cl_2026_ca1_premca_extra_income_fund_lp_v_angle,ca1,circuit,federal,2026-06-05,post_cutoff,Premca Extra Income Fund LP v. Angle,25-1192,11338409
cl_2026_ca1_sec_v_gastauer,ca1,circuit,federal,2026-08-19,post_cutoff,SEC v. Gastauer,25-1194,11421442
cl_2026_ca2_fonden_v_fdic,ca2,circuit,federal,2026-08-19,post_cutoff,Fonden v. FDIC,25-720,11421095
cl_2026_ca2_hayden_v_koons,ca2,circuit,federal,2026-07-21,post_cutoff,Hayden v. Koons,25-498,11400881
cl_2026_ca2_huey_v_anavex_life_sciences_corporation,ca2,circuit,federal,2026-06-26,post_cutoff,Huey v. Anavex Life Sciences Corporation,25-1752,11348300
cl_2026_ca2_inc_v_hbc_invs_llc,ca2,circuit,federal,2026-07-07,post_cutoff,20230930-DK-Butterfly-1 Inc. (f/k/a Bed Bath & Beyond Inc.) v. HBC Invs. LLC,25-2728,11384552
cl_2026_ca2_mehrotra_v_u_s_dep_t_of_lab,ca2,circuit,federal,2026-08-11,post_cutoff,Mehrotra v. U.S. Dep't of Lab.,23-7798,11412353
cl_2026_ca2_out_v_calamari,ca2,circuit,federal,2026-07-09,post_cutoff,Out v. Calamari,24-3205,11392542
cl_2026_ca2_sec_v,ca2,circuit,federal,2026-08-06,post_cutoff,SEC v. Rogas,25-35,11408381
cl_2026_ca2_smith_v_the_gap_inc,ca2,circuit,federal,2026-05-28,post_cutoff,"Smith v. the Gap, Inc.",25-1130,11339402
cl_2026_ca2_stinn_v_united_states,ca2,circuit,federal,2026-08-17,post_cutoff,Stinn v. United States,25-293,11419415
cl_2026_ca2_u_s_v,ca2,circuit,federal,2026-06-12,post_cutoff,United States v. Bankman-Fried,24-961,11342531
cl_2026_ca2_united_states_v_greebel,ca2,circuit,federal,2026-07-29,post_cutoff,United States v. Greebel,25-1054,11403690
cl_2026_ca3_in_re_avandia_marketing_v,ca3,circuit,federal,2026-07-21,post_cutoff,"In re: Avandia Marketing, Sales Practices and Products Liability Litigation",25-2278,11400975
cl_2026_ca3_lawanda_house_johnson_v_quest_diagnostics_inc,ca3,circuit,federal,2026-06-22,post_cutoff,Lawanda House Johnson v. Quest Diagnostics Inc,24-2866,11345607
cl_2026_ca3_mark_justman_v_accenture_llp,ca3,circuit,federal,2026-06-17,post_cutoff,Mark Justman v. Accenture LLP,25-2084,11343882
cl_2026_ca3_whittaker_clark_daniels_v,ca3,circuit,federal,2026-04-27,post_cutoff,In re: Whittaker Clark & Daniels Inc (Protopapas v. Official Committee of Talc Claimants),24-2210,11315916
cl_2026_ca4_dmarcian_inc_v_dmarc_advisor_bv,ca4,circuit,federal,2026-07-10,post_cutoff,"Dmarcian, Inc. v. DMARC Advisor BV",23-1790,11394609
cl_2026_ca4_elshan_bayramov_v_american_credit_acceptance,ca4,circuit,federal,2026-08-05,post_cutoff,Elshan Bayramov v. American Credit Acceptance,25-1490,11409070
cl_2026_ca4_elshan_bayramov_v_peritus_portfolio_services,ca4,circuit,federal,2026-08-05,post_cutoff,Elshan Bayramov v. Peritus Portfolio Services,25-1501,11409069
cl_2026_ca4_in_re_the_boeing_company,ca4,circuit,federal,2026-07-20,post_cutoff,In re: The Boeing Company,25-1492,11401129
cl_2026_ca4_richard_kelly_v_altria_client_services_llc,ca4,circuit,federal,2026-08-10,post_cutoff,"Richard Kelly v. Altria Client Services, LLC",25-1350,11412670
cl_2026_ca4_vapor_technology_association_v_mckinley_wooten,ca4,circuit,federal,2026-07-30,post_cutoff,"Vapor Technology Association v. McKinley Wooten, Jr.",25-1745,11405487
cl_2026_ca5_kipp_flores_v_amh_creekside,ca5,circuit,federal,2026-08-21,post_cutoff,Kipp Flores v. AMH Creekside,23-50750,11422234
cl_2026_ca5_natl_horsemen_s_benevolent_v_black,ca5,circuit,federal,2026-06-11,post_cutoff,Natl Horsemen's Benevolent v. Black,23-10520,11341261
cl_2026_ca5_texas_tobacco_barn_v_hhs,ca5,circuit,federal,2026-06-30,post_cutoff,Texas Tobacco Barn v. HHS,25-60200,11350537
cl_2026_ca5_united_states_v_kuyoro,ca5,circuit,federal,2026-05-15,post_cutoff,United States v. Kuyoro,25-20002,11327605
cl_2026_ca6_amanda_martin_v_fed_rsrv_bank_of_cleveland,ca6,circuit,federal,2026-05-07,post_cutoff,Amanda Martin v. Fed. Rsrv. Bank of Cleveland,25-3518,11323312
cl_2026_ca6_eric_smith_v_sec,ca6,circuit,federal,2026-06-16,post_cutoff,Eric Smith v. SEC,24-3907,11343473
cl_2026_ca6_opers_v_fhlmc,ca6,circuit,federal,2026-08-21,post_cutoff,OPERS v. FHLMC,25-3765,11422343
cl_2026_ca7_bruce_rush_v_greatbanc_trust_company,ca7,circuit,federal,2026-07-20,post_cutoff,Bruce Rush v. GreatBanc Trust Company,25-1736,11400485
cl_2026_ca7_frank_william_bonan_ii_v_fdic,ca7,circuit,federal,2026-08-12,post_cutoff,"Frank William Bonan, II v. FDIC",24-3296,11413500
cl_2026_ca7_halil_demir_v_markwayne_mullin,ca7,circuit,federal,2026-08-04,post_cutoff,Halil Demir v. Markwayne Mullin,25-3179,11407155
cl_2026_ca7_sandra_hunter_v_elanco_animal_health_incorpora,ca7,circuit,federal,2026-08-14,post_cutoff,Sandra Hunter v. Elanco Animal Health Incorporated,23-3061,11416094
cl_2026_ca7_united_states_v_anne_pramaggiore,ca7,circuit,federal,2026-06-15,post_cutoff,United States v. Anne Pramaggiore,25-2349,11342737
cl_2026_ca7_united_states_v_michael_mcclain,ca7,circuit,federal,2026-06-15,post_cutoff,United States v. Michael McClain,25-2350,11342736
cl_2026_ca8_everest_stables_inc_v_porter_wright_llp,ca8,circuit,federal,2026-05-14,post_cutoff,"Everest Stables, Inc. v. Porter, Wright LLP",25-1950,11326205
cl_2026_ca8_thomas_matula_jr_v_wells_fargo_company,ca8,circuit,federal,2026-05-12,post_cutoff,"Thomas Matula, Jr. v. Wells Fargo & Company",25-2441,11324933
cl_2026_ca8_united_healthcare_services_inc_v_amerisourcebe,ca8,circuit,federal,2026-07-31,post_cutoff,"United HealthCare Services, Inc. v. AmerisourceBergen Corporation",25-3205,11405285
cl_2026_ca9_crain_walnut_shelling_lp_v_united_states_distr,ca9,circuit,federal,2026-05-07,post_cutoff,"Crain Walnut Shelling, Lp v. United States District Court for the Northern District of California, S",25-5435,11323178
cl_2026_ca9_in_re_koi_design_llc_v_marron_lawyers_apc,ca9,circuit,federal,2026-08-06,post_cutoff,"In Re: Koi Design LLC v. Marron Lawyers, Apc",23-55704,11408430
cl_2026_ca9_phillips_v_goldman,ca9,circuit,federal,2026-05-07,post_cutoff,Phillips v. Goldman,24-2249,11323378
cl_2026_ca9_pover_v_the_capital_group_companies_inc,ca9,circuit,federal,2026-07-30,post_cutoff,"Pover v. the Capital Group Companies, Inc.",24-5298,11404234
cl_2026_ca9_turrey_v_vervent_inc,ca9,circuit,federal,2026-08-12,post_cutoff,"Turrey v. Vervent, Inc.",24-3849,11413456
cl_2026_ca9_united_states_v_kheyre,ca9,circuit,federal,2026-05-20,post_cutoff,United States v. Kheyre,24-7529,11329429
cl_2026_ca9_united_states_v_ridley_thomas,ca9,circuit,federal,2026-08-03,post_cutoff,United States v. Ridley-Thomas,23-2200,11406976
cl_2026_cadc_democracy_partners_llc_v_james_o_keefe,cadc,circuit,federal,2026-08-21,post_cutoff,"Democracy Partners, LLC v. James O'Keefe",25-7080,11422188
cl_2026_cadc_fairholme_funds_inc_v_fhfa,cadc,circuit,federal,2026-07-24,post_cutoff,"Fairholme Funds, Inc v. FHFA",25-5113,11402341
cl_2026_cadc_j_sidak_v_united_states_international_trade_co,cadc,circuit,federal,2026-04-24,post_cutoff,J. Sidak v. United States International Trade Commission,23-5149,11315060
cl_2026_cadc_john_doe_v_sec_public_reissued_opinion,cadc,circuit,federal,2026-05-01,post_cutoff,John Doe v. SEC (PUBLIC REISSUED OPINION),23-1124,11330684
cl_2026_cadc_thrivent_financial_for_lutherans_v_sec,cadc,circuit,federal,2026-07-21,post_cutoff,Thrivent Financial for Lutherans v. SEC,25-1047,11400998
cl_2026_cafc_jacobson_v_united_states,cafc,circuit,federal,2026-06-18,post_cutoff,Jacobson v. United States,24-1990,11344506
